"Plot Title: UQC"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 10592087, SEN S/N: 10592087)","Event, units (LGR S/N: 10592087, SEN S/N: 10592087, LBL: UQC)","Coupler Detached (LGR S/N: 10592087, SEN S/N: 10592087)","Coupler Attached (LGR S/N: 10592087, SEN S/N: 10592087)","Host Connected (LGR S/N: 10592087, SEN S/N: 10592087)","End Of File (LGR S/N: 10592087, SEN S/N: 10592087)"
115,03/11/16 07:40:02 AM,,0.69,,,,
116,03/11/16 07:43:27 AM,,0.70,,,,
117,03/11/16 07:48:57 AM,,0.71,,,,
118,03/11/16 07:53:14 AM,,0.72,,,,
119,03/11/16 07:56:45 AM,,0.73,,,,
120,03/11/16 07:58:59 AM,,0.74,,,,
121,03/11/16 08:01:37 AM,,0.75,,,,
122,03/11/16 08:03:57 AM,,0.76,,,,
123,03/11/16 08:06:24 AM,,0.77,,,,
124,03/11/16 08:08:24 AM,,0.78,,,,
125,03/11/16 08:10:38 AM,,0.79,,,,
126,03/11/16 08:12:13 AM,,0.80,,,,
127,03/11/16 08:13:44 AM,,0.81,,,,
128,03/11/16 08:14:52 AM,,0.82,,,,
129,03/11/16 08:16:03 AM,,0.83,,,,
130,03/11/16 08:18:09 AM,,0.84,,,,
131,03/11/16 08:20:04 AM,,0.85,,,,
132,03/11/16 08:21:55 AM,,0.86,,,,
133,03/11/16 08:24:41 AM,,0.87,,,,
134,03/11/16 08:27:43 AM,,0.88,,,,
135,03/11/16 08:30:32 AM,49.050,,,,,
136,03/11/16 08:30:48 AM,,0.89,,,,
137,03/11/16 08:33:22 AM,,0.90,,,,
138,03/11/16 08:36:13 AM,,0.91,,,,
139,03/11/16 08:38:47 AM,,0.92,,,,
140,03/11/16 08:41:07 AM,,0.93,,,,
141,03/11/16 08:43:07 AM,,0.94,,,,
142,03/11/16 08:45:36 AM,,0.95,,,,
143,03/11/16 08:50:12 AM,,0.96,,,,
144,03/11/16 08:53:38 AM,,0.97,,,,
145,03/11/16 08:55:51 AM,,0.98,,,,
146,03/11/16 08:58:09 AM,,0.99,,,,
147,03/11/16 09:00:42 AM,,1.00,,,,
148,03/11/16 09:01:55 AM,,1.01,,,,
149,03/11/16 09:02:41 AM,,1.02,,,,
150,03/11/16 09:03:10 AM,,1.03,,,,
151,03/11/16 09:03:28 AM,,1.04,,,,
152,03/11/16 09:03:59 AM,,1.05,,,,
153,03/11/16 09:04:34 AM,,1.06,,,,
154,03/11/16 09:05:57 AM,,1.07,,,,
155,03/11/16 09:08:46 AM,,1.08,,,,
156,03/11/16 09:12:26 AM,,1.09,,,,
157,03/11/16 09:15:09 AM,,1.10,,,,
158,03/11/16 09:17:23 AM,,1.11,,,,
159,03/11/16 09:19:53 AM,,1.12,,,,
160,03/11/16 09:22:05 AM,,1.13,,,,
161,03/11/16 09:24:56 AM,,1.14,,,,
162,03/11/16 09:30:32 AM,49.759,,,,,
163,03/11/16 09:31:57 AM,,1.15,,,,
164,03/11/16 10:30:32 AM,53.100,,,,,
165,03/11/16 10:34:39 AM,,1.16,,,,
166,03/11/16 10:36:27 AM,,1.17,,,,
167,03/11/16 10:38:25 AM,,1.18,,,,
168,03/11/16 11:22:31 AM,,1.19,,,,
169,03/11/16 11:30:32 AM,54.147,,,,,
170,03/11/16 12:30:32 PM,60.368,,,,,
171,03/11/16 01:30:32 PM,60.539,,,,,
172,03/11/16 02:30:32 PM,60.883,,,,,
173,03/11/16 03:30:32 PM,53.798,,,,,
174,03/11/16 04:30:32 PM,50.466,,,,,
175,03/11/16 05:30:32 PM,49.759,,,,,
176,03/11/16 06:30:32 PM,49.582,,,,,
177,03/11/16 07:04:58 PM,,1.20,,,,
178,03/11/16 07:30:32 PM,49.937,,,,,
179,03/11/16 08:30:32 PM,50.113,,,,,
180,03/11/16 09:30:32 PM,49.582,,,,,
181,03/11/16 10:30:32 PM,48.871,,,,,
182,03/11/16 11:30:32 PM,48.695,,,,,
183,03/12/16 12:30:32 AM,48.871,,,,,
184,03/12/16 01:30:32 AM,47.802,,,,,
185,03/12/16 02:30:32 AM,47.624,,,,,
186,03/12/16 03:30:32 AM,47.088,,,,,
187,03/12/16 04:30:32 AM,47.624,,,,,
188,03/12/16 05:30:32 AM,47.802,,,,,
189,03/12/16 06:30:32 AM,47.982,,,,,
190,03/12/16 07:30:32 AM,49.050,,,,,
191,03/12/16 08:30:32 AM,51.874,,,,,
192,03/12/16 09:30:32 AM,52.401,,,,,
193,03/12/16 09:45:54 AM,,1.21,,,,
194,03/12/16 10:30:32 AM,51.874,,,,,
195,03/12/16 11:30:32 AM,52.576,,,,,
196,03/12/16 11:32:10 AM,,1.22,,,,
197,03/12/16 12:30:32 PM,53.973,,,,,
198,03/12/16 01:30:32 PM,53.798,,,,,
199,03/12/16 02:30:32 PM,52.576,,,,,
200,03/12/16 02:51:14 PM,,1.23,,,,
201,03/12/16 03:30:32 PM,51.874,,,,,
202,03/12/16 03:31:23 PM,,1.24,,,,
203,03/12/16 03:58:33 PM,,1.25,,,,
204,03/12/16 04:30:32 PM,51.874,,,,,
205,03/12/16 05:26:30 PM,,1.26,,,,
206,03/12/16 05:30:32 PM,52.050,,,,,
207,03/12/16 06:30:32 PM,51.874,,,,,
208,03/12/16 07:06:02 PM,,1.27,,,,
209,03/12/16 07:30:32 PM,52.050,,,,,
210,03/12/16 08:30:32 PM,52.401,,,,,
211,03/12/16 08:52:03 PM,,1.28,,,,
212,03/12/16 08:55:11 PM,,1.29,,,,
213,03/12/16 09:01:14 PM,,1.30,,,,
214,03/12/16 09:07:54 PM,,1.31,,,,
215,03/12/16 09:21:16 PM,,1.32,,,,
216,03/12/16 09:30:32 PM,52.576,,,,,
217,03/12/16 09:47:50 PM,,1.33,,,,
218,03/12/16 09:56:54 PM,,1.34,,,,
219,03/12/16 10:02:16 PM,,1.35,,,,
220,03/12/16 10:06:30 PM,,1.36,,,,
221,03/12/16 10:17:13 PM,,1.37,,,,
222,03/12/16 10:30:32 PM,52.925,,,,,
223,03/12/16 10:47:13 PM,,1.38,,,,
224,03/12/16 10:54:03 PM,,1.39,,,,
225,03/12/16 11:26:11 PM,,1.40,,,,
226,03/12/16 11:30:32 PM,53.100,,,,,
227,03/12/16 11:41:50 PM,,1.41,,,,
228,03/12/16 11:44:20 PM,,1.42,,,,
229,03/12/16 11:45:10 PM,,1.43,,,,
230,03/12/16 11:46:06 PM,,1.44,,,,
231,03/12/16 11:46:47 PM,,1.45,,,,
232,03/12/16 11:47:33 PM,,1.46,,,,
233,03/12/16 11:48:25 PM,,1.47,,,,
234,03/12/16 11:49:13 PM,,1.48,,,,
235,03/12/16 11:50:13 PM,,1.49,,,,
236,03/12/16 11:51:10 PM,,1.50,,,,
237,03/12/16 11:52:22 PM,,1.51,,,,
238,03/12/16 11:54:13 PM,,1.52,,,,
239,03/12/16 11:57:46 PM,,1.53,,,,
240,03/13/16 12:03:16 AM,,1.54,,,,
241,03/13/16 12:08:46 AM,,1.55,,,,
242,03/13/16 12:14:03 AM,,1.56,,,,
243,03/13/16 12:18:23 AM,,1.57,,,,
244,03/13/16 12:30:32 AM,52.925,,,,,
245,03/13/16 12:45:35 AM,,1.58,,,,
246,03/13/16 01:30:32 AM,53.449,,,,,
247,03/13/16 02:17:21 AM,,1.59,,,,
248,03/13/16 02:30:32 AM,53.798,,,,,
249,03/13/16 03:30:32 AM,54.669,,,,,
250,03/13/16 04:30:32 AM,54.669,,,,,
251,03/13/16 04:35:21 AM,,1.60,,,,
252,03/13/16 04:42:28 AM,,1.61,,,,
253,03/13/16 04:52:41 AM,,1.62,,,,
254,03/13/16 05:05:17 AM,,1.63,,,,
255,03/13/16 05:28:33 AM,,1.64,,,,
256,03/13/16 05:30:32 AM,54.147,,,,,
257,03/13/16 05:39:42 AM,,1.65,,,,
258,03/13/16 05:40:34 AM,,1.66,,,,
259,03/13/16 05:43:42 AM,,1.67,,,,
260,03/13/16 05:45:17 AM,,1.68,,,,
261,03/13/16 05:47:21 AM,,1.69,,,,
262,03/13/16 05:50:51 AM,,1.70,,,,
263,03/13/16 05:54:12 AM,,1.71,,,,
264,03/13/16 05:57:44 AM,,1.72,,,,
265,03/13/16 06:01:41 AM,,1.73,,,,
266,03/13/16 06:05:42 AM,,1.74,,,,
267,03/13/16 06:08:46 AM,,1.75,,,,
268,03/13/16 06:11:25 AM,,1.76,,,,
269,03/13/16 06:12:37 AM,,1.77,,,,
270,03/13/16 06:18:03 AM,,1.78,,,,
271,03/13/16 06:20:12 AM,,1.79,,,,
272,03/13/16 06:22:31 AM,,1.80,,,,
273,03/13/16 06:28:55 AM,,1.81,,,,
274,03/13/16 06:29:50 AM,,1.82,,,,
275,03/13/16 06:30:32 AM,54.495,,,,,
276,03/13/16 06:31:38 AM,,1.83,,,,
277,03/13/16 06:35:20 AM,,1.84,,,,
278,03/13/16 06:40:34 AM,,1.85,,,,
279,03/13/16 06:40:47 AM,,1.86,,,,
280,03/13/16 06:42:41 AM,,1.87,,,,
281,03/13/16 06:43:50 AM,,1.88,,,,
282,03/13/16 06:44:41 AM,,1.89,,,,
283,03/13/16 06:45:24 AM,,1.90,,,,
284,03/13/16 06:45:31 AM,,1.91,,,,
285,03/13/16 06:45:39 AM,,1.92,,,,
286,03/13/16 06:45:48 AM,,1.93,,,,
287,03/13/16 06:45:58 AM,,1.94,,,,
288,03/13/16 06:46:55 AM,,1.95,,,,
289,03/13/16 06:47:09 AM,,1.96,,,,
290,03/13/16 06:47:21 AM,,1.97,,,,
291,03/13/16 06:47:27 AM,,1.98,,,,
292,03/13/16 06:47:32 AM,,1.99,,,,
293,03/13/16 06:47:44 AM,,2.00,,,,
294,03/13/16 06:47:51 AM,,2.01,,,,
295,03/13/16 06:48:08 AM,,2.02,,,,
296,03/13/16 06:48:27 AM,,2.03,,,,
297,03/13/16 06:48:39 AM,,2.04,,,,
298,03/13/16 06:48:49 AM,,2.05,,,,
299,03/13/16 06:49:05 AM,,2.06,,,,
300,03/13/16 06:49:27 AM,,2.07,,,,
301,03/13/16 06:49:59 AM,,2.08,,,,
302,03/13/16 06:50:14 AM,,2.09,,,,
303,03/13/16 06:50:28 AM,,2.10,,,,
304,03/13/16 06:50:39 AM,,2.11,,,,
305,03/13/16 06:51:04 AM,,2.12,,,,
306,03/13/16 06:51:49 AM,,2.13,,,,
307,03/13/16 06:56:44 AM,,2.14,,,,
308,03/13/16 06:57:09 AM,,2.15,,,,
309,03/13/16 06:57:19 AM,,2.16,,,,
310,03/13/16 06:57:32 AM,,2.17,,,,
311,03/13/16 06:58:00 AM,,2.18,,,,
312,03/13/16 06:58:16 AM,,2.19,,,,
313,03/13/16 06:58:31 AM,,2.20,,,,
314,03/13/16 06:58:52 AM,,2.21,,,,
315,03/13/16 06:59:21 AM,,2.22,,,,
316,03/13/16 06:59:48 AM,,2.23,,,,
317,03/13/16 06:59:56 AM,,2.24,,,,
318,03/13/16 07:03:13 AM,,2.25,,,,
319,03/13/16 07:04:36 AM,,2.26,,,,
320,03/13/16 07:05:49 AM,,2.27,,,,
321,03/13/16 07:06:01 AM,,2.28,,,,
322,03/13/16 07:07:16 AM,,2.29,,,,
323,03/13/16 07:08:11 AM,,2.30,,,,
324,03/13/16 07:11:00 AM,,2.31,,,,
325,03/13/16 07:13:51 AM,,2.32,,,,
