"Plot Title: AL"
"#","Date Time, GMT-07:00","Event, inch (LGR S/N: 10592075, SEN S/N: 10592075)","Coupler Attached (LGR S/N: 10592075, SEN S/N: 10592075)","End Of File (LGR S/N: 10592075, SEN S/N: 10592075)"
1,05/15/15 11:24:00 AM,0.00,,
2,05/19/15 08:40:30 AM,0.01,,
3,05/21/15 05:57:51 AM,0.02,,
4,05/21/15 05:57:52 AM,0.03,,
5,05/21/15 06:02:23 AM,0.04,,
6,05/21/15 07:22:35 AM,0.05,,
7,05/21/15 07:36:44 AM,0.06,,
8,05/21/15 07:46:09 AM,0.07,,
9,05/21/15 07:54:12 AM,0.08,,
10,05/21/15 09:00:59 AM,0.09,,
11,05/21/15 09:01:00 AM,0.10,,
12,05/21/15 09:20:48 AM,0.11,,
13,05/22/15 06:44:19 AM,0.12,,
14,05/23/15 07:02:42 AM,0.13,,
15,05/26/15 04:51:11 AM,0.14,,
16,06/10/15 03:35:29 PM,0.15,,
17,06/10/15 03:48:09 PM,0.16,,
18,06/10/15 04:07:44 PM,0.17,,
19,07/05/15 04:43:08 AM,0.18,,
20,07/07/15 01:56:45 PM,0.18,Logged,Logged
