"Plot Title: LCHS"
"#","Date Time, GMT-08:00","Ext. Line Event, Inches (LGR S/N: 9668992, SEN S/N: 9668992)","Coupler Detached (LGR S/N: 9668992, SEN S/N: 9668992)","Coupler Attached (LGR S/N: 9668992, SEN S/N: 9668992)","Stopped (LGR S/N: 9668992, SEN S/N: 9668992)","End Of File (LGR S/N: 9668992, SEN S/N: 9668992)"
1,03/09/10 09:35:05 AM,0.00,,,,
2,03/09/10 09:35:48 AM,,Logged,,,
3,03/09/10 11:57:33 PM,0.01,,,,
4,03/09/10 11:57:34 PM,0.02,,,,
5,03/10/10 12:09:34 AM,0.03,,,,
6,03/10/10 12:09:35 AM,0.04,,,,
7,03/10/10 12:18:39 AM,0.05,,,,
8,03/10/10 12:24:09 AM,0.06,,,,
9,03/10/10 12:27:01 AM,0.07,,,,
10,03/10/10 12:27:02 AM,0.08,,,,
11,03/10/10 12:29:54 AM,0.09,,,,
12,03/10/10 12:29:55 AM,0.10,,,,
13,03/10/10 12:36:16 AM,0.11,,,,
14,03/10/10 12:42:02 AM,0.12,,,,
15,03/10/10 12:45:59 AM,0.13,,,,
16,03/10/10 12:47:21 AM,0.14,,,,
17,03/10/10 12:48:29 AM,0.15,,,,
18,03/10/10 12:48:30 AM,0.16,,,,
19,03/10/10 12:50:34 AM,0.17,,,,
20,03/10/10 12:50:35 AM,0.18,,,,
21,03/10/10 12:53:15 AM,0.19,,,,
22,03/10/10 12:57:36 AM,0.20,,,,
23,03/10/10 01:01:02 AM,0.21,,,,
24,03/10/10 01:02:57 AM,0.22,,,,
25,03/10/10 01:03:51 AM,0.23,,,,
26,03/10/10 01:04:39 AM,0.24,,,,
27,03/10/10 01:06:12 AM,0.25,,,,
28,03/10/10 01:08:06 AM,0.26,,,,
29,03/10/10 01:09:26 AM,0.27,,,,
30,03/10/10 01:13:07 AM,0.28,,,,
31,03/10/10 01:16:20 AM,0.29,,,,
32,03/10/10 01:16:21 AM,0.30,,,,
33,03/10/10 01:16:47 AM,0.31,,,,
34,03/10/10 01:21:01 AM,0.32,,,,
35,03/12/10 10:17:08 AM,0.33,,,,
36,03/12/10 11:05:24 AM,0.34,,,,
37,03/12/10 11:30:30 AM,0.35,,,,
38,03/12/10 11:36:13 AM,0.36,,,,
39,03/12/10 11:43:12 AM,0.37,,,,
40,03/12/10 11:49:22 AM,0.38,,,,
41,03/12/10 11:51:59 AM,0.39,,,,
42,03/12/10 11:54:32 AM,0.40,,,,
43,03/12/10 11:56:55 AM,0.41,,,,
44,03/12/10 11:59:21 AM,0.42,,,,
45,03/12/10 12:02:17 PM,0.43,,,,
46,03/12/10 12:04:24 PM,0.44,,,,
47,03/12/10 12:07:41 PM,0.45,,,,
48,03/12/10 12:09:33 PM,0.46,,,,
49,03/12/10 12:09:34 PM,0.47,,,,
50,03/12/10 12:11:23 PM,0.48,,,,
51,03/12/10 12:13:23 PM,0.49,,,,
52,03/12/10 12:13:24 PM,0.50,,,,
53,03/12/10 12:15:28 PM,0.51,,,,
54,03/12/10 12:17:48 PM,0.52,,,,
55,03/12/10 12:20:11 PM,0.53,,,,
56,03/12/10 12:22:45 PM,0.54,,,,
57,03/12/10 12:25:31 PM,0.55,,,,
58,03/12/10 12:28:12 PM,0.56,,,,
59,03/12/10 12:31:24 PM,0.57,,,,
60,03/12/10 12:34:17 PM,0.58,,,,
61,03/12/10 12:38:02 PM,0.59,,,,
62,03/12/10 12:40:23 PM,0.60,,,,
63,03/12/10 12:40:24 PM,0.61,,,,
64,03/12/10 12:44:09 PM,0.62,,,,
65,03/12/10 12:47:52 PM,0.63,,,,
66,03/12/10 12:47:53 PM,0.64,,,,
67,03/12/10 12:52:10 PM,0.65,,,,
68,03/12/10 12:55:55 PM,0.66,,,,
69,03/12/10 01:00:09 PM,0.67,,,,
70,03/12/10 01:08:50 PM,0.68,,,,
71,03/12/10 01:17:08 PM,0.69,,,,
72,03/12/10 01:22:47 PM,0.70,,,,
73,03/12/10 01:28:50 PM,0.71,,,,
74,03/12/10 01:28:51 PM,0.72,,,,
75,03/12/10 01:37:03 PM,0.73,,,,
76,03/12/10 01:40:50 PM,0.74,,,,
77,03/12/10 01:43:15 PM,0.75,,,,
78,03/12/10 01:44:58 PM,0.76,,,,
79,03/12/10 01:46:34 PM,0.77,,,,
80,03/12/10 01:48:27 PM,0.78,,,,
81,03/12/10 01:50:23 PM,0.79,,,,
82,03/12/10 01:52:41 PM,0.80,,,,
83,03/12/10 01:55:25 PM,0.81,,,,
84,03/12/10 02:00:21 PM,0.82,,,,
85,03/12/10 02:08:39 PM,0.83,,,,
86,03/12/10 02:13:33 PM,0.84,,,,
87,03/12/10 02:20:11 PM,0.85,,,,
88,03/12/10 02:26:27 PM,0.86,,,,
89,03/12/10 02:35:52 PM,0.87,,,,
90,03/12/10 02:42:35 PM,0.88,,,,
91,03/12/10 02:45:52 PM,0.89,,,,
92,03/12/10 02:48:04 PM,0.90,,,,
93,03/12/10 02:49:44 PM,0.91,,,,
94,03/12/10 02:51:07 PM,0.92,,,,
95,03/12/10 02:52:42 PM,0.93,,,,
96,03/12/10 02:54:33 PM,0.94,,,,
97,03/12/10 02:56:07 PM,0.95,,,,
98,03/12/10 02:58:13 PM,0.96,,,,
99,03/12/10 03:00:20 PM,0.97,,,,
100,03/12/10 03:03:45 PM,0.98,,,,
101,03/12/10 03:05:43 PM,0.99,,,,
102,03/12/10 03:07:31 PM,1.00,,,,
103,03/12/10 03:09:40 PM,1.01,,,,
104,03/12/10 03:11:12 PM,1.02,,,,
105,03/12/10 03:12:18 PM,1.03,,,,
106,03/12/10 03:13:33 PM,1.04,,,,
107,03/12/10 03:14:58 PM,1.05,,,,
108,03/12/10 03:16:32 PM,1.06,,,,
109,03/12/10 03:19:30 PM,1.07,,,,
110,03/12/10 03:22:29 PM,1.08,,,,
111,03/12/10 03:24:30 PM,1.09,,,,
112,03/12/10 03:27:02 PM,1.10,,,,
113,03/12/10 03:29:11 PM,1.11,,,,
114,03/12/10 03:29:12 PM,1.12,,,,
115,03/12/10 03:31:51 PM,1.13,,,,
116,03/12/10 03:33:15 PM,1.14,,,,
117,03/12/10 03:33:16 PM,1.15,,,,
118,03/12/10 03:33:49 PM,1.16,,,,
119,03/12/10 03:34:35 PM,1.17,,,,
120,03/12/10 03:35:23 PM,1.18,,,,
121,03/12/10 03:36:20 PM,1.19,,,,
122,03/12/10 03:37:48 PM,1.20,,,,
123,03/12/10 03:37:49 PM,1.21,,,,
124,03/12/10 03:40:56 PM,1.22,,,,
125,03/12/10 03:44:14 PM,1.23,,,,
126,03/12/10 03:45:49 PM,1.24,,,,
127,03/12/10 03:47:08 PM,1.25,,,,
128,03/12/10 03:50:09 PM,1.26,,,,
129,03/12/10 03:51:55 PM,1.27,,,,
130,03/12/10 03:52:48 PM,1.28,,,,
131,03/12/10 03:52:49 PM,1.29,,,,
132,03/12/10 03:53:38 PM,1.30,,,,
133,03/12/10 03:55:03 PM,1.31,,,,
134,03/12/10 03:57:38 PM,1.32,,,,
135,03/12/10 04:01:16 PM,1.33,,,,
136,03/12/10 04:06:05 PM,1.34,,,,
137,03/12/10 04:12:55 PM,1.35,,,,
138,03/12/10 04:18:35 PM,1.36,,,,
139,03/12/10 04:21:34 PM,1.37,,,,
140,03/12/10 04:24:37 PM,1.38,,,,
141,03/12/10 04:27:12 PM,1.39,,,,
142,03/12/10 04:29:56 PM,1.40,,,,
143,03/12/10 04:32:51 PM,1.41,,,,
144,03/12/10 04:37:46 PM,1.42,,,,
145,03/12/10 04:42:03 PM,1.43,,,,
146,03/12/10 04:42:04 PM,1.44,,,,
147,03/12/10 04:46:29 PM,1.45,,,,
148,03/12/10 04:50:40 PM,1.46,,,,
149,03/12/10 05:01:29 PM,1.47,,,,
150,03/12/10 05:10:37 PM,1.48,,,,
151,03/12/10 05:16:14 PM,1.49,,,,
152,03/12/10 05:23:05 PM,1.50,,,,
153,03/12/10 05:35:00 PM,1.51,,,,
154,03/12/10 05:39:32 PM,1.52,,,,
155,03/12/10 05:51:09 PM,1.53,,,,
156,03/12/10 06:01:17 PM,1.54,,,,
157,03/12/10 06:17:16 PM,1.55,,,,
158,03/16/10 10:32:32 AM,,,Logged,,
159,03/16/10 10:32:34 AM,1.55,,,Logged,Logged
