"Plot Title: UNF"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 9668993, SEN S/N: 9668993)","Event, inches (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Attached (LGR S/N: 9668993, SEN S/N: 9668993)","Host Connected (LGR S/N: 9668993, SEN S/N: 9668993)","Stopped (LGR S/N: 9668993, SEN S/N: 9668993)","End Of File (LGR S/N: 9668993, SEN S/N: 9668993)"
1,01/13/19 10:00:00 AM,50.643,0.00,,,,
2,01/13/19 11:00:00 AM,53.449,,,,,
3,01/13/19 12:00:00 PM,55.711,,,,,
4,01/13/19 01:00:00 PM,56.230,,,,,
5,01/13/19 02:00:00 PM,58.131,,,,,
6,01/13/19 03:00:00 PM,57.958,,,,,
7,01/13/19 04:00:00 PM,55.189,,,,,
8,01/13/19 05:00:00 PM,52.750,,,,,
9,01/13/19 06:00:00 PM,50.290,,,,,
10,01/13/19 07:00:00 PM,48.871,,,,,
11,01/13/19 08:00:00 PM,48.339,,,,,
12,01/13/19 09:00:00 PM,48.160,,,,,
13,01/13/19 10:00:00 PM,48.517,,,,,
14,01/13/19 11:00:00 PM,48.339,,,,,
15,01/14/19 12:00:00 AM,48.695,,,,,
16,01/14/19 01:00:00 AM,49.050,,,,,
17,01/14/19 02:00:00 AM,49.228,,,,,
18,01/14/19 03:00:00 AM,49.582,,,,,
19,01/14/19 04:00:00 AM,49.404,,,,,
20,01/14/19 05:00:00 AM,49.582,,,,,
21,01/14/19 05:54:40 AM,,0.01,,,,
22,01/14/19 06:00:00 AM,49.582,,,,,
23,01/14/19 07:00:00 AM,48.339,,,,,
24,01/14/19 07:52:36 AM,,0.02,,,,
25,01/14/19 08:00:00 AM,48.160,,,,,
26,01/14/19 08:26:53 AM,,0.03,,,,
27,01/14/19 08:41:44 AM,,0.04,,,,
28,01/14/19 08:54:21 AM,,0.05,,,,
29,01/14/19 09:00:00 AM,48.339,,,,,
30,01/14/19 09:08:10 AM,,0.06,,,,
31,01/14/19 10:00:00 AM,49.937,,,,,
32,01/14/19 11:00:00 AM,50.113,,,,,
33,01/14/19 12:00:00 PM,51.172,,,,,
34,01/14/19 01:00:00 PM,52.225,,,,,
35,01/14/19 01:32:50 PM,,0.07,,,,
36,01/14/19 02:00:00 PM,51.699,,,,,
37,01/14/19 02:23:31 PM,,0.08,,,,
38,01/14/19 02:32:34 PM,,0.09,,,,
39,01/14/19 02:35:54 PM,,0.10,,,,
40,01/14/19 02:39:39 PM,,0.11,,,,
41,01/14/19 02:41:35 PM,,0.12,,,,
42,01/14/19 02:43:24 PM,,0.13,,,,
43,01/14/19 02:45:16 PM,,0.14,,,,
44,01/14/19 02:46:39 PM,,0.15,,,,
45,01/14/19 02:49:12 PM,,0.16,,,,
46,01/14/19 02:50:44 PM,,0.17,,,,
47,01/14/19 02:53:08 PM,,0.18,,,,
48,01/14/19 02:54:27 PM,,0.19,,,,
49,01/14/19 02:57:30 PM,,0.20,,,,
50,01/14/19 03:00:00 PM,49.582,,,,,
51,01/14/19 03:00:21 PM,,0.21,,,,
52,01/14/19 03:02:44 PM,,0.22,,,,
53,01/14/19 03:04:23 PM,,0.23,,,,
54,01/14/19 03:06:59 PM,,0.24,,,,
55,01/14/19 03:09:26 PM,,0.25,,,,
56,01/14/19 03:11:12 PM,,0.26,,,,
57,01/14/19 03:13:56 PM,,0.27,,,,
58,01/14/19 03:15:48 PM,,0.28,,,,
59,01/14/19 03:23:02 PM,,0.29,,,,
