"Plot Title: Landing"
"#","Date Time, GMT-07:00","Event, inches (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Detached (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Attached (LGR S/N: 9668993, SEN S/N: 9668993)","End Of File (LGR S/N: 9668993, SEN S/N: 9668993)"
1,04/30/12 12:18:59 PM,0.00,,,
2,04/30/12 12:19:25 PM,,Logged,,
3,05/03/12 06:51:10 PM,0.01,,,
4,05/03/12 08:18:05 PM,0.02,,,
5,05/03/12 10:53:04 PM,0.03,,,
6,05/04/12 12:27:08 AM,0.04,,,
7,05/04/12 12:27:09 AM,0.05,,,
8,05/04/12 01:09:48 AM,0.06,,,
9,05/04/12 01:50:51 AM,0.07,,,
10,05/04/12 01:50:52 AM,0.08,,,
11,05/14/12 09:44:21 AM,0.08,,Logged,Logged
