"Plot Title: LQC"
"#","Date Time, GMT-07:00","Event, inches (LGR S/N: 10592080, SEN S/N: 10592080)","End Of File (LGR S/N: 10592080, SEN S/N: 10592080)"
1,03/29/16 01:47:27 PM,,Logged
2,03/29/16 01:48:27 PM,0.00,
3,03/29/16 01:47:27 PM,0.00,
