"Plot Title: HS"
"#","Date Time, GMT-07:00","Event, units (LGR S/N: 9668992, SEN S/N: 9668992)","Coupler Detached (LGR S/N: 9668992, SEN S/N: 9668992)","Coupler Attached (LGR S/N: 9668992, SEN S/N: 9668992)","End Of File (LGR S/N: 9668992, SEN S/N: 9668992)"
1,08/03/10 12:04:02 PM,0.00,,,
2,08/03/10 12:04:09 PM,,Logged,,
3,08/04/10 02:56:01 AM,1.00,,,
4,08/07/10 01:10:06 AM,2.00,,,
5,08/09/10 02:21:08 AM,3.00,,,
6,08/09/10 05:58:51 AM,4.00,,,
7,08/09/10 07:29:09 AM,5.00,,,
8,08/10/10 04:16:16 AM,6.00,,,
9,08/10/10 04:16:17 AM,7.00,,,
10,08/10/10 10:11:38 AM,7.00,,Logged,Logged
