"Plot Title: Landing"
"#","Date Time, GMT-07:00","rainfall, inches (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Detached (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Attached (LGR S/N: 9668993, SEN S/N: 9668993)","End Of File (LGR S/N: 9668993, SEN S/N: 9668993)"
1,07/12/11 10:56:35 AM,0.00000000,,,
2,07/12/11 10:56:37 AM,,Logged,,
3,07/19/11 10:28:43 AM,0.00000000,,Logged,Logged
