"Plot Title: RLSM"
"#","Date Time, GMT-07:00","Event, units (LGR S/N: 10592084, SEN S/N: 10592084, LBL: Rain)","End Of File (LGR S/N: 10592084, SEN S/N: 10592084)"
1,03/29/16 11:12:19 AM,,Logged
2,03/29/16 12:12:19 PM,0.00,
3,03/29/16 11:12:19 AM,0.00,
