"Plot Title: RLSF"
"#","Date Time, GMT-07:00","Event, inches (LGR S/N: 10592086, SEN S/N: 10592086)","Coupler Detached (LGR S/N: 10592086, SEN S/N: 10592086)","Coupler Attached (LGR S/N: 10592086, SEN S/N: 10592086)","Stopped (LGR S/N: 10592086, SEN S/N: 10592086)","End Of File (LGR S/N: 10592086, SEN S/N: 10592086)"
1,10/14/14 11:57:46 AM,0.00,,,,
2,10/14/14 11:57:56 AM,,Logged,,,
3,10/15/14 03:20:29 AM,0.01,,,,
4,10/15/14 03:52:19 AM,0.02,,,,
5,10/15/14 04:01:36 AM,0.03,,,,
6,10/15/14 05:41:42 AM,0.04,,,,
7,10/15/14 05:41:43 AM,0.05,,,,
8,10/15/14 06:14:08 AM,0.06,,,,
9,10/15/14 07:05:15 AM,0.07,,,,
10,10/15/14 07:05:16 AM,0.08,,,,
11,10/20/14 10:31:35 AM,,,Logged,,
12,10/20/14 10:31:39 AM,0.08,,,Logged,Logged
