"Plot Title: LQC"
"#","Date Time, GMT-08:00","Event, inches (LGR S/N: 10592080, SEN S/N: 10592080)","Coupler Detached (LGR S/N: 10592080, SEN S/N: 10592080)","Coupler Attached (LGR S/N: 10592080, SEN S/N: 10592080)","Host Connected (LGR S/N: 10592080, SEN S/N: 10592080)","End Of File (LGR S/N: 10592080, SEN S/N: 10592080)"
1,01/21/16 04:01:06 PM,0.00,,,,
2,01/21/16 04:01:14 PM,,Logged,,,
3,01/22/16 03:28:54 AM,0.01,,,,
4,01/22/16 03:40:23 AM,0.02,,,,
5,01/22/16 03:53:06 AM,0.03,,,,
6,01/22/16 04:01:09 AM,0.04,,,,
7,01/22/16 04:10:00 AM,0.05,,,,
8,01/22/16 04:13:59 AM,0.06,,,,
9,01/22/16 04:17:25 AM,0.07,,,,
10,01/22/16 04:19:49 AM,0.08,,,,
11,01/22/16 04:22:54 AM,0.09,,,,
12,01/22/16 04:25:22 AM,0.10,,,,
13,01/22/16 04:28:14 AM,0.11,,,,
14,01/22/16 04:32:09 AM,0.12,,,,
15,01/22/16 04:36:18 AM,0.13,,,,
16,01/22/16 04:36:19 AM,0.14,,,,
17,01/22/16 04:40:02 AM,0.15,,,,
18,01/22/16 04:42:54 AM,0.16,,,,
19,01/22/16 04:45:10 AM,0.17,,,,
20,01/22/16 04:47:45 AM,0.18,,,,
21,01/22/16 04:50:46 AM,0.19,,,,
22,01/22/16 04:53:43 AM,0.20,,,,
23,01/22/16 04:56:53 AM,0.21,,,,
24,01/22/16 04:56:54 AM,0.22,,,,
25,01/22/16 04:59:30 AM,0.23,,,,
26,01/22/16 05:01:09 AM,0.24,,,,
27,01/22/16 05:03:03 AM,0.25,,,,
28,01/22/16 05:03:04 AM,0.26,,,,
29,01/22/16 05:05:29 AM,0.27,,,,
30,01/22/16 05:05:30 AM,0.28,,,,
31,01/22/16 05:08:45 AM,0.29,,,,
32,01/22/16 05:11:04 AM,0.30,,,,
33,01/22/16 05:13:47 AM,0.31,,,,
34,01/22/16 05:13:48 AM,0.32,,,,
35,01/22/16 05:16:59 AM,0.33,,,,
36,01/22/16 05:19:55 AM,0.34,,,,
37,01/22/16 05:22:52 AM,0.35,,,,
38,01/22/16 05:25:42 AM,0.36,,,,
39,01/22/16 05:29:18 AM,0.37,,,,
40,01/22/16 05:33:18 AM,0.38,,,,
41,01/22/16 05:33:19 AM,0.39,,,,
42,01/22/16 05:36:41 AM,0.40,,,,
43,01/22/16 05:40:17 AM,0.41,,,,
44,01/22/16 05:45:20 AM,0.42,,,,
45,01/22/16 05:45:21 AM,0.43,,,,
46,01/22/16 05:50:40 AM,0.44,,,,
47,01/22/16 05:50:41 AM,0.45,,,,
48,01/22/16 05:54:56 AM,0.46,,,,
49,01/22/16 06:00:45 AM,0.47,,,,
50,01/22/16 06:05:06 AM,0.48,,,,
51,01/22/16 06:08:49 AM,0.49,,,,
52,01/22/16 06:08:50 AM,0.50,,,,
53,01/22/16 06:10:58 AM,0.51,,,,
54,01/22/16 06:13:10 AM,0.52,,,,
55,01/22/16 06:15:52 AM,0.53,,,,
56,01/22/16 06:18:02 AM,0.54,,,,
57,01/22/16 06:20:01 AM,0.55,,,,
58,01/22/16 06:23:25 AM,0.56,,,,
59,01/22/16 06:24:59 AM,0.57,,,,
60,01/22/16 06:25:00 AM,0.58,,,,
61,01/22/16 06:26:41 AM,0.59,,,,
62,01/22/16 06:29:30 AM,0.60,,,,
63,01/22/16 06:31:43 AM,0.61,,,,
64,01/22/16 06:33:31 AM,0.62,,,,
65,01/22/16 06:35:59 AM,0.63,,,,
66,01/22/16 06:37:58 AM,0.64,,,,
67,01/22/16 06:40:14 AM,0.65,,,,
68,01/22/16 06:42:10 AM,0.66,,,,
69,01/22/16 06:42:11 AM,0.67,,,,
70,01/22/16 06:44:03 AM,0.68,,,,
71,01/22/16 06:45:43 AM,0.69,,,,
72,01/22/16 06:47:21 AM,0.70,,,,
73,01/22/16 06:48:49 AM,0.71,,,,
74,01/22/16 06:50:51 AM,0.72,,,,
75,01/22/16 06:53:08 AM,0.73,,,,
76,01/22/16 06:53:09 AM,0.74,,,,
77,01/22/16 06:55:19 AM,0.75,,,,
78,01/22/16 06:57:33 AM,0.76,,,,
79,01/22/16 06:59:11 AM,0.77,,,,
80,01/22/16 06:59:12 AM,0.78,,,,
81,01/22/16 07:00:31 AM,0.79,,,,
82,01/22/16 07:02:15 AM,0.80,,,,
83,01/22/16 07:04:18 AM,0.81,,,,
84,01/22/16 07:06:29 AM,0.82,,,,
85,01/22/16 07:08:59 AM,0.83,,,,
86,01/22/16 07:09:00 AM,0.84,,,,
87,01/22/16 07:13:03 AM,0.85,,,,
88,01/22/16 07:17:08 AM,0.86,,,,
89,01/22/16 07:19:19 AM,0.87,,,,
90,01/22/16 07:21:13 AM,0.88,,,,
91,01/22/16 07:23:42 AM,0.89,,,,
92,01/22/16 07:26:10 AM,0.90,,,,
93,01/22/16 07:28:09 AM,0.91,,,,
94,01/22/16 07:30:18 AM,0.92,,,,
95,01/22/16 07:30:19 AM,0.93,,,,
96,01/22/16 07:33:15 AM,0.94,,,,
97,01/22/16 07:36:53 AM,0.95,,,,
98,01/22/16 07:40:32 AM,0.96,,,,
