"Plot Title: Landing"
"#","Date Time, GMT-07:00","rainfall, inches (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Detached (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Attached (LGR S/N: 9668993, SEN S/N: 9668993)","End Of File (LGR S/N: 9668993, SEN S/N: 9668993)"
1,09/14/10 01:56:37 PM,0.00000000,,,
2,09/14/10 01:56:40 PM,,Logged,,
3,09/21/10 02:18:50 PM,0.00000000,,Logged,Logged
