"Plot Title: Landing"
"#","Date Time, GMT-07:00","Ext. Line Event (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Attached (LGR S/N: 9668993, SEN S/N: 9668993)","Stopped (LGR S/N: 9668993, SEN S/N: 9668993)","End Of File (LGR S/N: 9668993, SEN S/N: 9668993)"
1,11/15/11 12:00:00 PM,0.00,,,
2,11/18/11 02:28:59 PM,0.00,,,
3,11/18/11 04:06:19 PM,0.00,,,
4,11/18/11 06:29:29 PM,0.00,,,
5,11/18/11 06:31:48 PM,0.00,,,
6,11/18/11 06:33:07 PM,0.00,,,
7,11/18/11 06:34:47 PM,0.00,,,
8,11/18/11 09:03:49 PM,0.00,,,
9,11/18/11 09:39:49 PM,0.00,,,
10,11/18/11 10:15:51 PM,0.00,,,
11,11/18/11 10:20:58 PM,0.00,,,
12,11/18/11 10:25:32 PM,0.00,,,
13,11/18/11 10:25:33 PM,0.00,,,
14,11/18/11 11:25:54 PM,0.00,,,
15,11/19/11 09:34:03 AM,0.00,,,
16,11/19/11 08:28:11 PM,0.00,,,
17,11/19/11 08:33:20 PM,0.00,,,
18,11/19/11 08:37:54 PM,0.00,,,
19,11/19/11 08:47:48 PM,0.00,,,
20,11/19/11 09:04:13 PM,0.00,,,
21,11/19/11 09:08:52 PM,0.00,,,
22,11/19/11 09:13:28 PM,0.00,,,
23,11/19/11 09:13:29 PM,0.00,,,
24,11/19/11 09:17:07 PM,0.00,,,
25,11/19/11 09:20:21 PM,0.00,,,
26,11/19/11 09:22:24 PM,0.00,,,
27,11/19/11 09:22:25 PM,0.00,,,
28,11/19/11 09:24:53 PM,0.00,,,
29,11/19/11 09:26:55 PM,0.00,,,
30,11/19/11 09:26:56 PM,0.00,,,
31,11/19/11 09:30:06 PM,0.00,,,
32,11/19/11 09:32:36 PM,0.00,,,
33,11/19/11 09:35:21 PM,0.00,,,
34,11/19/11 09:38:41 PM,0.00,,,
35,11/19/11 09:41:47 PM,0.00,,,
36,11/19/11 09:44:39 PM,0.00,,,
37,11/19/11 09:49:01 PM,0.00,,,
38,11/19/11 09:51:32 PM,0.00,,,
39,11/19/11 09:54:39 PM,0.00,,,
40,11/19/11 09:57:24 PM,0.00,,,
41,11/19/11 10:01:28 PM,0.00,,,
42,11/19/11 10:05:02 PM,0.00,,,
43,11/19/11 10:09:22 PM,0.00,,,
44,11/19/11 10:11:36 PM,0.00,,,
45,11/19/11 10:15:05 PM,0.00,,,
