"Plot Title: UNF"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 10592083, SEN S/N: 10592083, LBL: LLAMP - UNF)","Event, inches (LGR S/N: 10592083, SEN S/N: 10592083, LBL: UNF)","Coupler Attached (LGR S/N: 10592083, SEN S/N: 10592083)","Host Connected (LGR S/N: 10592083, SEN S/N: 10592083)","End Of File (LGR S/N: 10592083, SEN S/N: 10592083)"
1,01/28/40 02:28:23 PM,66.879,0.0,,,
2,01/28/40 02:29:23 PM,67.392,,,,
3,01/28/40 02:30:23 PM,67.564,,,,
4,01/28/40 02:31:23 PM,67.735,,,,
5,01/28/40 02:32:23 PM,67.735,,,,
6,01/28/40 02:33:23 PM,67.735,,,,
7,01/28/40 02:34:23 PM,67.564,,,,
8,01/28/40 02:35:23 PM,67.564,,,,
9,01/28/40 02:36:23 PM,67.392,,,,
10,01/28/40 02:37:23 PM,67.221,,,,
11,01/28/40 02:38:23 PM,67.221,,,,
12,01/28/40 02:39:23 PM,67.050,,,,
13,01/28/40 02:40:23 PM,66.879,,,,
14,01/28/40 02:41:23 PM,66.708,,,,
15,01/28/40 02:42:23 PM,66.708,,,,
16,01/28/40 02:43:23 PM,66.537,,,,
17,01/28/40 02:44:23 PM,66.366,,,,
18,01/28/40 02:45:23 PM,66.366,,,,
19,01/28/40 02:46:23 PM,66.537,,,,
20,01/28/40 02:47:23 PM,66.708,,,,
21,01/28/40 02:48:23 PM,66.879,,,,
22,01/28/40 02:49:23 PM,67.050,,,,
23,01/28/40 02:50:23 PM,67.221,,,,
24,01/28/40 02:51:23 PM,67.392,,,,
25,01/28/40 02:52:23 PM,67.392,,,,
26,01/28/40 02:53:23 PM,67.392,,,,
27,01/28/40 02:54:23 PM,67.564,,,,
28,01/28/40 02:55:23 PM,67.735,,,,
29,01/28/40 02:56:23 PM,68.248,,,,
30,01/28/40 02:57:23 PM,68.248,,,,
31,01/28/40 02:58:23 PM,68.421,,,,
32,01/28/40 02:59:23 PM,68.421,,,,
33,01/28/40 03:00:23 PM,68.592,,,,
34,01/28/40 03:01:23 PM,68.763,,,,
35,01/28/40 03:02:23 PM,68.934,,,,
36,01/28/40 03:03:23 PM,68.934,,,,
37,01/28/40 03:04:23 PM,68.934,,,,
38,01/28/40 03:05:23 PM,68.934,,,,
39,01/28/40 03:06:23 PM,68.763,,,,
40,01/28/40 03:07:23 PM,68.763,,,,
41,01/28/40 03:08:23 PM,68.763,,,,
42,01/28/40 03:09:23 PM,68.592,,,,
43,01/28/40 03:10:23 PM,68.592,,,,
44,01/28/40 03:11:23 PM,68.763,,,,
45,01/28/40 03:12:23 PM,68.592,,,,
46,01/28/40 03:13:23 PM,68.592,,,,
47,01/28/40 03:14:23 PM,68.421,,,,
48,01/28/40 03:15:23 PM,68.421,,,,
49,01/28/40 03:16:23 PM,68.421,,,,
50,01/28/40 03:17:23 PM,68.592,,,,
51,01/28/40 03:18:23 PM,69.449,,,,
52,01/28/40 03:19:23 PM,70.137,,,,
53,01/28/40 03:20:23 PM,71.339,,,,
54,01/28/40 03:21:23 PM,72.545,,,,
55,01/28/40 03:22:23 PM,73.753,,,,
56,01/28/40 03:23:23 PM,74.964,,,,
57,01/28/40 03:24:23 PM,76.006,,,,
58,01/28/40 03:25:23 PM,77.050,,,,
59,01/28/40 03:26:23 PM,78.098,,,,
60,01/28/40 03:27:23 PM,78.975,,,,
61,01/28/40 03:28:23 PM,79.853,,,,
62,01/28/40 03:29:23 PM,80.735,,,,
63,01/28/40 03:30:23 PM,81.621,,,,
64,01/28/40 03:31:23 PM,82.330,,,,
65,01/28/40 03:32:23 PM,83.043,,,,
66,01/28/40 03:33:23 PM,83.757,,,,
67,01/28/40 03:34:23 PM,84.474,,,,
68,01/28/40 03:35:23 PM,85.194,,,,
69,01/28/40 03:36:23 PM,85.735,,,,
70,01/28/40 03:37:23 PM,86.277,,,,
71,01/28/40 03:38:23 PM,86.823,,,,
72,01/28/40 03:39:23 PM,87.368,,,,
73,01/28/40 03:40:23 PM,87.915,,,,
74,01/28/40 03:41:23 PM,88.282,,,,
75,01/28/40 03:42:23 PM,88.833,,,,
76,01/28/40 03:43:23 PM,89.200,,,,
77,01/28/40 03:44:23 PM,89.384,,,,
78,01/28/40 03:45:23 PM,89.755,,,,
79,01/28/40 03:46:23 PM,90.124,,,,
80,01/28/40 03:47:23 PM,90.309,,,,
81,01/28/40 03:48:23 PM,90.495,,,,
82,01/28/40 03:49:23 PM,90.680,,,,
83,01/28/40 03:50:23 PM,91.053,,,,
84,01/28/40 03:51:23 PM,91.053,,,,
85,01/28/40 03:52:23 PM,91.240,,,,
86,01/28/40 03:53:23 PM,91.425,,,,
87,01/28/40 03:54:23 PM,91.425,,,,
88,01/28/40 03:55:23 PM,91.612,,,,
89,01/28/40 03:56:23 PM,91.612,,,,
90,01/28/40 03:57:23 PM,91.800,,,,
91,01/28/40 03:58:23 PM,91.987,,,,
92,01/28/40 03:59:23 PM,91.987,,,,
93,01/28/40 04:00:23 PM,91.987,,,,
94,01/28/40 04:01:23 PM,92.174,,,,
95,01/28/40 04:02:23 PM,92.174,,,,
96,01/28/40 04:03:23 PM,92.174,,,,
97,01/28/40 04:04:23 PM,92.174,,,,
98,01/28/40 04:05:23 PM,92.174,,,,
99,01/28/40 04:06:23 PM,92.174,,,,
100,01/28/40 04:07:23 PM,92.363,,,,
101,01/28/40 04:08:23 PM,92.363,,,,
102,01/28/40 04:09:23 PM,92.363,,,,
103,01/28/40 04:10:23 PM,92.363,,,,
104,01/28/40 04:11:23 PM,92.363,,,,
105,01/28/40 04:12:23 PM,92.363,,,,
106,01/28/40 04:13:23 PM,92.174,,,,
107,01/28/40 04:14:23 PM,92.174,,,,
108,01/28/40 04:15:23 PM,92.174,,,,
109,01/28/40 04:16:23 PM,92.174,,,,
110,01/28/40 04:17:23 PM,92.174,,,,
111,01/28/40 04:18:23 PM,92.174,,,,
112,01/28/40 04:19:23 PM,92.174,,,,
113,01/28/40 04:20:23 PM,92.174,,,,
114,01/28/40 04:21:23 PM,92.174,,,,
115,01/28/40 04:22:23 PM,92.174,,,,
116,01/28/40 04:23:23 PM,92.174,,,,
117,01/28/40 04:24:23 PM,92.174,,,,
118,01/28/40 04:25:23 PM,92.174,,,,
119,01/28/40 04:26:23 PM,92.174,,,,
120,01/28/40 04:27:23 PM,92.174,,,,
121,01/28/40 04:28:23 PM,92.174,,,,
122,01/28/40 04:29:23 PM,92.174,,,,
123,01/28/40 04:30:23 PM,92.174,,,,
124,01/28/40 04:31:23 PM,92.174,,,,
125,01/28/40 04:32:23 PM,91.987,,,,
126,01/28/40 04:33:23 PM,91.612,,,,
127,01/28/40 04:34:23 PM,91.425,,,,
128,01/28/40 04:35:23 PM,91.053,,,,
