"Plot Title: 10592087"
"#","Date Time, GMT-07:00","Event, inches (LGR S/N: 10592087, SEN S/N: 10592087)","Coupler Detached (LGR S/N: 10592087, SEN S/N: 10592087)","Coupler Attached (LGR S/N: 10592087, SEN S/N: 10592087)","End Of File (LGR S/N: 10592087, SEN S/N: 10592087)"
1,11/10/14 12:50:57 PM,0.00,,,
2,11/10/14 12:51:03 PM,,Logged,,
3,11/11/14 01:29:16 AM,0.01,,,
4,11/11/14 01:43:12 AM,0.02,,,
5,11/13/14 12:56:16 AM,0.03,,,
6,11/13/14 01:07:15 AM,0.04,,,
7,11/13/14 01:13:36 AM,0.05,,,
8,11/13/14 01:19:06 AM,0.06,,,
9,11/13/14 01:19:07 AM,0.07,,,
10,11/13/14 01:24:54 AM,0.08,,,
11,11/13/14 01:29:19 AM,0.09,,,
12,11/13/14 01:33:11 AM,0.10,,,
13,11/13/14 01:36:33 AM,0.11,,,
14,11/13/14 01:40:30 AM,0.12,,,
15,11/13/14 01:45:17 AM,0.13,,,
16,11/13/14 01:52:46 AM,0.14,,,
17,11/13/14 01:58:53 AM,0.15,,,
18,11/13/14 02:04:04 AM,0.16,,,
19,11/13/14 02:10:28 AM,0.17,,,
20,11/13/14 02:10:29 AM,0.18,,,
21,11/13/14 02:23:21 AM,0.19,,,
22,11/13/14 02:53:25 AM,0.20,,,
23,11/13/14 03:45:55 AM,0.21,,,
24,11/13/14 04:23:37 AM,0.22,,,
25,11/13/14 05:01:59 AM,0.23,,,
26,11/13/14 05:50:38 AM,0.24,,,
27,11/13/14 06:20:20 AM,0.25,,,
28,11/13/14 06:32:12 AM,0.26,,,
29,11/13/14 06:32:13 AM,0.27,,,
30,11/13/14 06:33:49 AM,0.28,,,
31,11/13/14 06:37:51 AM,0.29,,,
32,11/13/14 06:37:52 AM,0.30,,,
33,11/13/14 07:05:37 AM,0.31,,,
34,11/13/14 10:06:37 AM,0.32,,,
35,11/13/14 10:06:38 AM,0.33,,,
36,11/18/14 11:15:31 AM,0.33,,Logged,Logged
