"Plot Title: UNF"
"#","Date Time, GMT-07:00","Event, units (LGR S/N: 10592083, SEN S/N: 10592083, LBL: UNF)","Coupler Detached (LGR S/N: 10592083, SEN S/N: 10592083)","Coupler Attached (LGR S/N: 10592083, SEN S/N: 10592083)","Stopped (LGR S/N: 10592083, SEN S/N: 10592083)","End Of File (LGR S/N: 10592083, SEN S/N: 10592083)"
121,11/08/15 01:20:32 PM,1.19,,,,
122,11/08/15 01:32:23 PM,1.20,,,,
123,11/08/15 02:10:29 PM,1.21,,,,
124,11/08/15 02:23:20 PM,1.22,,,,
125,11/08/15 09:14:01 PM,1.23,,,,
126,11/08/15 09:18:54 PM,1.24,,,,
127,11/09/15 02:34:00 AM,1.25,,,,
128,11/09/15 09:53:35 AM,1.26,,,,
129,11/09/15 09:56:42 AM,1.27,,,,
130,11/09/15 09:57:45 AM,1.28,,,,
131,11/09/15 09:58:25 AM,1.29,,,,
132,11/09/15 09:59:04 AM,1.30,,,,
133,11/09/15 09:59:26 AM,1.31,,,,
134,11/09/15 09:59:44 AM,1.32,,,,
135,11/09/15 10:00:00 AM,1.33,,,,
136,11/09/15 10:00:23 AM,1.34,,,,
137,11/09/15 10:01:14 AM,1.35,,,,
138,11/09/15 10:03:06 AM,1.36,,,,
139,11/09/15 10:31:34 AM,1.37,,,,
140,11/09/15 10:32:52 AM,1.38,,,,
141,11/09/15 10:33:30 AM,1.39,,,,
142,11/09/15 10:34:04 AM,1.40,,,,
143,11/09/15 10:34:44 AM,1.41,,,,
144,11/09/15 10:36:23 AM,1.42,,,,
145,11/09/15 10:37:43 AM,1.43,,,,
146,11/09/15 10:39:23 AM,1.44,,,,
147,11/09/15 10:41:01 AM,1.45,,,,
148,11/09/15 10:43:23 AM,1.46,,,,
149,11/09/15 10:45:48 AM,1.47,,,,
150,11/09/15 12:02:01 PM,1.48,,,,
151,11/09/15 12:03:33 PM,1.49,,,,
152,11/09/15 12:03:54 PM,1.50,,,,
153,11/09/15 12:04:30 PM,1.51,,,,
154,11/09/15 12:09:18 PM,1.52,,,,
155,11/09/15 12:16:02 PM,1.53,,,,
156,11/09/15 12:21:52 PM,1.54,,,,
157,11/09/15 12:26:03 PM,1.55,,,,
158,11/09/15 03:01:50 PM,1.56,,,,
159,11/09/15 09:24:23 PM,1.57,,,,
160,11/10/15 12:23:00 AM,1.58,,,,
161,11/15/15 03:55:31 AM,1.59,,,,
162,11/15/15 03:58:01 AM,1.60,,,,
163,11/15/15 04:44:49 AM,1.61,,,,
164,11/15/15 04:50:02 AM,1.62,,,,
165,11/15/15 04:55:49 AM,1.63,,,,
166,11/15/15 05:00:30 AM,1.64,,,,
167,11/15/15 05:01:57 AM,1.65,,,,
168,11/15/15 05:03:04 AM,1.66,,,,
169,11/15/15 05:03:47 AM,1.67,,,,
170,11/15/15 05:04:25 AM,1.68,,,,
171,11/15/15 05:05:02 AM,1.69,,,,
172,11/15/15 05:06:23 AM,1.70,,,,
173,11/15/15 05:07:59 AM,1.71,,,,
174,11/15/15 05:10:19 AM,1.72,,,,
175,11/15/15 05:12:39 AM,1.73,,,,
176,11/15/15 05:14:54 AM,1.74,,,,
177,11/15/15 05:17:56 AM,1.75,,,,
178,11/15/15 05:23:06 AM,1.76,,,,
179,11/15/15 05:35:13 AM,1.77,,,,
180,11/15/15 05:56:03 AM,1.78,,,,
181,11/15/15 06:03:22 AM,1.79,,,,
182,11/15/15 06:07:26 AM,1.80,,,,
183,11/15/15 06:11:05 AM,1.81,,,,
184,11/15/15 06:15:32 AM,1.82,,,,
185,11/15/15 06:21:56 AM,1.83,,,,
186,11/15/15 06:29:39 AM,1.84,,,,
187,11/15/15 06:35:44 AM,1.85,,,,
188,11/15/15 06:43:29 AM,1.86,,,,
189,11/15/15 06:53:04 AM,1.87,,,,
190,11/15/15 07:27:30 AM,1.88,,,,
191,11/15/15 07:30:48 AM,1.89,,,,
192,11/15/15 07:32:57 AM,1.90,,,,
193,11/15/15 07:34:25 AM,1.91,,,,
194,11/15/15 07:36:32 AM,1.92,,,,
195,11/15/15 07:37:28 AM,1.93,,,,
196,11/15/15 07:39:03 AM,1.94,,,,
197,11/15/15 07:40:30 AM,1.95,,,,
198,11/15/15 07:41:26 AM,1.96,,,,
199,11/15/15 07:42:57 AM,1.97,,,,
200,11/15/15 07:52:46 AM,1.98,,,,
201,11/15/15 07:55:21 AM,1.99,,,,
202,11/15/15 08:17:34 AM,2.00,,,,
203,11/15/15 08:22:57 AM,2.01,,,,
204,11/15/15 08:48:04 AM,2.02,,,,
205,11/15/15 08:49:44 AM,2.03,,,,
206,11/15/15 10:27:00 AM,2.04,,,,
207,11/15/15 12:36:59 PM,2.05,,,,
208,11/24/15 10:25:47 AM,2.06,,,,
209,11/24/15 10:29:31 AM,2.07,,,,
210,11/24/15 10:36:37 AM,2.08,,,,
211,11/24/15 10:54:29 AM,2.09,,,,
212,11/24/15 10:59:08 AM,2.10,,,,
213,11/24/15 11:02:02 AM,2.11,,,,
214,11/24/15 11:03:26 AM,2.12,,,,
215,11/24/15 11:06:59 AM,2.13,,,,
216,11/24/15 11:10:36 AM,2.14,,,,
217,11/24/15 11:13:29 AM,2.15,,,,
218,11/24/15 11:16:26 AM,2.16,,,,
219,11/24/15 11:20:16 AM,2.17,,,,
220,11/24/15 11:24:45 AM,2.18,,,,
221,11/24/15 11:26:33 AM,2.19,,,,
222,11/24/15 11:29:13 AM,2.20,,,,
223,11/24/15 11:31:41 AM,2.21,,,,
224,11/24/15 11:38:19 AM,2.22,,,,
225,11/24/15 11:40:55 AM,2.23,,,,
226,11/24/15 11:45:03 AM,2.24,,,,
227,11/24/15 11:50:37 AM,2.25,,,,
228,11/24/15 11:54:16 AM,2.26,,,,
229,11/24/15 12:02:49 PM,2.27,,,,
230,11/24/15 12:07:43 PM,2.28,,,,
231,11/24/15 12:10:22 PM,2.29,,,,
232,11/24/15 12:22:01 PM,2.30,,,,
233,11/24/15 12:38:08 PM,2.31,,,,
234,11/24/15 12:59:10 PM,2.32,,,,
235,11/24/15 11:38:30 PM,2.33,,,,
236,11/25/15 01:15:32 AM,2.34,,,,
237,11/25/15 01:19:48 AM,2.35,,,,
238,11/25/15 01:50:29 AM,2.36,,,,
239,11/25/15 01:54:26 AM,2.37,,,,
240,11/25/15 01:57:02 AM,2.38,,,,
241,11/25/15 07:09:02 AM,2.39,,,,
242,12/02/15 12:58:17 PM,,,Logged,,
243,12/02/15 12:58:21 PM,2.39,,,Logged,Logged
