"Plot Title: LC RRG"
"#","Date Time, GMT-07:00","Event, inches (LGR S/N: 10592081, SEN S/N: 10592081)","Coupler Detached (LGR S/N: 10592081, SEN S/N: 10592081)","Coupler Attached (LGR S/N: 10592081, SEN S/N: 10592081)","End Of File (LGR S/N: 10592081, SEN S/N: 10592081)"
1,11/05/14 12:58:16 PM,0.00,,,
2,11/05/14 12:58:27 PM,,Logged,,
3,11/10/14 12:19:21 PM,0.00,,Logged,Logged
