"Plot Title: LCHS"
"#","Date Time, GMT-08:00","Ext. Line Event, Inches (LGR S/N: 9668992, SEN S/N: 9668992)","Coupler Detached (LGR S/N: 9668992, SEN S/N: 9668992)","Coupler Attached (LGR S/N: 9668992, SEN S/N: 9668992)","End Of File (LGR S/N: 9668992, SEN S/N: 9668992)"
1,05/11/10 11:12:23 AM,0.00,,,
2,05/11/10 11:12:27 AM,,Logged,,
3,05/17/10 09:11:12 AM,0.01,,,
4,05/17/10 09:50:08 AM,0.02,,,
5,05/17/10 01:23:14 PM,0.03,,,
6,05/17/10 02:31:34 PM,0.04,,,
7,05/17/10 03:44:40 PM,0.05,,,
8,05/17/10 03:44:41 PM,0.06,,,
9,05/17/10 05:01:32 PM,0.07,,,
10,05/17/10 06:20:13 PM,0.08,,,
11,05/17/10 07:49:48 PM,0.09,,,
12,05/17/10 09:45:01 PM,0.10,,,
13,05/17/10 11:25:46 PM,0.11,,,
14,05/18/10 12:17:00 AM,0.12,,,
15,05/18/10 01:21:15 AM,0.13,,,
16,05/18/10 02:43:31 AM,0.14,,,
17,05/18/10 04:39:09 AM,0.15,,,
18,05/18/10 06:55:21 AM,0.16,,,
19,05/18/10 09:12:28 AM,0.16,,Logged,Logged
