"Plot Title: LQC"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 10592080, SEN S/N: 10592080)","Event, units (LGR S/N: 10592080, SEN S/N: 10592080)","Coupler Detached (LGR S/N: 10592080, SEN S/N: 10592080)","Coupler Attached (LGR S/N: 10592080, SEN S/N: 10592080)","Stopped (LGR S/N: 10592080, SEN S/N: 10592080)","End Of File (LGR S/N: 10592080, SEN S/N: 10592080)"
1,11/03/17 01:29:36 PM,79.326,0.00,,,,
2,11/03/17 01:29:44 PM,,,Logged,,,
3,11/03/17 02:29:36 PM,69.793,,,,,
4,11/03/17 03:29:36 PM,65.509,,,,,
5,11/03/17 04:29:36 PM,61.569,,,,,
6,11/03/17 05:29:36 PM,61.054,,,,,
7,11/03/17 06:29:36 PM,60.024,,,,,
8,11/03/17 07:29:36 PM,59.508,,,,,
9,11/03/17 08:29:36 PM,59.164,,,,,
10,11/03/17 09:29:36 PM,59.164,,,,,
11,11/03/17 10:29:36 PM,59.337,,,,,
12,11/03/17 11:29:36 PM,59.164,,,,,
13,11/04/17 12:29:36 AM,58.820,,,,,
14,11/04/17 01:29:36 AM,55.364,,,,,
15,11/04/17 02:29:36 AM,53.274,,,,,
16,11/04/17 03:29:36 AM,57.614,,,,,
17,11/04/17 04:29:36 AM,58.303,,,,,
18,11/04/17 05:29:36 AM,56.230,,,,,
19,11/04/17 06:29:36 AM,57.785,,,,,
20,11/04/17 07:29:36 AM,57.614,,,,,
21,11/04/17 08:29:36 AM,56.923,,,,,
22,11/04/17 09:29:36 AM,58.303,,,,,
23,11/04/17 10:29:36 AM,58.303,,,,,
24,11/04/17 11:29:36 AM,58.993,,,,,
25,11/04/17 12:29:36 PM,60.883,,,,,
26,11/04/17 01:29:36 PM,69.793,,,,,
27,11/04/17 02:29:36 PM,70.824,,,,,
28,11/04/17 03:29:36 PM,69.622,,,,,
29,11/04/17 04:29:36 PM,66.879,,,,,
30,11/04/17 05:29:36 PM,61.398,,,,,
31,11/04/17 06:29:36 PM,53.623,,,,,
32,11/04/17 07:29:36 PM,48.339,,,,,
33,11/04/17 08:29:36 PM,45.104,,,,,
34,11/04/17 09:29:36 PM,43.099,,,,,
35,11/04/17 10:29:36 PM,41.810,,,,,
36,11/04/17 11:29:36 PM,40.134,,,,,
37,11/05/17 12:29:36 AM,41.254,,,,,
38,11/05/17 01:29:36 AM,42.179,,,,,
39,11/05/17 02:29:36 AM,44.195,,,,,
40,11/05/17 03:29:36 AM,45.286,,,,,
41,11/05/17 04:29:36 AM,44.922,,,,,
42,11/05/17 05:29:36 AM,45.648,,,,,
43,11/05/17 06:29:36 AM,43.831,,,,,
44,11/05/17 07:29:36 AM,41.625,,,,,
45,11/05/17 08:29:36 AM,44.379,,,,,
46,11/05/17 09:29:36 AM,46.728,,,,,
47,11/05/17 10:29:36 AM,65.338,,,,,
48,11/05/17 11:29:36 AM,71.512,,,,,
49,11/05/17 12:29:36 PM,71.856,,,,,
50,11/05/17 01:29:36 PM,70.480,,,,,
51,11/05/17 02:29:36 PM,68.934,,,,,
52,11/05/17 03:29:36 PM,66.708,,,,,
53,11/05/17 04:29:36 PM,63.968,,,,,
54,11/05/17 05:29:36 PM,59.508,,,,,
55,11/05/17 06:29:36 PM,52.750,,,,,
56,11/05/17 07:29:36 PM,47.982,,,,,
57,11/05/17 08:29:36 PM,44.742,,,,,
58,11/05/17 09:29:36 PM,42.732,,,,,
