"Plot Title: 10592080"
"#","Date Time, GMT-07:00","Event, inches (LGR S/N: 10592080, SEN S/N: 10592080)","Coupler Detached (LGR S/N: 10592080, SEN S/N: 10592080)","Coupler Attached (LGR S/N: 10592080, SEN S/N: 10592080)","End Of File (LGR S/N: 10592080, SEN S/N: 10592080)"
1,09/17/14 03:06:25 PM,0.00,,,
2,09/17/14 03:06:32 PM,,Logged,,
3,09/17/14 03:11:33 PM,0.01,,,
4,09/17/14 03:11:54 PM,0.02,,,
5,09/17/14 03:25:00 PM,0.03,,,
6,09/17/14 03:28:20 PM,0.04,,,
7,09/17/14 03:28:21 PM,0.05,,,
8,09/17/14 04:10:03 PM,0.06,,,
9,09/17/14 04:10:17 PM,0.07,,,
10,09/17/14 04:37:28 PM,0.08,,,
11,09/17/14 04:38:01 PM,0.09,,,
12,09/18/14 01:26:54 AM,0.10,,,
13,09/18/14 01:46:10 AM,0.11,,,
14,09/18/14 02:29:23 AM,0.12,,,
15,09/18/14 02:49:23 AM,0.13,,,
16,09/18/14 02:49:24 AM,0.14,,,
17,09/18/14 02:57:48 AM,0.15,,,
18,09/18/14 03:02:03 AM,0.16,,,
19,09/18/14 03:02:04 AM,0.17,,,
20,09/18/14 03:22:40 AM,0.18,,,
21,09/18/14 04:37:02 AM,0.19,,,
22,09/18/14 04:37:03 AM,0.20,,,
23,09/18/14 04:39:54 AM,0.21,,,
24,09/18/14 04:39:55 AM,0.22,,,
25,09/18/14 04:47:13 AM,0.23,,,
26,09/18/14 05:03:22 AM,0.24,,,
27,09/18/14 10:08:48 AM,0.24,,Logged,Logged
