"Plot Title: Landing_1"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 10592082, SEN S/N: 10592082)","Event, units (LGR S/N: 10592082, SEN S/N: 10592082, LBL: Landing_1)","Coupler Attached (LGR S/N: 10592082, SEN S/N: 10592082)","Host Connected (LGR S/N: 10592082, SEN S/N: 10592082)","Coupler Detached (LGR S/N: 10592082, SEN S/N: 10592082)","End Of File (LGR S/N: 10592082, SEN S/N: 10592082)"
1,01/22/16 10:00:00 AM,56.750,0.00,,,,
2,01/22/16 10:15:00 AM,56.230,,,,,
3,01/22/16 10:30:00 AM,56.057,,,,,
4,01/22/16 10:45:00 AM,55.884,,,,,
5,01/22/16 11:00:00 AM,55.711,,,,,
6,01/22/16 11:15:00 AM,55.711,,,,,
7,01/22/16 11:28:12 AM,,0.01,,,,
8,01/22/16 11:30:00 AM,55.884,,,,,
9,01/22/16 11:32:31 AM,,0.02,,,,
10,01/22/16 11:37:32 AM,,0.03,,,,
11,01/22/16 11:41:21 AM,,0.04,,,,
12,01/22/16 11:45:00 AM,56.057,,,,,
13,01/22/16 11:46:39 AM,,0.05,,,,
14,01/22/16 12:00:00 PM,56.230,,,,,
15,01/22/16 12:15:00 PM,56.057,,,,,
16,01/22/16 12:30:00 PM,55.884,,,,,
17,01/22/16 12:32:00 PM,,0.06,,,,
18,01/22/16 12:39:05 PM,,0.07,,,,
19,01/22/16 12:43:13 PM,,0.08,,,,
20,01/22/16 12:45:00 PM,56.057,,,,,
21,01/22/16 12:45:34 PM,,0.09,,,,
22,01/22/16 12:58:39 PM,,0.10,,,,
23,01/22/16 01:00:00 PM,56.057,,,,,
24,01/22/16 01:15:00 PM,56.057,,,,,
25,01/22/16 01:15:28 PM,,0.11,,,,
26,01/22/16 01:30:00 PM,56.057,,,,,
27,01/22/16 01:45:00 PM,56.057,,,,,
28,01/22/16 01:56:54 PM,,0.12,,,,
29,01/22/16 02:00:00 PM,56.057,,,,,
30,01/22/16 02:13:46 PM,,0.13,,,,
31,01/22/16 02:14:57 PM,,0.14,,,,
32,01/22/16 02:15:00 PM,56.057,,,,,
33,01/22/16 02:16:42 PM,,0.15,,,,
34,01/22/16 02:28:58 PM,,0.16,,,,
35,01/22/16 02:30:00 PM,55.884,,,,,
36,01/22/16 02:37:10 PM,,0.17,,,,
37,01/22/16 02:43:42 PM,,0.18,,,,
38,01/22/16 02:45:00 PM,55.711,,,,,
39,01/22/16 02:46:15 PM,,0.19,,,,
40,01/22/16 03:00:00 PM,55.711,,,,,
41,01/22/16 03:07:41 PM,,0.20,,,,
42,01/22/16 03:15:00 PM,55.537,,,,,
43,01/22/16 03:18:20 PM,,0.21,,,,
44,01/22/16 03:30:00 PM,55.537,,,,,
45,01/22/16 03:38:50 PM,,0.22,,,,
46,01/22/16 03:44:03 PM,,0.23,,,,
47,01/22/16 03:45:00 PM,55.537,,,,,
48,01/22/16 04:00:00 PM,55.537,,,,,
49,01/22/16 04:01:25 PM,,0.24,,,,
50,01/22/16 04:15:00 PM,55.364,,,,,
51,01/22/16 04:30:00 PM,55.537,,,,,
52,01/22/16 04:45:00 PM,55.537,,,,,
53,01/22/16 05:00:00 PM,55.537,,,,,
54,01/22/16 05:15:00 PM,55.711,,,,,
55,01/22/16 05:30:00 PM,55.711,,,,,
56,01/22/16 05:45:00 PM,55.711,,,,,
57,01/22/16 05:52:12 PM,,0.25,,,,
58,01/22/16 06:00:00 PM,55.711,,,,,
59,01/22/16 06:15:00 PM,55.884,,,,,
60,01/22/16 06:30:00 PM,55.884,,,,,
