"Plot Title: 10360206"
"#","Date Time, GMT-04:00","Temp, °F (LGR S/N: 10360206, SEN S/N: 10360206)","Coupler Detached (LGR S/N: 10360206, SEN S/N: 10360206)","Coupler Attached (LGR S/N: 10360206, SEN S/N: 10360206)","End Of File (LGR S/N: 10360206, SEN S/N: 10360206)"
1,08/20/13 05:25:56 PM,79.128,,,
2,08/20/13 05:26:56 PM,79.304,,,
3,08/20/13 05:27:43 PM,,Logged,,
4,08/20/13 05:27:56 PM,78.996,,,
5,08/20/13 05:27:57 PM,,,Logged,
6,08/20/13 05:28:56 PM,80.404,,,
7,08/20/13 05:29:56 PM,80.537,,,Logged
