"Plot Title: RLSM"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 10592079, SEN S/N: 10592079)","Event, units (LGR S/N: 10592079, SEN S/N: 10592079, LBL: RLSM)","Coupler Detached (LGR S/N: 10592079, SEN S/N: 10592079)","End Of File (LGR S/N: 10592079, SEN S/N: 10592079)"
127,12/16/17 03:42:57 PM,58.647,,,
128,12/16/17 04:42:57 PM,52.401,,,
129,12/16/17 05:42:57 PM,49.228,,,
130,12/16/17 06:42:57 PM,48.871,,,
131,12/16/17 07:42:57 PM,49.228,,,
132,12/16/17 08:42:57 PM,49.759,,,
133,12/16/17 09:42:57 PM,49.582,,,
134,12/16/17 10:42:57 PM,49.404,,,
135,12/16/17 11:42:57 PM,49.228,,,
136,12/17/17 12:42:57 AM,48.339,,,
137,12/17/17 01:42:57 AM,47.266,,,
138,12/17/17 02:42:57 AM,46.728,,,
139,12/17/17 03:42:57 AM,46.008,,,
140,12/17/17 04:42:57 AM,44.195,,,
141,12/17/17 05:42:57 AM,46.369,,,
142,12/17/17 06:42:57 AM,45.286,,,
143,12/17/17 07:42:57 AM,45.828,,,
144,12/17/17 08:42:57 AM,53.449,,,
145,12/17/17 09:42:57 AM,66.193,,,
146,12/17/17 10:42:57 AM,90.680,,,
147,12/17/17 11:42:57 AM,98.897,,,
148,12/17/17 12:42:57 PM,96.168,,,
149,12/17/17 01:42:57 PM,83.757,,,
150,12/17/17 02:42:57 PM,70.137,,,
151,12/17/17 03:42:57 PM,58.647,,,
152,12/17/17 04:42:57 PM,50.643,,,
153,12/17/17 05:42:57 PM,46.728,,,
154,12/17/17 06:42:57 PM,45.828,,,
155,12/17/17 07:42:57 PM,47.624,,,
156,12/17/17 08:42:57 PM,47.982,,,
157,12/17/17 09:42:57 PM,49.050,,,
158,12/17/17 10:42:57 PM,49.228,,,
159,12/17/17 11:42:57 PM,49.050,,,
160,12/18/17 12:42:57 AM,46.908,,,
161,12/18/17 01:42:57 AM,46.188,,,
162,12/18/17 02:42:57 AM,45.828,,,
163,12/18/17 03:42:57 AM,45.286,,,
164,12/18/17 04:42:57 AM,46.008,,,
165,12/18/17 05:42:57 AM,47.088,,,
166,12/18/17 06:42:57 AM,48.339,,,
167,12/18/17 07:42:57 AM,45.828,,,
168,12/18/17 08:42:57 AM,58.131,,,
169,12/18/17 09:42:57 AM,71.683,,,
170,12/18/17 10:42:57 AM,92.737,,,
171,12/18/17 11:42:57 AM,101.887,,,
172,12/18/17 12:42:57 PM,98.897,,,
173,12/18/17 01:42:57 PM,88.099,,,
174,12/18/17 02:42:57 PM,72.028,,,
175,12/18/17 03:42:57 PM,60.539,,,
176,12/18/17 04:42:57 PM,53.274,,,
177,12/18/17 05:42:57 PM,50.290,,,
178,12/18/17 06:42:57 PM,49.228,,,
179,12/18/17 07:42:57 PM,53.274,,,
180,12/18/17 08:42:57 PM,50.113,,,
181,12/18/17 09:42:57 PM,52.750,,,
182,12/18/17 10:42:57 PM,52.401,,,
183,12/18/17 11:42:57 PM,50.113,,,
184,12/19/17 12:42:57 AM,49.582,,,
185,12/19/17 01:42:57 AM,47.982,,,
186,12/19/17 02:42:57 AM,47.446,,,
187,12/19/17 03:42:57 AM,45.828,,,
188,12/19/17 04:42:57 AM,47.266,,,
189,12/19/17 05:42:57 AM,45.466,,,
190,12/19/17 06:42:57 AM,45.466,,,
191,12/19/17 07:42:57 AM,46.188,,,
192,12/19/17 08:42:57 AM,56.923,,,
193,12/19/17 09:42:57 AM,67.735,,,
194,12/19/17 10:42:57 AM,68.077,,,
195,12/19/17 11:42:57 AM,95.590,,,
196,12/19/17 12:42:57 PM,83.757,,,
197,12/19/17 01:42:57 PM,83.221,,,
198,12/19/17 02:42:57 PM,66.366,,,
199,12/19/17 03:42:57 PM,56.404,,,
200,12/19/17 04:42:57 PM,51.346,,,
201,12/19/17 05:42:57 PM,47.088,,,
202,12/19/17 06:42:57 PM,46.908,,,
203,12/19/17 07:42:57 PM,47.446,,,
204,12/19/17 08:42:57 PM,47.982,,,
205,12/19/17 09:42:57 PM,48.517,,,
206,12/19/17 10:42:57 PM,48.517,,,
207,12/19/17 11:42:57 PM,47.982,,,
208,12/20/17 12:16:24 AM,,0.01,,
209,12/20/17 12:42:57 AM,47.446,,,
210,12/20/17 12:55:39 AM,,0.02,,
211,12/20/17 01:42:57 AM,47.802,,,
212,12/20/17 01:58:39 AM,,0.03,,
213,12/20/17 02:26:16 AM,,0.04,,
214,12/20/17 02:34:36 AM,,0.05,,
215,12/20/17 02:42:57 AM,48.160,,,
216,12/20/17 02:44:05 AM,,0.06,,
217,12/20/17 02:50:55 AM,,0.07,,
218,12/20/17 02:58:04 AM,,0.08,,
219,12/20/17 03:07:17 AM,,0.09,,
220,12/20/17 03:12:23 AM,,0.10,,
221,12/20/17 03:15:54 AM,,0.11,,
222,12/20/17 03:20:21 AM,,0.12,,
223,12/20/17 03:25:09 AM,,0.13,,
224,12/20/17 03:31:09 AM,,0.14,,
225,12/20/17 03:34:37 AM,,0.15,,
226,12/20/17 03:42:57 AM,48.871,,,
227,12/20/17 03:50:31 AM,,0.16,,
228,12/20/17 04:38:22 AM,,0.17,,
229,12/20/17 04:42:57 AM,44.922,,,
230,12/20/17 05:42:57 AM,42.732,,,
231,12/20/17 06:42:57 AM,40.696,,,
232,12/20/17 07:42:57 AM,38.818,,,
233,12/20/17 08:42:57 AM,45.104,,,
234,12/20/17 09:42:57 AM,55.364,,,
235,12/20/17 10:42:57 AM,78.274,,,
236,12/20/17 11:42:57 AM,88.099,,,
237,12/20/17 12:42:57 PM,86.097,,,
238,12/20/17 01:42:57 PM,76.876,,,
239,12/20/17 02:42:57 PM,61.569,,,
240,12/20/17 03:42:57 PM,50.290,,,
241,12/20/17 04:42:57 PM,43.831,,,
242,12/20/17 05:42:57 PM,39.384,,,
