"Plot Title: Landing"
"#","Date Time, GMT-07:00","Event, inches (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Detached (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Attached (LGR S/N: 9668993, SEN S/N: 9668993)","End Of File (LGR S/N: 9668993, SEN S/N: 9668993)"
1,01/28/14 03:50:54 PM,0.00,,,
2,01/28/14 03:51:03 PM,,Logged,,
3,01/30/14 06:30:30 AM,0.01,,,
4,01/31/14 12:23:53 AM,0.02,,,
5,02/02/14 07:10:50 AM,0.03,,,
6,02/02/14 07:10:51 AM,0.04,,,
7,02/02/14 07:24:27 AM,0.05,,,
8,02/02/14 07:30:12 AM,0.06,,,
9,02/02/14 07:38:29 AM,0.07,,,
10,02/02/14 07:43:15 AM,0.08,,,
11,02/02/14 07:48:47 AM,0.09,,,
12,02/02/14 07:53:02 AM,0.10,,,
13,02/02/14 07:57:53 AM,0.11,,,
14,02/02/14 08:01:25 AM,0.12,,,
15,02/02/14 08:01:26 AM,0.13,,,
16,02/02/14 08:06:55 AM,0.14,,,
17,02/02/14 08:11:09 AM,0.15,,,
18,02/02/14 08:15:53 AM,0.16,,,
19,02/02/14 08:20:15 AM,0.17,,,
20,02/02/14 08:25:15 AM,0.18,,,
21,02/02/14 08:29:16 AM,0.19,,,
22,02/02/14 08:32:50 AM,0.20,,,
23,02/02/14 08:36:02 AM,0.21,,,
24,02/02/14 08:39:17 AM,0.22,,,
25,02/02/14 08:41:42 AM,0.23,,,
26,02/02/14 08:47:36 AM,0.24,,,
27,02/02/14 08:51:14 AM,0.25,,,
28,02/02/14 08:55:56 AM,0.26,,,
29,02/02/14 08:58:38 AM,0.27,,,
30,02/02/14 09:02:33 AM,0.28,,,
31,02/02/14 09:05:07 AM,0.29,,,
32,02/02/14 09:07:59 AM,0.30,,,
33,02/02/14 09:10:22 AM,0.31,,,
34,02/02/14 09:14:16 AM,0.32,,,
35,02/02/14 09:17:28 AM,0.33,,,
36,02/02/14 09:21:54 AM,0.34,,,
37,02/02/14 09:24:42 AM,0.35,,,
38,02/02/14 09:27:49 AM,0.36,,,
39,02/02/14 09:30:59 AM,0.37,,,
40,02/02/14 09:36:00 AM,0.38,,,
41,02/02/14 09:39:09 AM,0.39,,,
42,02/02/14 09:44:18 AM,0.40,,,
43,02/02/14 09:50:33 AM,0.41,,,
44,02/02/14 09:59:13 AM,0.42,,,
45,02/02/14 10:03:32 AM,0.43,,,
46,02/02/14 10:09:28 AM,0.44,,,
47,02/02/14 10:13:05 AM,0.45,,,
48,02/02/14 10:16:24 AM,0.46,,,
49,02/02/14 10:19:16 AM,0.47,,,
50,02/02/14 10:31:47 AM,0.48,,,
51,02/02/14 10:42:55 AM,0.49,,,
52,02/03/14 11:05:14 AM,0.49,,Logged,Logged
