"Plot Title: RLSM"
"#","Date Time, GMT-08:00","Event, inches (LGR S/N: 10592084, SEN S/N: 10592084, LBL: RLSM)","Coupler Detached (LGR S/N: 10592084, SEN S/N: 10592084)","Coupler Attached (LGR S/N: 10592084, SEN S/N: 10592084)","End Of File (LGR S/N: 10592084, SEN S/N: 10592084)"
1,01/23/15 12:46:17 PM,0.00,,,
2,01/23/15 12:46:18 PM,,Logged,,
3,02/04/15 10:58:02 AM,,,Logged,
4,02/04/15 10:58:09 AM,,Logged,,
5,02/04/15 10:58:15 AM,0.00,,Logged,Logged
