"Plot Title: Landing"
"#","Date Time, GMT-07:00","Event, inches (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Detached (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Attached (LGR S/N: 9668993, SEN S/N: 9668993)","Stopped (LGR S/N: 9668993, SEN S/N: 9668993)","End Of File (LGR S/N: 9668993, SEN S/N: 9668993)"
121,12/22/12 07:47:51 AM,1.19,,,,
122,12/22/12 08:18:36 AM,1.20,,,,
123,12/22/12 09:30:26 AM,1.21,,,,
124,12/22/12 09:30:41 AM,1.22,,,,
125,12/22/12 09:30:51 AM,1.23,,,,
126,12/22/12 09:31:02 AM,1.24,,,,
127,12/22/12 09:31:26 AM,1.25,,,,
128,12/22/12 09:32:03 AM,1.26,,,,
129,12/22/12 09:33:41 AM,1.27,,,,
130,12/22/12 09:33:42 AM,1.28,,,,
131,12/22/12 09:34:20 AM,1.29,,,,
132,12/22/12 09:34:47 AM,1.30,,,,
133,12/22/12 09:35:35 AM,1.31,,,,
134,12/22/12 09:37:52 AM,1.32,,,,
135,12/22/12 09:42:56 AM,1.33,,,,
136,12/22/12 09:49:32 AM,1.34,,,,
137,12/22/12 09:53:57 AM,1.35,,,,
138,12/22/12 09:58:07 AM,1.36,,,,
139,12/22/12 10:01:32 AM,1.37,,,,
140,12/22/12 10:01:33 AM,1.38,,,,
141,12/22/12 10:05:29 AM,1.39,,,,
142,12/22/12 10:05:30 AM,1.40,,,,
143,12/22/12 10:08:45 AM,1.41,,,,
144,12/22/12 10:14:27 AM,1.42,,,,
145,12/22/12 10:21:41 AM,1.43,,,,
146,12/22/12 10:26:59 AM,1.44,,,,
147,12/22/12 10:51:41 AM,1.45,,,,
148,12/22/12 09:22:10 PM,1.46,,,,
149,12/22/12 09:54:27 PM,1.47,,,,
150,12/22/12 10:04:52 PM,1.48,,,,
151,12/22/12 10:07:36 PM,1.49,,,,
152,12/22/12 10:09:03 PM,1.50,,,,
153,12/22/12 10:09:50 PM,1.51,,,,
154,12/22/12 10:13:39 PM,1.52,,,,
155,12/22/12 11:03:58 PM,1.53,,,,
156,12/23/12 05:47:52 AM,1.54,,,,
157,12/23/12 05:57:08 AM,1.55,,,,
158,12/23/12 06:03:58 AM,1.56,,,,
159,12/23/12 06:08:17 AM,1.57,,,,
160,12/23/12 06:12:28 AM,1.58,,,,
161,12/23/12 06:15:39 AM,1.59,,,,
162,12/23/12 06:20:13 AM,1.60,,,,
163,12/23/12 06:24:04 AM,1.61,,,,
164,12/23/12 06:28:03 AM,1.62,,,,
165,12/23/12 06:30:46 AM,1.63,,,,
166,12/23/12 06:34:28 AM,1.64,,,,
167,12/23/12 06:36:57 AM,1.65,,,,
168,12/23/12 06:40:01 AM,1.66,,,,
169,12/23/12 06:42:14 AM,1.67,,,,
170,12/23/12 06:45:19 AM,1.68,,,,
171,12/23/12 06:50:17 AM,1.69,,,,
172,12/23/12 06:54:40 AM,1.70,,,,
173,12/23/12 06:57:34 AM,1.71,,,,
174,12/23/12 07:00:56 AM,1.72,,,,
175,12/23/12 07:02:49 AM,1.73,,,,
176,12/23/12 07:04:57 AM,1.74,,,,
177,12/23/12 07:06:54 AM,1.75,,,,
178,12/23/12 07:08:33 AM,1.76,,,,
179,12/23/12 07:10:01 AM,1.77,,,,
180,12/23/12 07:14:41 AM,1.78,,,,
181,12/23/12 07:18:05 AM,1.79,,,,
182,12/23/12 07:30:03 AM,1.80,,,,
183,12/23/12 07:30:04 AM,1.81,,,,
184,12/23/12 07:34:46 AM,1.82,,,,
185,12/23/12 07:36:48 AM,1.83,,,,
186,12/23/12 07:38:55 AM,1.84,,,,
187,12/23/12 07:51:46 AM,1.85,,,,
188,12/23/12 07:58:13 AM,1.86,,,,
189,12/23/12 08:02:59 AM,1.87,,,,
190,12/23/12 08:07:05 AM,1.88,,,,
191,12/23/12 08:12:52 AM,1.89,,,,
192,12/23/12 08:22:50 AM,1.90,,,,
193,12/23/12 08:27:13 AM,1.91,,,,
194,12/23/12 08:30:20 AM,1.92,,,,
195,12/23/12 08:30:21 AM,1.93,,,,
196,12/23/12 08:34:42 AM,1.94,,,,
197,12/23/12 08:37:19 AM,1.95,,,,
198,12/23/12 08:39:59 AM,1.96,,,,
199,12/23/12 08:42:42 AM,1.97,,,,
200,12/23/12 08:47:46 AM,1.98,,,,
201,12/23/12 08:52:19 AM,1.99,,,,
202,12/23/12 08:52:20 AM,2.00,,,,
203,12/23/12 08:59:35 AM,2.01,,,,
204,12/23/12 09:04:07 AM,2.02,,,,
205,12/23/12 09:08:04 AM,2.03,,,,
206,12/23/12 09:10:11 AM,2.04,,,,
207,12/23/12 09:10:12 AM,2.05,,,,
208,12/23/12 09:12:57 AM,2.06,,,,
209,12/23/12 09:12:58 AM,2.07,,,,
210,12/23/12 09:15:09 AM,2.08,,,,
211,12/23/12 09:17:33 AM,2.09,,,,
212,12/23/12 09:19:31 AM,2.10,,,,
213,12/23/12 09:21:09 AM,2.11,,,,
214,12/23/12 09:22:39 AM,2.12,,,,
215,12/23/12 09:24:34 AM,2.13,,,,
216,12/23/12 09:26:48 AM,2.14,,,,
217,12/23/12 09:28:55 AM,2.15,,,,
218,12/23/12 09:30:17 AM,2.16,,,,
219,12/23/12 09:32:16 AM,2.17,,,,
220,12/23/12 09:34:25 AM,2.18,,,,
221,12/23/12 09:36:06 AM,2.19,,,,
222,12/23/12 09:37:42 AM,2.20,,,,
223,12/23/12 09:39:26 AM,2.21,,,,
224,12/23/12 09:39:27 AM,2.22,,,,
225,12/23/12 09:42:14 AM,2.23,,,,
226,12/23/12 09:44:42 AM,2.24,,,,
227,12/23/12 09:44:43 AM,2.25,,,,
228,12/23/12 09:47:34 AM,2.26,,,,
229,12/23/12 09:47:35 AM,2.27,,,,
230,12/23/12 09:49:24 AM,2.28,,,,
231,12/23/12 09:50:28 AM,2.29,,,,
232,12/23/12 09:51:08 AM,2.30,,,,
233,12/23/12 09:51:09 AM,2.31,,,,
234,12/23/12 09:52:03 AM,2.32,,,,
235,12/23/12 09:52:04 AM,2.33,,,,
236,12/23/12 09:53:05 AM,2.34,,,,
237,12/23/12 09:53:59 AM,2.35,,,,
238,12/23/12 09:54:00 AM,2.36,,,,
239,12/23/12 09:54:52 AM,2.37,,,,
240,12/23/12 09:56:03 AM,2.38,,,,
241,12/23/12 09:58:19 AM,2.39,,,,
242,12/23/12 10:02:47 AM,2.40,,,,
243,12/23/12 10:08:54 AM,2.41,,,,
244,12/23/12 10:12:46 AM,2.42,,,,
245,12/23/12 10:14:21 AM,2.43,,,,
246,12/23/12 10:16:18 AM,2.44,,,,
247,12/23/12 10:19:47 AM,2.45,,,,
248,12/23/12 10:19:48 AM,2.46,,,,
249,12/23/12 10:24:57 AM,2.47,,,,
250,12/23/12 10:28:26 AM,2.48,,,,
251,12/23/12 10:33:21 AM,2.49,,,,
252,12/23/12 10:33:22 AM,2.50,,,,
253,12/23/12 10:37:13 AM,2.51,,,,
254,12/23/12 10:37:14 AM,2.52,,,,
255,12/23/12 10:38:32 AM,2.53,,,,
256,12/23/12 10:38:33 AM,2.54,,,,
257,12/23/12 10:39:52 AM,2.55,,,,
258,12/23/12 10:41:22 AM,2.56,,,,
259,12/23/12 10:43:48 AM,2.57,,,,
260,12/23/12 10:45:19 AM,2.58,,,,
261,12/23/12 10:48:07 AM,2.59,,,,
262,12/23/12 10:50:07 AM,2.60,,,,
263,12/23/12 10:52:34 AM,2.61,,,,
264,12/23/12 10:52:35 AM,2.62,,,,
265,12/23/12 10:53:42 AM,2.63,,,,
266,12/23/12 10:55:00 AM,2.64,,,,
267,12/23/12 10:56:04 AM,2.65,,,,
268,12/23/12 10:57:13 AM,2.66,,,,
269,12/23/12 10:58:32 AM,2.67,,,,
270,12/23/12 10:59:56 AM,2.68,,,,
271,12/23/12 11:01:35 AM,2.69,,,,
272,12/23/12 11:03:40 AM,2.70,,,,
273,12/23/12 11:05:48 AM,2.71,,,,
274,12/23/12 11:07:56 AM,2.72,,,,
275,12/23/12 11:07:57 AM,2.73,,,,
276,12/23/12 11:09:40 AM,2.74,,,,
277,12/23/12 11:11:02 AM,2.75,,,,
278,12/23/12 11:12:04 AM,2.76,,,,
279,12/23/12 11:13:50 AM,2.77,,,,
280,12/23/12 11:14:50 AM,2.78,,,,
281,12/23/12 11:15:39 AM,2.79,,,,
282,12/23/12 11:15:40 AM,2.80,,,,
283,12/23/12 11:16:48 AM,2.81,,,,
284,12/23/12 11:16:49 AM,2.82,,,,
285,12/23/12 11:17:39 AM,2.83,,,,
286,12/23/12 11:18:10 AM,2.84,,,,
287,12/23/12 11:18:41 AM,2.85,,,,
288,12/23/12 11:19:20 AM,2.86,,,,
289,12/23/12 11:20:14 AM,2.87,,,,
290,12/23/12 11:21:22 AM,2.88,,,,
291,12/23/12 11:22:40 AM,2.89,,,,
292,12/23/12 11:24:01 AM,2.90,,,,
293,12/23/12 11:25:32 AM,2.91,,,,
294,12/23/12 11:26:43 AM,2.92,,,,
295,12/23/12 11:27:46 AM,2.93,,,,
296,12/23/12 11:29:55 AM,2.94,,,,
297,12/23/12 11:31:46 AM,2.95,,,,
298,12/23/12 11:33:12 AM,2.96,,,,
299,12/23/12 11:33:13 AM,2.97,,,,
300,12/23/12 11:36:13 AM,2.98,,,,
301,12/23/12 11:37:33 AM,2.99,,,,
302,12/23/12 11:38:48 AM,3.00,,,,
303,12/23/12 11:40:35 AM,3.01,,,,
304,12/23/12 11:42:36 AM,3.02,,,,
305,12/23/12 11:44:16 AM,3.03,,,,
306,12/23/12 11:45:59 AM,3.04,,,,
307,12/23/12 11:46:50 AM,3.05,,,,
308,12/23/12 11:47:17 AM,3.06,,,,
309,12/23/12 11:47:51 AM,3.07,,,,
310,12/23/12 11:48:57 AM,3.08,,,,
311,12/23/12 11:50:13 AM,3.09,,,,
