"Plot Title: Landing"
"#","Date Time, GMT-07:00","rainfall, inches (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Detached (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Attached (LGR S/N: 9668993, SEN S/N: 9668993)","End Of File (LGR S/N: 9668993, SEN S/N: 9668993)"
1,09/28/10 01:27:48 PM,0.00000000,,,
2,09/28/10 01:27:52 PM,,Logged,,
3,10/05/10 02:05:13 PM,0.00000000,,Logged,Logged
