"Plot Title: LC RRG"
"#","Date Time, GMT-07:00","Event, inches (LGR S/N: 10592081, SEN S/N: 10592081)","Coupler Attached (LGR S/N: 10592081, SEN S/N: 10592081)","Stopped (LGR S/N: 10592081, SEN S/N: 10592081)","End Of File (LGR S/N: 10592081, SEN S/N: 10592081)"
1,02/11/15 12:39:16 PM,0.00,,,
2,02/28/15 06:21:45 AM,0.01,,,
3,02/28/15 08:05:19 AM,0.02,,,
4,02/28/15 08:11:20 AM,0.03,,,
5,02/28/15 08:36:18 AM,0.04,,,
6,02/28/15 08:58:21 AM,0.05,,,
7,02/28/15 09:16:06 AM,0.06,,,
8,02/28/15 12:31:40 PM,0.07,,,
9,02/28/15 12:34:39 PM,0.08,,,
10,02/28/15 12:37:34 PM,0.09,,,
11,02/28/15 02:18:57 PM,0.10,,,
12,02/28/15 03:08:43 PM,0.11,,,
13,02/28/15 03:13:36 PM,0.12,,,
14,02/28/15 03:26:22 PM,0.13,,,
15,02/28/15 06:13:00 PM,0.14,,,
16,02/28/15 06:38:58 PM,0.15,,,
17,02/28/15 06:47:44 PM,0.16,,,
18,03/01/15 01:26:06 AM,0.17,,,
19,03/02/15 11:15:33 AM,0.18,,,
20,03/11/15 04:04:45 AM,0.19,,,
21,03/11/15 04:46:56 AM,0.20,,,
22,03/11/15 05:35:34 AM,0.21,,,
23,03/11/15 06:25:23 AM,0.22,,,
24,03/11/15 06:42:17 AM,0.23,,,
25,03/11/15 06:51:38 AM,0.24,,,
26,03/11/15 06:59:39 AM,0.25,,,
27,03/11/15 07:10:43 AM,0.26,,,
28,03/11/15 07:21:31 AM,0.27,,,
29,03/11/15 07:51:47 AM,0.28,,,
30,03/22/15 08:18:03 AM,0.29,,,
31,03/22/15 08:24:51 AM,0.30,,,
32,03/22/15 08:31:07 AM,0.31,,,
33,03/22/15 08:41:28 AM,0.32,,,
34,03/22/15 09:17:50 AM,0.33,,,
35,03/22/15 10:50:35 PM,0.34,,,
36,03/22/15 10:54:21 PM,0.35,,,
37,03/22/15 10:55:37 PM,0.36,,,
38,03/22/15 10:58:33 PM,0.37,,,
39,03/22/15 11:03:27 PM,0.38,,,
40,03/22/15 11:10:37 PM,0.39,,,
41,03/22/15 11:16:42 PM,0.40,,,
42,03/22/15 11:24:26 PM,0.41,,,
43,03/22/15 11:31:20 PM,0.42,,,
44,03/22/15 11:32:59 PM,0.43,,,
45,03/22/15 11:35:39 PM,0.44,,,
46,03/22/15 11:41:29 PM,0.45,,,
47,03/22/15 11:45:34 PM,0.46,,,
48,03/23/15 12:06:32 AM,0.47,,,
49,03/23/15 02:08:54 AM,0.48,,,
50,03/23/15 04:57:47 AM,0.49,,,
51,03/23/15 06:22:30 AM,0.50,,,
52,03/25/15 12:28:19 PM,,Logged,,
53,03/25/15 12:28:22 PM,0.50,,Logged,Logged
