"Plot Title: Range"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 20309219, SEN S/N: 20309219, LBL: F)","Event, units (LGR S/N: 20309219, SEN S/N: 20309219)","End Of File (LGR S/N: 20309219, SEN S/N: 20309219)"
134,03/18/19 01:15:00 AM,19.382,,
135,03/18/19 01:30:00 AM,159.789,,
136,03/18/19 01:45:00 AM,184.811,,
137,03/18/19 02:00:00 AM,84.474,,
138,03/18/19 02:15:00 AM,23.216,,
139,03/18/19 02:30:00 AM,163.575,,
140,03/18/19 02:45:00 AM,61.741,,
141,03/18/19 03:00:00 AM,86.823,,
142,03/18/19 03:15:00 AM,19.382,,
143,03/18/19 03:30:00 AM,166.674,,
144,03/18/19 03:45:00 AM,103.307,,
145,03/18/19 04:00:00 AM,97.137,,
146,03/18/19 04:15:00 AM,22.552,,
147,03/18/19 04:30:00 AM,199.501,,
148,03/18/19 04:45:00 AM,61.912,,
149,03/18/19 05:00:00 AM,86.641,,
150,03/18/19 05:15:00 AM,165.774,,
151,03/18/19 05:30:00 AM,165.328,,
152,03/18/19 05:45:00 AM,4.197,,
153,03/18/19 06:00:00 AM,17.035,,
154,03/18/19 06:15:00 AM,22.107,,
155,03/18/19 06:30:00 AM,140.281,,
156,03/18/19 06:45:00 AM,27.091,,
157,03/18/19 07:00:00 AM,49.937,,
158,03/18/19 07:15:00 AM,39.384,,
159,03/18/19 07:30:00 AM,86.277,,
160,03/18/19 07:45:00 AM,61.912,,
161,03/18/19 08:00:00 AM,158.976,,
162,03/18/19 08:15:00 AM,103.104,,
163,03/18/19 08:30:00 AM,217.571,,
164,03/18/19 08:45:00 AM,184.215,,
165,03/18/19 09:00:00 AM,128.496,,
166,03/18/19 09:15:00 AM,3.614,,
167,03/18/19 09:30:00 AM,220.622,,
168,03/18/19 09:45:00 AM,84.115,,
169,03/18/19 10:00:00 AM,125.868,,
170,03/18/19 10:15:00 AM,88.466,,
171,03/18/19 10:30:00 AM,86.097,,
172,03/18/19 10:45:00 AM,-0.339,,
173,03/18/19 11:00:00 AM,86.823,,
174,03/18/19 11:15:00 AM,102.290,,
175,03/18/19 11:30:00 AM,172.841,,
176,03/18/19 11:45:00 AM,57.268,,
177,03/18/19 12:00:00 PM,223.826,,
178,03/18/19 12:15:00 PM,24.093,,
179,03/18/19 12:30:00 PM,286.718,,
180,03/18/19 12:45:00 PM,72.891,,
181,03/18/19 01:00:00 PM,86.823,,
182,03/18/19 01:15:00 PM,-13.949,,
183,03/18/19 01:30:00 PM,112.023,,
184,03/18/19 01:45:00 PM,112.914,,
185,03/18/19 02:00:00 PM,49.759,,
186,03/18/19 02:15:00 PM,317.973,,
187,03/18/19 02:30:00 PM,238.505,,
188,03/18/19 02:45:00 PM,16.075,,
189,03/18/19 03:00:00 PM,119.878,,
190,03/18/19 03:15:00 PM,103.104,,
191,03/18/19 03:30:00 PM,147.456,,
192,03/18/19 03:45:00 PM,103.104,,
193,03/18/19 04:00:00 PM,181.323,,
194,03/18/19 04:15:00 PM,3.906,,
195,03/18/19 04:30:00 PM,154.288,,
196,03/18/19 04:45:00 PM,184.215,,
197,03/18/19 05:00:00 PM,119.397,,
198,03/18/19 05:15:00 PM,3.614,,
199,03/18/19 05:30:00 PM,210.076,,
200,03/18/19 05:45:00 PM,19.382,,
201,03/18/19 06:00:00 PM,138.742,,
202,03/18/19 06:15:00 PM,61.912,,
203,03/18/19 06:30:00 PM,125.611,,
204,03/18/19 06:45:00 PM,-81.339,,
205,03/18/19 07:00:00 PM,86.097,,
206,03/18/19 07:15:00 PM,45.648,,
207,03/18/19 07:30:00 PM,86.097,,
208,03/18/19 07:45:00 PM,-16.492,,
209,03/18/19 08:00:00 PM,86.097,,
210,03/18/19 08:15:00 PM,51.346,,
211,03/18/19 08:30:00 PM,85.915,,
212,03/18/19 08:45:00 PM,69.793,,
213,03/18/19 09:00:00 PM,85.374,,
214,03/18/19 09:15:00 PM,100.683,,
215,03/18/19 09:30:00 PM,25.390,,
216,03/18/19 09:45:00 PM,17.510,,
217,03/18/19 10:00:00 PM,107.895,,
218,03/18/19 10:15:00 PM,25.390,,
219,03/18/19 10:30:00 PM,95.016,,
220,03/18/19 10:45:00 PM,22.552,,
221,03/18/19 11:00:00 PM,-44.507,,
222,03/18/19 11:15:00 PM,36.914,,
223,03/18/19 11:30:00 PM,86.097,,
224,03/18/19 11:45:00 PM,121.093,,
