"Plot Title: Landing"
"#","Date Time, GMT-07:00","Event, inches (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Detached (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Attached (LGR S/N: 9668993, SEN S/N: 9668993)","End Of File (LGR S/N: 9668993, SEN S/N: 9668993)"
1,12/23/14 11:52:06 AM,0.00,,,
2,12/23/14 11:52:09 AM,,Logged,,
3,12/24/14 03:50:43 PM,0.01,,,
4,12/24/14 03:51:21 PM,0.02,,,
5,12/24/14 03:52:02 PM,0.03,,,
6,12/24/14 03:52:36 PM,0.04,,,
7,12/24/14 03:54:49 PM,0.05,,,
8,12/24/14 04:04:28 PM,0.06,,,
9,12/24/14 04:26:15 PM,0.07,,,
10,12/24/14 04:26:16 PM,0.08,,,
11,12/24/14 04:59:58 PM,0.09,,,
12,12/24/14 04:59:59 PM,0.10,,,
13,01/23/15 11:28:39 AM,0.10,,Logged,Logged
