"Plot Title: HS"
"#","Date Time, GMT-08:00","Event, inches (LGR S/N: 10592078, SEN S/N: 10592078, LBL: HS)","Coupler Attached (LGR S/N: 10592078, SEN S/N: 10592078)","Stopped (LGR S/N: 10592078, SEN S/N: 10592078)","End Of File (LGR S/N: 10592078, SEN S/N: 10592078)"
1,02/04/15 08:59:55 AM,0.00,,,
2,02/06/15 11:59:46 AM,1.00,,,
3,02/06/15 12:23:02 PM,2.00,,,
4,02/06/15 12:27:01 PM,3.00,,,
5,02/06/15 12:30:43 PM,4.00,,,
6,02/06/15 12:40:59 PM,5.00,,,
7,02/06/15 12:47:16 PM,6.00,,,
8,02/06/15 12:55:08 PM,7.00,,,
9,02/06/15 01:05:10 PM,8.00,,,
10,02/06/15 01:17:56 PM,9.00,,,
11,02/06/15 01:22:05 PM,10.00,,,
12,02/06/15 01:22:51 PM,11.00,,,
13,02/06/15 01:24:31 PM,12.00,,,
14,02/06/15 01:29:40 PM,13.00,,,
15,02/06/15 01:33:07 PM,14.00,,,
16,02/06/15 01:35:59 PM,15.00,,,
17,02/06/15 01:44:11 PM,16.00,,,
18,02/06/15 01:46:47 PM,17.00,,,
19,02/06/15 01:52:45 PM,18.00,,,
20,02/06/15 02:00:48 PM,19.00,,,
21,02/06/15 02:23:03 PM,20.00,,,
22,02/06/15 04:24:47 PM,21.00,,,
23,02/06/15 04:40:06 PM,22.00,,,
24,02/06/15 04:41:30 PM,23.00,,,
25,02/06/15 04:42:42 PM,24.00,,,
26,02/06/15 04:44:52 PM,25.00,,,
27,02/06/15 04:46:18 PM,26.00,,,
28,02/06/15 04:48:00 PM,27.00,,,
29,02/06/15 04:50:14 PM,28.00,,,
30,02/06/15 04:53:11 PM,29.00,,,
31,02/06/15 04:55:32 PM,30.00,,,
32,02/06/15 04:59:07 PM,31.00,,,
33,02/06/15 05:00:03 PM,32.00,,,
34,02/06/15 05:00:50 PM,33.00,,,
35,02/06/15 05:01:42 PM,34.00,,,
36,02/06/15 05:02:36 PM,35.00,,,
37,02/06/15 05:03:23 PM,36.00,,,
38,02/06/15 05:04:09 PM,37.00,,,
39,02/06/15 05:05:59 PM,38.00,,,
40,02/06/15 05:08:23 PM,39.00,,,
41,02/06/15 05:09:26 PM,40.00,,,
42,02/06/15 05:10:06 PM,41.00,,,
43,02/06/15 05:10:37 PM,42.00,,,
44,02/06/15 05:11:09 PM,43.00,,,
45,02/06/15 05:11:51 PM,44.00,,,
46,02/06/15 05:12:37 PM,45.00,,,
47,02/06/15 05:13:08 PM,46.00,,,
48,02/06/15 05:13:42 PM,47.00,,,
49,02/06/15 05:14:38 PM,48.00,,,
50,02/06/15 05:15:24 PM,49.00,,,
51,02/06/15 05:16:06 PM,50.00,,,
52,02/06/15 05:18:11 PM,51.00,,,
53,02/06/15 05:19:13 PM,52.00,,,
54,02/06/15 05:20:09 PM,53.00,,,
55,02/06/15 05:21:18 PM,54.00,,,
56,02/06/15 05:22:50 PM,55.00,,,
57,02/06/15 05:24:09 PM,56.00,,,
58,02/06/15 05:25:50 PM,57.00,,,
59,02/06/15 05:27:40 PM,58.00,,,
60,02/06/15 05:30:01 PM,59.00,,,
61,02/06/15 05:31:47 PM,60.00,,,
62,02/06/15 05:34:01 PM,61.00,,,
63,02/06/15 05:38:41 PM,62.00,,,
64,02/06/15 05:41:54 PM,63.00,,,
65,02/06/15 05:46:47 PM,64.00,,,
66,02/06/15 05:49:21 PM,65.00,,,
67,02/06/15 05:50:16 PM,66.00,,,
68,02/06/15 05:51:39 PM,67.00,,,
69,02/06/15 05:54:17 PM,68.00,,,
70,02/06/15 05:56:36 PM,69.00,,,
71,02/06/15 05:58:14 PM,70.00,,,
72,02/06/15 06:00:24 PM,71.00,,,
73,02/06/15 06:02:01 PM,72.00,,,
74,02/06/15 06:04:04 PM,73.00,,,
75,02/06/15 06:05:40 PM,74.00,,,
76,02/06/15 06:07:16 PM,75.00,,,
77,02/06/15 06:08:52 PM,76.00,,,
78,02/06/15 06:11:53 PM,77.00,,,
79,02/06/15 06:17:15 PM,78.00,,,
80,02/06/15 06:21:46 PM,79.00,,,
81,02/06/15 06:40:54 PM,80.00,,,
82,02/06/15 06:54:39 PM,81.00,,,
83,02/06/15 06:57:09 PM,82.00,,,
84,02/06/15 07:00:31 PM,83.00,,,
85,02/06/15 07:16:11 PM,84.00,,,
86,02/06/15 07:27:08 PM,85.00,,,
87,02/06/15 07:40:18 PM,86.00,,,
88,02/06/15 07:46:20 PM,87.00,,,
89,02/06/15 07:51:47 PM,88.00,,,
90,02/06/15 07:59:54 PM,89.00,,,
91,02/06/15 08:04:18 PM,90.00,,,
92,02/06/15 08:09:38 PM,91.00,,,
93,02/06/15 08:18:12 PM,92.00,,,
94,02/06/15 08:20:32 PM,93.00,,,
95,02/06/15 08:24:44 PM,94.00,,,
96,02/06/15 08:28:13 PM,95.00,,,
97,02/06/15 08:32:26 PM,96.00,,,
98,02/06/15 08:36:14 PM,97.00,,,
99,02/06/15 08:40:01 PM,98.00,,,
100,02/06/15 08:45:13 PM,99.00,,,
101,02/06/15 08:53:34 PM,100.00,,,
102,02/06/15 09:02:53 PM,101.00,,,
103,02/06/15 09:20:38 PM,102.00,,,
104,02/06/15 09:31:16 PM,103.00,,,
105,02/06/15 09:41:31 PM,104.00,,,
106,02/06/15 09:50:55 PM,105.00,,,
107,02/06/15 09:53:45 PM,106.00,,,
108,02/06/15 10:00:07 PM,107.00,,,
109,02/06/15 10:53:18 PM,108.00,,,
110,02/06/15 10:55:44 PM,109.00,,,
111,02/06/15 10:58:03 PM,110.00,,,
112,02/06/15 11:36:53 PM,111.00,,,
113,02/07/15 01:46:58 AM,112.00,,,
114,02/07/15 02:35:48 AM,113.00,,,
115,02/07/15 02:44:30 AM,114.00,,,
116,02/07/15 04:41:51 AM,115.00,,,
117,02/07/15 06:06:59 AM,116.00,,,
118,02/07/15 06:08:27 AM,117.00,,,
119,02/07/15 06:10:39 AM,118.00,,,
120,02/07/15 06:37:03 AM,119.00,,,
121,02/07/15 06:38:18 AM,120.00,,,
122,02/07/15 06:46:53 AM,121.00,,,
123,02/07/15 07:14:07 AM,122.00,,,
124,02/07/15 07:15:06 AM,123.00,,,
125,02/07/15 07:15:47 AM,124.00,,,
126,02/07/15 07:17:27 AM,125.00,,,
127,02/07/15 07:19:59 AM,126.00,,,
128,02/07/15 07:23:52 AM,127.00,,,
129,02/07/15 07:30:04 AM,128.00,,,
130,02/07/15 08:02:29 AM,129.00,,,
131,02/07/15 08:27:57 AM,130.00,,,
132,02/07/15 08:34:51 AM,131.00,,,
133,02/07/15 08:38:05 AM,132.00,,,
134,02/07/15 10:31:57 AM,133.00,,,
135,02/07/15 11:42:34 AM,134.00,,,
136,02/07/15 12:13:53 PM,135.00,,,
137,02/07/15 12:50:19 PM,136.00,,,
138,02/07/15 01:05:39 PM,137.00,,,
139,02/07/15 01:43:09 PM,138.00,,,
140,02/07/15 05:44:42 PM,139.00,,,
141,02/07/15 09:22:15 PM,140.00,,,
142,02/08/15 06:02:58 AM,141.00,,,
143,02/08/15 06:21:14 AM,142.00,,,
144,02/08/15 06:26:17 AM,143.00,,,
145,02/08/15 06:29:02 AM,144.00,,,
146,02/08/15 06:30:33 AM,145.00,,,
147,02/08/15 06:31:55 AM,146.00,,,
148,02/08/15 06:33:57 AM,147.00,,,
149,02/08/15 06:35:46 AM,148.00,,,
150,02/08/15 06:37:39 AM,149.00,,,
151,02/08/15 06:40:06 AM,150.00,,,
152,02/08/15 06:42:38 AM,151.00,,,
153,02/08/15 06:44:54 AM,152.00,,,
154,02/08/15 06:47:10 AM,153.00,,,
155,02/08/15 06:49:44 AM,154.00,,,
156,02/08/15 06:52:05 AM,155.00,,,
157,02/08/15 06:53:33 AM,156.00,,,
158,02/08/15 06:56:14 AM,157.00,,,
159,02/08/15 06:58:33 AM,158.00,,,
160,02/08/15 07:00:15 AM,159.00,,,
161,02/08/15 07:02:33 AM,160.00,,,
162,02/08/15 07:05:21 AM,161.00,,,
163,02/08/15 07:07:38 AM,162.00,,,
164,02/08/15 07:10:00 AM,163.00,,,
165,02/08/15 07:12:34 AM,164.00,,,
166,02/08/15 07:15:31 AM,165.00,,,
167,02/08/15 07:17:33 AM,166.00,,,
168,02/08/15 07:19:42 AM,167.00,,,
169,02/08/15 07:23:16 AM,168.00,,,
170,02/08/15 07:29:48 AM,169.00,,,
171,02/08/15 07:34:05 AM,170.00,,,
172,02/08/15 07:38:30 AM,171.00,,,
173,02/08/15 07:43:12 AM,172.00,,,
