"Plot Title: HS"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 10592074, SEN S/N: 10592074)","Event, units (LGR S/N: 10592074, SEN S/N: 10592074)","Coupler Detached (LGR S/N: 10592074, SEN S/N: 10592074)","Bad Battery (LGR S/N: 10592074, SEN S/N: 10592074)","Coupler Attached (LGR S/N: 10592074, SEN S/N: 10592074)","End Of File (LGR S/N: 10592074, SEN S/N: 10592074)"
1,01/17/18 02:51:08 PM,74.271,0.00,,,,
2,01/17/18 02:51:42 PM,,,Logged,,,
3,01/17/18 03:51:08 PM,61.398,,,,,
4,01/17/18 04:51:08 PM,59.164,,,,,
5,01/17/18 05:51:08 PM,52.925,,,,,
6,01/17/18 06:51:08 PM,50.995,,,,,
7,01/17/18 07:51:08 PM,50.466,,,,,
8,01/17/18 08:51:08 PM,50.113,,,,,
9,01/17/18 09:51:08 PM,51.523,,,,,
10,01/17/18 10:51:08 PM,53.449,,,,,
11,01/17/18 11:51:08 PM,54.669,,,,,
12,01/18/18 12:51:08 AM,50.995,,,,,
13,01/18/18 01:51:08 AM,47.088,,,,,
14,01/18/18 02:51:08 AM,47.088,,,,,
15,01/18/18 03:51:08 AM,49.582,,,,,
16,01/18/18 04:51:08 AM,50.995,,,,,
17,01/18/18 05:51:08 AM,52.576,,,,,
18,01/18/18 06:51:08 AM,52.750,,,,,
19,01/18/18 07:51:08 AM,53.623,,,,,
20,01/18/18 08:51:08 AM,55.537,,,,,
21,01/18/18 09:51:08 AM,60.024,,,,,
22,01/18/18 10:51:08 AM,61.398,,,,,
23,01/18/18 11:51:08 AM,64.996,,,,,
24,01/18/18 12:51:08 PM,62.769,,,,,
25,01/18/18 01:51:08 PM,57.958,,,,,
26,01/18/18 02:51:08 PM,56.404,,,,,
27,01/18/18 03:51:08 PM,55.537,,,,,
28,01/18/18 04:51:08 PM,53.274,,,,,
29,01/18/18 05:51:08 PM,52.225,,,,,
30,01/18/18 06:51:08 PM,51.523,,,,,
31,01/18/18 07:51:08 PM,50.995,,,,,
32,01/18/18 08:51:08 PM,50.113,,,,,
33,01/18/18 09:17:05 PM,,0.01,,,,
34,01/18/18 09:51:08 PM,49.228,,,,,
35,01/18/18 10:51:08 PM,47.982,,,,,
36,01/18/18 11:51:08 PM,48.160,,,,,
37,01/19/18 12:51:08 AM,47.982,,,,,
38,01/19/18 01:51:08 AM,47.802,,,,,
39,01/19/18 02:51:08 AM,45.286,,,,,
40,01/19/18 03:51:08 AM,45.104,,,,,
41,01/19/18 04:51:08 AM,44.560,,,,,
42,01/19/18 05:51:08 AM,43.648,,,,,
43,01/19/18 06:51:08 AM,43.831,,,,,
44,01/19/18 07:51:08 AM,43.831,,,,,
45,01/19/18 08:51:08 AM,44.013,,,,,
46,01/19/18 09:51:08 AM,50.995,,,,,
47,01/19/18 10:51:08 AM,61.398,,,,,
48,01/19/18 11:51:08 AM,59.164,,,,,
49,01/19/18 12:51:08 PM,59.680,,,,,
50,01/19/18 01:51:08 PM,58.993,,,,,
51,01/19/18 02:51:08 PM,54.495,,,,,
52,01/19/18 03:51:08 PM,49.937,,,,,
