"Plot Title: UNF"
"#","Date Time, GMT-07:00","Event, units (LGR S/N: 10592083, SEN S/N: 10592083, LBL: UNF)","Coupler Attached (LGR S/N: 10592083, SEN S/N: 10592083)","Host Connected (LGR S/N: 10592083, SEN S/N: 10592083)","End Of File (LGR S/N: 10592083, SEN S/N: 10592083)"
1,09/11/40 08:02:00 PM,0.00,,,
2,09/12/40 06:15:56 PM,0.01,,,
3,09/12/40 06:16:42 PM,0.02,,,
4,09/12/40 06:18:04 PM,0.03,,,
5,09/12/40 06:21:29 PM,0.04,,,
6,09/12/40 06:25:11 PM,0.05,,,
7,09/12/40 06:26:07 PM,0.06,,,
8,09/12/40 06:27:00 PM,0.07,,,
9,09/12/40 06:27:30 PM,0.08,,,
10,09/12/40 06:28:12 PM,0.09,,,
11,09/12/40 06:28:56 PM,0.10,,,
12,09/12/40 06:29:38 PM,0.11,,,
13,09/12/40 06:30:22 PM,0.12,,,
14,09/12/40 06:31:27 PM,0.13,,,
15,09/12/40 06:32:40 PM,0.14,,,
16,09/12/40 06:33:28 PM,0.15,,,
17,09/12/40 06:34:04 PM,0.16,,,
18,09/12/40 06:35:02 PM,0.17,,,
19,09/12/40 06:35:44 PM,0.18,,,
20,09/12/40 06:36:47 PM,0.19,,,
21,09/12/40 06:38:07 PM,0.20,,,
22,09/12/40 06:39:52 PM,0.21,,,
23,09/12/40 06:41:33 PM,0.22,,,
24,09/12/40 06:43:24 PM,0.23,,,
25,09/12/40 06:45:17 PM,0.24,,,
26,09/12/40 06:46:53 PM,0.25,,,
27,09/12/40 06:49:00 PM,0.26,,,
28,09/12/40 06:50:44 PM,0.27,,,
29,09/12/40 06:51:50 PM,0.28,,,
30,09/12/40 06:53:12 PM,0.29,,,
31,09/12/40 06:55:02 PM,0.30,,,
32,09/12/40 06:56:54 PM,0.31,,,
33,09/12/40 06:58:04 PM,0.32,,,
34,09/12/40 06:59:13 PM,0.33,,,
35,09/12/40 07:00:32 PM,0.34,,,
36,09/12/40 07:01:53 PM,0.35,,,
37,09/12/40 07:04:30 PM,0.36,,,
38,09/12/40 07:06:52 PM,0.37,,,
39,09/12/40 07:08:55 PM,0.38,,,
40,09/12/40 07:18:06 PM,0.39,,,
41,09/12/40 07:34:15 PM,0.40,,,
42,09/12/40 07:43:35 PM,0.41,,,
43,09/12/40 07:47:19 PM,0.42,,,
44,09/12/40 07:54:00 PM,0.43,,,
45,09/12/40 08:04:23 PM,0.44,,,
46,09/12/40 08:16:53 PM,0.45,,,
47,09/12/40 08:19:35 PM,0.46,,,
48,09/12/40 08:21:08 PM,0.47,,,
49,09/12/40 08:22:57 PM,0.48,,,
50,09/12/40 08:25:24 PM,0.49,,,
51,09/12/40 08:26:20 PM,0.50,,,
52,09/12/40 08:26:53 PM,0.51,,,
53,09/12/40 08:30:03 PM,0.52,,,
54,09/12/40 09:01:43 PM,0.53,,,
55,09/12/40 09:20:14 PM,0.54,,,
56,09/12/40 09:40:05 PM,0.55,,,
57,09/12/40 10:03:54 PM,0.56,,,
58,09/13/40 12:01:54 AM,0.57,,,
59,09/15/40 10:28:40 PM,0.58,,,
60,09/19/40 08:32:56 AM,0.59,,,
61,09/19/40 08:44:12 AM,0.60,,,
62,09/19/40 08:55:53 AM,0.61,,,
63,09/19/40 09:16:16 AM,0.62,,,
64,09/19/40 12:01:49 PM,0.63,,,
