"Plot Title: UNF"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 9668993, SEN S/N: 9668993)","Event, inches (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Detached (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Attached (LGR S/N: 9668993, SEN S/N: 9668993)","Host Connected (LGR S/N: 9668993, SEN S/N: 9668993)","End Of File (LGR S/N: 9668993, SEN S/N: 9668993)"
1,04/17/18 02:42:44 PM,63.111,0.00,,,,
2,04/17/18 02:42:53 PM,,,Logged,,,
3,04/17/18 03:42:44 PM,69.107,,,,,
4,04/17/18 04:42:44 PM,62.083,,,,,
5,04/17/18 05:42:44 PM,56.750,,,,,
6,04/17/18 06:42:44 PM,52.750,,,,,
7,04/17/18 07:42:44 PM,49.759,,,,,
8,04/17/18 08:42:44 PM,46.728,,,,,
9,04/17/18 09:42:44 PM,44.922,,,,,
10,04/17/18 10:42:44 PM,44.922,,,,,
11,04/17/18 11:42:44 PM,44.379,,,,,
12,04/18/18 12:42:44 AM,43.466,,,,,
13,04/18/18 01:42:44 AM,43.282,,,,,
14,04/18/18 02:42:44 AM,43.466,,,,,
15,04/18/18 03:42:44 AM,43.831,,,,,
16,04/18/18 04:42:44 AM,44.013,,,,,
17,04/18/18 05:42:44 AM,44.013,,,,,
18,04/18/18 06:42:44 AM,44.379,,,,,
19,04/18/18 07:42:44 AM,45.828,,,,,
20,04/18/18 08:42:44 AM,48.517,,,,,
21,04/18/18 09:42:44 AM,50.819,,,,,
22,04/18/18 10:42:44 AM,59.508,,,,,
23,04/18/18 11:42:44 AM,71.856,,,,,
24,04/18/18 12:42:44 PM,70.308,,,,,
25,04/18/18 01:42:44 PM,65.680,,,,,
26,04/18/18 02:42:44 PM,60.539,,,,,
27,04/18/18 03:42:44 PM,57.096,,,,,
28,04/18/18 04:42:44 PM,60.024,,,,,
29,04/18/18 05:42:44 PM,53.623,,,,,
30,04/18/18 06:42:44 PM,49.404,,,,,
31,04/18/18 07:42:44 PM,46.728,,,,,
32,04/18/18 08:42:44 PM,45.466,,,,,
33,04/18/18 09:42:44 PM,45.104,,,,,
34,04/18/18 10:42:44 PM,44.742,,,,,
35,04/18/18 11:42:44 PM,44.742,,,,,
36,04/19/18 12:42:44 AM,44.195,,,,,
37,04/19/18 01:42:44 AM,43.466,,,,,
38,04/19/18 02:42:44 AM,43.831,,,,,
39,04/19/18 03:42:44 AM,42.548,,,,,
40,04/19/18 04:42:44 AM,41.254,,,,,
41,04/19/18 05:42:44 AM,41.067,,,,,
42,04/19/18 06:42:44 AM,41.439,,,,,
43,04/19/18 07:42:44 AM,41.810,,,,,
44,04/19/18 08:42:44 AM,44.560,,,,,
45,04/19/18 09:42:44 AM,52.576,,,,,
46,04/19/18 10:42:44 AM,63.455,,,,,
47,04/19/18 11:42:44 AM,104.540,,,,,
48,04/19/18 12:42:44 PM,86.097,,,,,
49,04/19/18 01:42:44 PM,73.580,,,,,
50,04/19/18 02:42:44 PM,64.996,,,,,
51,04/19/18 03:42:44 PM,71.856,,,,,
