"Plot Title: Landing"
"#","Date Time, GMT-07:00","Ext. Line Event (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Attached (LGR S/N: 9668993, SEN S/N: 9668993)","Stopped (LGR S/N: 9668993, SEN S/N: 9668993)","End Of File (LGR S/N: 9668993, SEN S/N: 9668993)"
1,11/08/11 02:00:00 PM,0.00,,,
2,11/11/11 09:16:47 AM,0.00,,,
3,11/11/11 09:19:00 AM,0.00,,,
4,11/11/11 09:20:27 AM,0.00,,,
5,11/11/11 09:22:34 AM,0.00,,,
6,11/11/11 09:24:29 AM,0.00,,,
7,11/11/11 09:28:33 AM,0.00,,,
8,11/11/11 09:31:30 AM,0.00,,,
9,11/11/11 09:33:53 AM,0.00,,,
10,11/11/11 09:35:33 AM,0.00,,,
11,11/11/11 09:37:43 AM,0.00,,,
12,11/11/11 09:38:50 AM,0.00,,,
13,11/11/11 09:40:26 AM,0.00,,,
14,11/11/11 09:41:52 AM,0.00,,,
15,11/11/11 09:44:18 AM,0.00,,,
16,11/11/11 09:50:55 AM,0.00,,,
17,11/11/11 09:54:55 AM,0.00,,,
18,11/11/11 10:02:25 AM,0.00,,,
19,11/11/11 10:25:45 AM,0.00,,,
20,11/11/11 10:39:20 AM,0.00,,,
21,11/11/11 10:45:19 AM,0.00,,,
22,11/11/11 10:49:42 AM,0.00,,,
23,11/11/11 10:56:58 AM,0.00,,,
24,11/11/11 11:09:10 AM,0.00,,,
25,11/11/11 11:20:31 AM,0.00,,,
26,11/11/11 11:23:17 AM,0.00,,,
27,11/11/11 01:36:01 PM,0.00,,,
28,11/11/11 01:42:39 PM,0.00,,,
29,11/11/11 02:00:55 PM,0.00,,,
30,11/11/11 02:00:56 PM,0.00,,,
31,11/11/11 02:38:53 PM,0.00,,,
32,11/11/11 02:46:31 PM,0.00,,,
33,11/11/11 02:52:31 PM,0.00,,,
34,11/11/11 04:02:02 PM,0.00,,,
35,11/11/11 04:08:21 PM,0.00,,,
36,11/11/11 04:23:03 PM,0.00,,,
37,11/11/11 04:35:36 PM,0.00,,,
38,11/11/11 04:51:59 PM,0.00,,,
39,11/11/11 04:52:00 PM,0.00,,,
40,11/11/11 04:55:26 PM,0.00,,,
41,11/11/11 05:00:55 PM,0.00,,,
42,11/11/11 05:03:55 PM,0.00,,,
43,11/11/11 05:03:56 PM,0.00,,,
44,11/11/11 05:05:44 PM,0.00,,,
45,11/11/11 05:08:41 PM,0.00,,,
46,11/11/11 05:13:51 PM,0.00,,,
47,11/11/11 05:19:26 PM,0.00,,,
48,11/11/11 05:23:34 PM,0.00,,,
49,11/11/11 05:25:44 PM,0.00,,,
50,11/11/11 05:33:21 PM,0.00,,,
51,11/11/11 05:40:31 PM,0.00,,,
52,11/11/11 05:47:57 PM,0.00,,,
53,11/11/11 05:47:58 PM,0.00,,,
54,11/11/11 05:52:32 PM,0.00,,,
55,11/11/11 05:57:23 PM,0.00,,,
56,11/11/11 06:00:09 PM,0.00,,,
57,11/11/11 06:04:42 PM,0.00,,,
58,11/11/11 06:04:43 PM,0.00,,,
59,11/11/11 06:08:09 PM,0.00,,,
60,11/11/11 06:11:01 PM,0.00,,,
61,11/11/11 06:12:30 PM,0.00,,,
62,11/11/11 06:13:27 PM,0.00,,,
63,11/11/11 06:14:17 PM,0.00,,,
64,11/11/11 06:16:58 PM,0.00,,,
65,11/11/11 06:18:20 PM,0.00,,,
66,11/11/11 06:18:21 PM,0.00,,,
67,11/11/11 06:19:55 PM,0.00,,,
68,11/11/11 06:20:53 PM,0.00,,,
69,11/11/11 06:23:20 PM,0.00,,,
70,11/11/11 06:24:56 PM,0.00,,,
71,11/11/11 06:24:57 PM,0.00,,,
72,11/11/11 06:25:59 PM,0.00,,,
73,11/11/11 06:26:47 PM,0.00,,,
74,11/11/11 06:26:48 PM,0.00,,,
75,11/11/11 06:28:33 PM,0.00,,,
76,11/11/11 06:30:15 PM,0.00,,,
77,11/11/11 06:32:36 PM,0.00,,,
78,11/11/11 06:33:27 PM,0.00,,,
79,11/11/11 06:35:16 PM,0.00,,,
80,11/11/11 06:35:17 PM,0.00,,,
81,11/11/11 06:37:17 PM,0.00,,,
82,11/11/11 06:37:18 PM,0.00,,,
83,11/11/11 06:39:04 PM,0.00,,,
84,11/11/11 06:40:26 PM,0.00,,,
85,11/11/11 06:42:00 PM,0.00,,,
86,11/11/11 06:42:26 PM,0.00,,,
87,11/11/11 06:42:56 PM,0.00,,,
88,11/11/11 06:43:51 PM,0.00,,,
89,11/11/11 06:46:11 PM,0.00,,,
90,11/11/11 06:46:12 PM,0.00,,,
91,11/11/11 06:47:46 PM,0.00,,,
92,11/11/11 06:49:38 PM,0.00,,,
93,11/11/11 06:52:16 PM,0.00,,,
94,11/11/11 06:52:17 PM,0.00,,,
95,11/11/11 06:57:26 PM,0.00,,,
96,11/11/11 07:00:03 PM,0.00,,,
97,11/11/11 07:01:58 PM,0.00,,,
98,11/11/11 07:03:56 PM,0.00,,,
99,11/11/11 07:05:47 PM,0.00,,,
100,11/11/11 07:07:24 PM,0.00,,,
101,11/11/11 07:07:25 PM,0.00,,,
102,11/11/11 07:13:07 PM,0.00,,,
103,11/11/11 07:20:51 PM,0.00,,,
104,11/11/11 07:20:52 PM,0.00,,,
105,11/11/11 07:26:42 PM,0.00,,,
106,11/11/11 07:39:21 PM,0.00,,,
107,11/11/11 08:13:45 PM,0.00,,,
108,11/15/11 11:24:27 AM,,Logged,,
109,11/15/11 11:24:30 AM,0.00,,Logged,Logged
