"Plot Title: UNF"
"#","Date Time, GMT-08:00","Event, inches (LGR S/N: 10592083, SEN S/N: 10592083, LBL: UNF)","Coupler Attached (LGR S/N: 10592083, SEN S/N: 10592083)","Stopped (LGR S/N: 10592083, SEN S/N: 10592083)","End Of File (LGR S/N: 10592083, SEN S/N: 10592083)"
1,02/04/15 10:41:39 AM,0.00,,,
2,02/06/15 12:01:20 PM,1.00,,,
3,02/06/15 12:23:59 PM,2.00,,,
4,02/06/15 12:28:56 PM,3.00,,,
5,02/06/15 12:33:04 PM,4.00,,,
6,02/06/15 12:45:16 PM,5.00,,,
7,02/06/15 12:49:52 PM,6.00,,,
8,02/06/15 01:00:21 PM,7.00,,,
9,02/06/15 01:13:23 PM,8.00,,,
10,02/06/15 01:21:36 PM,9.00,,,
11,02/06/15 01:22:55 PM,10.00,,,
12,02/06/15 01:23:33 PM,11.00,,,
13,02/06/15 01:24:36 PM,12.00,,,
14,02/06/15 01:27:22 PM,13.00,,,
15,02/06/15 01:33:11 PM,14.00,,,
16,02/06/15 01:34:28 PM,15.00,,,
17,02/06/15 01:36:54 PM,16.00,,,
18,02/06/15 01:44:50 PM,17.00,,,
19,02/06/15 01:47:23 PM,18.00,,,
20,02/06/15 01:53:32 PM,19.00,,,
21,02/06/15 01:58:13 PM,20.00,,,
22,02/06/15 02:24:27 PM,21.00,,,
23,02/06/15 04:15:23 PM,22.00,,,
24,02/06/15 04:40:11 PM,23.00,,,
25,02/06/15 04:41:50 PM,24.00,,,
26,02/06/15 04:43:40 PM,25.00,,,
27,02/06/15 04:45:36 PM,26.00,,,
28,02/06/15 04:47:39 PM,27.00,,,
29,02/06/15 04:49:43 PM,28.00,,,
30,02/06/15 04:52:47 PM,29.00,,,
31,02/06/15 04:55:10 PM,30.00,,,
32,02/06/15 04:58:20 PM,31.00,,,
33,02/06/15 05:00:34 PM,32.00,,,
34,02/06/15 05:01:18 PM,33.00,,,
35,02/06/15 05:01:55 PM,34.00,,,
36,02/06/15 05:02:34 PM,35.00,,,
37,02/06/15 05:03:21 PM,36.00,,,
38,02/06/15 05:04:29 PM,37.00,,,
39,02/06/15 05:05:26 PM,38.00,,,
40,02/06/15 05:07:20 PM,39.00,,,
41,02/06/15 05:09:57 PM,40.00,,,
42,02/06/15 05:10:45 PM,41.00,,,
43,02/06/15 05:11:16 PM,42.00,,,
44,02/06/15 05:11:43 PM,43.00,,,
45,02/06/15 05:12:05 PM,44.00,,,
46,02/06/15 05:12:59 PM,45.00,,,
47,02/06/15 05:13:58 PM,46.00,,,
48,02/06/15 05:14:40 PM,47.00,,,
