"Plot Title: Landing"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 9668993, SEN S/N: 9668993)","Event, inches (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Attached (LGR S/N: 9668993, SEN S/N: 9668993)","Stopped (LGR S/N: 9668993, SEN S/N: 9668993)","End Of File (LGR S/N: 9668993, SEN S/N: 9668993)"
1,02/07/12 01:54:36 PM,58.820,0.00000000,,,
2,02/07/12 02:09:36 PM,59.164,,,,
3,02/07/12 02:24:36 PM,58.131,,,,
4,02/07/12 02:39:36 PM,58.131,,,,
5,02/07/12 02:54:36 PM,57.958,,,,
6,02/07/12 03:09:36 PM,57.958,,,,
7,02/07/12 03:24:36 PM,58.303,,,,
8,02/07/12 03:39:36 PM,57.441,,,,
9,02/07/12 03:54:36 PM,57.441,,,,
10,02/07/12 04:09:36 PM,57.614,,,,
11,02/07/12 04:24:36 PM,56.923,,,,
12,02/07/12 04:39:36 PM,56.577,,,,
13,02/07/12 04:54:36 PM,55.884,,,,
14,02/07/12 05:09:36 PM,55.537,,,,
15,02/07/12 05:24:36 PM,54.842,,,,
16,02/07/12 05:39:36 PM,54.322,,,,
17,02/07/12 05:54:36 PM,53.798,,,,
18,02/07/12 06:09:36 PM,53.449,,,,
19,02/07/12 06:24:36 PM,53.100,,,,
20,02/07/12 06:39:36 PM,52.925,,,,
21,02/07/12 06:54:36 PM,52.750,,,,
22,02/07/12 07:09:36 PM,52.401,,,,
23,02/07/12 07:24:36 PM,51.523,,,,
24,02/07/12 07:39:36 PM,51.172,,,,
25,02/07/12 07:54:36 PM,50.995,,,,
26,02/07/12 08:09:36 PM,50.819,,,,
27,02/07/12 08:24:36 PM,50.995,,,,
28,02/07/12 08:39:36 PM,50.995,,,,
29,02/07/12 08:54:36 PM,51.346,,,,
30,02/07/12 09:09:36 PM,51.172,,,,
31,02/07/12 09:24:36 PM,51.172,,,,
32,02/07/12 09:39:36 PM,51.346,,,,
33,02/07/12 09:54:36 PM,51.523,,,,
34,02/07/12 10:09:36 PM,51.346,,,,
35,02/07/12 10:24:36 PM,51.523,,,,
36,02/07/12 10:39:36 PM,51.523,,,,
37,02/07/12 10:54:36 PM,51.346,,,,
38,02/07/12 11:09:36 PM,51.523,,,,
39,02/07/12 11:24:36 PM,51.346,,,,
40,02/07/12 11:39:36 PM,51.699,,,,
41,02/07/12 11:54:36 PM,51.699,,,,
42,02/08/12 12:09:36 AM,51.346,,,,
43,02/08/12 12:24:36 AM,51.346,,,,
44,02/08/12 12:39:36 AM,51.346,,,,
45,02/08/12 12:54:36 AM,51.523,,,,
