"Plot Title: RLSF"
"#","Date Time, GMT-08:00","Event, inches (LGR S/N: 10592086, SEN S/N: 10592086, LBL: RLSF)","Coupler Attached (LGR S/N: 10592086, SEN S/N: 10592086)","Stopped (LGR S/N: 10592086, SEN S/N: 10592086)","End Of File (LGR S/N: 10592086, SEN S/N: 10592086)"
1,05/15/15 08:45:00 AM,0.00,,,
2,05/19/15 08:55:27 AM,1.00,,,
3,05/21/15 04:40:25 AM,2.00,,,
4,05/21/15 05:03:48 AM,3.00,,,
5,05/21/15 05:08:28 AM,4.00,,,
6,05/21/15 06:25:58 AM,5.00,,,
7,05/21/15 06:43:32 AM,6.00,,,
8,05/21/15 06:43:33 AM,7.00,,,
9,05/21/15 06:58:06 AM,8.00,,,
10,05/21/15 07:06:04 AM,9.00,,,
11,05/21/15 07:17:25 AM,10.00,,,
12,05/21/15 08:09:50 AM,11.00,,,
13,05/21/15 08:33:10 AM,12.00,,,
14,05/21/15 08:55:10 AM,13.00,,,
15,05/21/15 12:06:39 PM,14.00,,,
16,05/22/15 05:50:46 AM,15.00,,,
17,05/22/15 11:41:25 PM,16.00,,,
18,05/23/15 04:22:16 AM,17.00,,,
19,05/23/15 05:15:19 AM,18.00,,,
20,05/23/15 05:53:34 AM,19.00,,,
21,05/23/15 06:46:39 AM,20.00,,,
22,05/25/15 03:56:14 AM,21.00,,,
23,05/25/15 03:56:15 AM,22.00,,,
24,05/26/15 12:24:27 AM,23.00,,,
25,05/26/15 11:22:07 PM,24.00,,,
26,06/01/15 04:39:21 AM,25.00,,,
27,06/01/15 06:36:56 AM,26.00,,,
28,06/01/15 07:33:46 AM,27.00,,,
29,06/01/15 08:50:10 AM,28.00,,,
30,06/10/15 02:43:02 PM,29.00,,,
31,06/10/15 02:58:09 PM,30.00,,,
32,06/10/15 02:58:10 PM,31.00,,,
33,07/06/15 12:41:35 AM,32.00,,,
34,07/06/15 04:59:08 AM,33.00,,,
35,07/09/15 04:24:26 AM,34.00,,,
36,07/16/15 03:57:36 AM,35.00,,,
37,07/31/15 11:14:02 AM,36.00,,,
38,08/22/15 04:12:43 AM,37.00,,,
39,08/23/15 04:19:09 AM,38.00,,,
40,09/14/15 08:37:30 AM,39.00,,,
41,09/14/15 10:47:08 AM,40.00,,,
42,09/14/15 01:04:49 PM,41.00,,,
43,09/14/15 02:16:55 PM,42.00,,,
44,09/14/15 02:56:02 PM,43.00,,,
45,09/14/15 10:07:51 PM,44.00,,,
46,09/15/15 08:44:01 AM,45.00,,,
47,09/15/15 08:44:18 AM,,Logged,,
48,09/15/15 08:44:28 AM,45.00,,Logged,Logged
