"Plot Title: Landing Rain Gage"
"#","Date Time, GMT-07:00","Batt, V (LGR S/N: 9668993, SEN S/N: 9668993)","Event, units (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Attached (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Detached (LGR S/N: 9668993, SEN S/N: 9668993)","Stopped (LGR S/N: 9668993, SEN S/N: 9668993)","End Of File (LGR S/N: 9668993, SEN S/N: 9668993)"
115,05/30/10 09:39:06 PM,3.03,,,,,
116,05/30/10 10:39:06 PM,3.03,,,,,
117,05/30/10 11:39:06 PM,3.03,,,,,
118,05/31/10 12:39:06 AM,3.03,,,,,
119,05/31/10 01:39:06 AM,3.03,,,,,
120,05/31/10 02:39:06 AM,3.03,,,,,
121,05/31/10 03:39:06 AM,3.03,,,,,
122,05/31/10 04:39:06 AM,3.03,,,,,
123,05/31/10 05:39:06 AM,3.03,,,,,
124,05/31/10 06:39:06 AM,3.03,,,,,
125,05/31/10 07:39:06 AM,3.03,,,,,
126,05/31/10 08:39:06 AM,3.03,,,,,
127,05/31/10 09:39:06 AM,3.03,,,,,
128,05/31/10 10:39:06 AM,3.01,,,,,
129,05/31/10 11:39:06 AM,3.03,,,,,
130,05/31/10 12:39:06 PM,3.03,,,,,
131,05/31/10 01:39:06 PM,3.03,,,,,
132,05/31/10 02:39:06 PM,3.03,,,,,
133,05/31/10 03:39:06 PM,3.03,,,,,
134,05/31/10 04:39:06 PM,3.03,,,,,
135,05/31/10 05:39:06 PM,3.01,,,,,
136,05/31/10 06:39:06 PM,3.03,,,,,
137,05/31/10 07:39:06 PM,3.03,,,,,
138,05/31/10 08:39:06 PM,3.05,,,,,
139,05/31/10 09:39:06 PM,3.05,,,,,
140,05/31/10 10:39:06 PM,3.05,,,,,
141,05/31/10 11:39:06 PM,3.05,,,,,
142,06/01/10 12:39:06 AM,3.03,,,,,
143,06/01/10 01:39:06 AM,3.03,,,,,
144,06/01/10 02:39:06 AM,3.03,,,,,
145,06/01/10 03:39:06 AM,3.03,,,,,
146,06/01/10 04:39:06 AM,3.03,,,,,
147,06/01/10 05:39:06 AM,3.03,,,,,
148,06/01/10 06:39:06 AM,3.03,,,,,
149,06/01/10 07:39:06 AM,3.03,,,,,
150,06/01/10 08:39:06 AM,3.03,,,,,
151,06/01/10 09:39:06 AM,3.03,,,,,
152,06/01/10 10:39:06 AM,3.01,,,,,
153,06/01/10 11:05:49 AM,,,Logged,,,
154,06/01/10 11:06:00 AM,,,,Logged,,
155,06/01/10 11:06:03 AM,,,Logged,,,
156,06/01/10 11:06:09 AM,,0.08,,,Logged,Logged
