"Plot Title: Landing"
"#","Date Time, GMT-07:00","rainfall, inches (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Detached (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Attached (LGR S/N: 9668993, SEN S/N: 9668993)","End Of File (LGR S/N: 9668993, SEN S/N: 9668993)"
1,09/21/10 02:17:04 PM,0.00000000,,,
2,09/21/10 02:17:10 PM,,Logged,,
3,09/28/10 01:23:14 PM,0.00000000,,Logged,Logged
