"Plot Title: AL"
"#","Date Time, GMT-07:00","Event, inch (LGR S/N: 10592075, SEN S/N: 10592075)","Coupler Attached (LGR S/N: 10592075, SEN S/N: 10592075)","Stopped (LGR S/N: 10592075, SEN S/N: 10592075)","End Of File (LGR S/N: 10592075, SEN S/N: 10592075)"
128,11/30/14 10:03:15 AM,1.27,,,
129,11/30/14 10:08:46 AM,1.28,,,
130,11/30/14 10:13:36 AM,1.29,,,
131,11/30/14 10:16:50 AM,1.30,,,
132,11/30/14 10:21:00 AM,1.31,,,
133,11/30/14 10:23:54 AM,1.32,,,
134,11/30/14 10:26:02 AM,1.33,,,
135,11/30/14 10:26:03 AM,1.34,,,
136,11/30/14 10:27:38 AM,1.35,,,
137,11/30/14 10:30:32 AM,1.36,,,
138,11/30/14 10:40:16 AM,1.37,,,
139,11/30/14 10:49:58 AM,1.38,,,
140,11/30/14 10:50:44 AM,1.39,,,
141,11/30/14 10:51:13 AM,1.40,,,
142,11/30/14 10:52:14 AM,1.41,,,
143,11/30/14 10:53:10 AM,1.42,,,
144,11/30/14 10:55:05 AM,1.43,,,
145,11/30/14 10:58:50 AM,1.44,,,
146,11/30/14 11:06:44 AM,1.45,,,
147,11/30/14 11:12:54 AM,1.46,,,
148,11/30/14 11:14:35 AM,1.47,,,
149,11/30/14 11:15:07 AM,1.48,,,
150,11/30/14 11:15:55 AM,1.49,,,
151,11/30/14 11:16:34 AM,1.50,,,
152,11/30/14 11:17:47 AM,1.51,,,
153,11/30/14 11:18:33 AM,1.52,,,
154,11/30/14 11:18:34 AM,1.53,,,
155,11/30/14 11:20:24 AM,1.54,,,
156,11/30/14 11:21:40 AM,1.55,,,
157,11/30/14 11:22:52 AM,1.56,,,
158,11/30/14 11:24:16 AM,1.57,,,
159,11/30/14 11:25:40 AM,1.58,,,
160,11/30/14 11:25:41 AM,1.59,,,
161,11/30/14 11:28:49 AM,1.60,,,
162,11/30/14 11:28:50 AM,1.61,,,
163,11/30/14 11:33:58 AM,1.62,,,
164,11/30/14 11:35:01 AM,1.63,,,
165,11/30/14 11:36:00 AM,1.64,,,
166,11/30/14 11:36:42 AM,1.65,,,
167,11/30/14 11:37:35 AM,1.66,,,
168,11/30/14 11:39:05 AM,1.67,,,
169,11/30/14 11:39:06 AM,1.68,,,
170,11/30/14 11:40:47 AM,1.69,,,
171,11/30/14 11:40:48 AM,1.70,,,
172,11/30/14 11:41:52 AM,1.71,,,
173,11/30/14 11:41:53 AM,1.72,,,
174,11/30/14 11:42:59 AM,1.73,,,
175,11/30/14 11:43:51 AM,1.74,,,
176,11/30/14 11:44:45 AM,1.75,,,
177,11/30/14 11:45:17 AM,1.76,,,
178,11/30/14 11:45:51 AM,1.77,,,
179,11/30/14 11:46:28 AM,1.78,,,
180,11/30/14 11:47:36 AM,1.79,,,
181,11/30/14 11:52:24 AM,1.80,,,
182,11/30/14 12:06:16 PM,1.81,,,
183,12/01/14 10:46:33 AM,1.82,,,
184,12/01/14 11:21:33 AM,1.83,,,
185,12/02/14 02:15:24 AM,1.84,,,
186,12/02/14 02:27:05 AM,1.85,,,
187,12/02/14 02:49:45 AM,1.86,,,
188,12/02/14 02:49:46 AM,1.87,,,
189,12/02/14 03:17:25 AM,1.88,,,
190,12/02/14 03:24:42 AM,1.89,,,
191,12/02/14 03:24:43 AM,1.90,,,
192,12/02/14 03:29:32 AM,1.91,,,
193,12/02/14 03:35:42 AM,1.92,,,
194,12/02/14 03:40:22 AM,1.93,,,
195,12/02/14 03:49:19 AM,1.94,,,
196,12/02/14 04:01:28 AM,1.95,,,
197,12/02/14 04:16:25 AM,1.96,,,
198,12/02/14 04:56:15 AM,1.97,,,
199,12/02/14 05:04:11 AM,1.98,,,
200,12/02/14 05:13:13 AM,1.99,,,
201,12/02/14 05:30:01 AM,2.00,,,
202,12/02/14 05:33:11 AM,2.01,,,
203,12/02/14 05:38:14 AM,2.02,,,
204,12/02/14 05:43:15 AM,2.03,,,
205,12/02/14 05:46:42 AM,2.04,,,
206,12/02/14 05:46:43 AM,2.05,,,
207,12/02/14 05:49:32 AM,2.06,,,
208,12/02/14 05:52:26 AM,2.07,,,
209,12/02/14 05:54:39 AM,2.08,,,
210,12/02/14 05:57:17 AM,2.09,,,
211,12/02/14 05:59:44 AM,2.10,,,
212,12/02/14 06:01:19 AM,2.11,,,
213,12/02/14 06:03:24 AM,2.12,,,
214,12/02/14 06:05:12 AM,2.13,,,
215,12/02/14 06:07:01 AM,2.14,,,
216,12/02/14 06:08:27 AM,2.15,,,
217,12/02/14 06:10:01 AM,2.16,,,
218,12/02/14 06:11:28 AM,2.17,,,
219,12/02/14 06:13:02 AM,2.18,,,
220,12/02/14 06:14:45 AM,2.19,,,
221,12/02/14 06:16:19 AM,2.20,,,
222,12/02/14 06:17:53 AM,2.21,,,
223,12/02/14 06:19:50 AM,2.22,,,
224,12/02/14 06:20:58 AM,2.23,,,
225,12/02/14 06:20:59 AM,2.24,,,
226,12/02/14 06:21:56 AM,2.25,,,
227,12/02/14 06:23:06 AM,2.26,,,
228,12/02/14 06:24:31 AM,2.27,,,
229,12/02/14 06:25:45 AM,2.28,,,
230,12/02/14 06:27:07 AM,2.29,,,
231,12/02/14 06:28:15 AM,2.30,,,
232,12/02/14 06:29:24 AM,2.31,,,
233,12/02/14 06:30:20 AM,2.32,,,
234,12/02/14 06:31:33 AM,2.33,,,
235,12/02/14 06:32:42 AM,2.34,,,
236,12/02/14 06:33:46 AM,2.35,,,
237,12/02/14 06:34:48 AM,2.36,,,
238,12/02/14 06:35:54 AM,2.37,,,
239,12/02/14 06:36:57 AM,2.38,,,
240,12/02/14 06:38:06 AM,2.39,,,
241,12/02/14 06:39:25 AM,2.40,,,
242,12/02/14 06:41:00 AM,2.41,,,
243,12/02/14 06:42:03 AM,2.42,,,
244,12/02/14 06:43:15 AM,2.43,,,
245,12/02/14 06:44:36 AM,2.44,,,
246,12/02/14 06:45:42 AM,2.45,,,
247,12/02/14 06:47:08 AM,2.46,,,
248,12/02/14 06:47:09 AM,2.47,,,
249,12/02/14 06:48:25 AM,2.48,,,
250,12/02/14 06:49:21 AM,2.49,,,
