"Plot Title: UNF"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 9668993, SEN S/N: 9668993)","Event, inches (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Detached (LGR S/N: 9668993, SEN S/N: 9668993)","End Of File (LGR S/N: 9668993, SEN S/N: 9668993)"
1,05/08/18 11:36:34 AM,93.682,0.00,,
2,05/08/18 11:36:40 AM,,,Logged,
3,05/08/18 12:36:34 PM,92.363,,,
4,05/08/18 01:36:34 PM,87.915,,,
5,05/08/18 02:36:34 PM,84.834,,,
6,05/08/18 03:36:34 PM,89.938,,,
7,05/08/18 04:36:34 PM,87.004,,,
8,05/08/18 05:36:34 PM,74.098,,,
9,05/08/18 06:36:34 PM,67.735,,,
10,05/08/18 07:36:34 PM,63.455,,,
11,05/08/18 08:36:34 PM,60.712,,,
12,05/08/18 09:36:34 PM,57.958,,,
13,05/08/18 10:36:34 PM,56.057,,,
14,05/08/18 11:36:34 PM,54.495,,,
15,05/09/18 12:36:34 AM,53.100,,,
16,05/09/18 01:36:34 AM,52.050,,,
17,05/09/18 02:36:34 AM,51.699,,,
18,05/09/18 03:36:34 AM,52.050,,,
19,05/09/18 04:36:34 AM,52.225,,,
20,05/09/18 05:36:34 AM,51.699,,,
21,05/09/18 06:36:34 AM,51.172,,,
22,05/09/18 07:36:34 AM,51.346,,,
23,05/09/18 08:36:34 AM,53.449,,,
24,05/09/18 09:36:34 AM,60.368,,,
25,05/09/18 10:36:34 AM,66.879,,,
26,05/09/18 11:36:34 AM,101.082,,,
27,05/09/18 12:36:34 PM,95.783,,,
28,05/09/18 01:36:34 PM,90.867,,,
29,05/09/18 02:36:34 PM,81.442,,,
30,05/09/18 03:36:34 PM,86.459,,,
31,05/09/18 04:36:34 PM,81.975,,,
32,05/09/18 05:36:34 PM,66.879,,,
33,05/09/18 06:36:34 PM,60.368,,,
34,05/09/18 07:36:34 PM,57.441,,,
35,05/09/18 08:36:34 PM,54.495,,,
36,05/09/18 09:36:34 PM,53.100,,,
37,05/09/18 10:36:34 PM,53.100,,,
38,05/09/18 11:36:34 PM,51.523,,,
39,05/10/18 12:36:34 AM,50.466,,,
