"Plot Title: UNF"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 9668993, SEN S/N: 9668993)","Event, inches (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Detached (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Attached (LGR S/N: 9668993, SEN S/N: 9668993)","Host Connected (LGR S/N: 9668993, SEN S/N: 9668993)","Stopped (LGR S/N: 9668993, SEN S/N: 9668993)","End Of File (LGR S/N: 9668993, SEN S/N: 9668993)"
110,11/29/18 12:22:32 AM,,0.99,,,,,
111,11/29/18 12:23:08 AM,,1.00,,,,,
112,11/29/18 12:25:02 AM,,1.01,,,,,
113,11/29/18 12:48:59 AM,56.230,,,,,,
114,11/29/18 12:53:20 AM,,1.02,,,,,
115,11/29/18 01:48:59 AM,56.057,,,,,,
116,11/29/18 02:48:59 AM,55.711,,,,,,
117,11/29/18 03:48:59 AM,54.842,,,,,,
118,11/29/18 04:48:59 AM,53.798,,,,,,
119,11/29/18 05:48:59 AM,53.623,,,,,,
120,11/29/18 06:48:59 AM,53.798,,,,,,
121,11/29/18 07:23:06 AM,,1.03,,,,,
122,11/29/18 07:30:55 AM,,1.04,,,,,
123,11/29/18 07:32:34 AM,,1.05,,,,,
124,11/29/18 07:35:24 AM,,1.06,,,,,
125,11/29/18 07:39:38 AM,,1.07,,,,,
126,11/29/18 07:48:59 AM,53.623,,,,,,
127,11/29/18 07:50:26 AM,,1.08,,,,,
128,11/29/18 07:50:39 AM,,1.09,,,,,
129,11/29/18 07:50:50 AM,,1.10,,,,,
130,11/29/18 07:51:13 AM,,1.11,,,,,
131,11/29/18 07:51:50 AM,,1.12,,,,,
132,11/29/18 07:53:21 AM,,1.13,,,,,
133,11/29/18 07:55:10 AM,,1.14,,,,,
134,11/29/18 07:55:40 AM,,1.15,,,,,
135,11/29/18 07:56:01 AM,,1.16,,,,,
136,11/29/18 07:56:10 AM,,1.17,,,,,
137,11/29/18 07:56:23 AM,,1.18,,,,,
138,11/29/18 07:57:05 AM,,1.19,,,,,
139,11/29/18 08:00:47 AM,,1.20,,,,,
140,11/29/18 08:21:41 AM,,1.21,,,,,
141,11/29/18 08:33:47 AM,,1.22,,,,,
142,11/29/18 08:34:50 AM,,1.23,,,,,
143,11/29/18 08:48:59 AM,53.274,,,,,,
144,11/29/18 09:00:59 AM,,1.24,,,,,
145,11/29/18 09:02:06 AM,,1.25,,,,,
146,11/29/18 09:04:28 AM,,1.26,,,,,
147,11/29/18 09:24:35 AM,,1.27,,,,,
148,11/29/18 09:39:01 AM,,1.28,,,,,
149,11/29/18 09:48:59 AM,53.449,,,,,,
150,11/29/18 10:07:01 AM,,1.29,,,,,
151,11/29/18 10:48:59 AM,54.842,,,,,,
152,11/29/18 11:18:17 AM,,1.30,,,,,
153,11/29/18 11:23:56 AM,,1.31,,,,,
154,11/29/18 11:27:52 AM,,1.32,,,,,
155,11/29/18 11:28:33 AM,,1.33,,,,,
156,11/29/18 11:28:55 AM,,1.34,,,,,
157,11/29/18 11:29:23 AM,,1.35,,,,,
158,11/29/18 11:48:59 AM,54.495,,,,,,
159,11/29/18 12:24:30 PM,,1.36,,,,,
160,11/29/18 12:31:05 PM,,1.37,,,,,
161,11/29/18 12:34:19 PM,,1.38,,,,,
162,11/29/18 12:35:30 PM,,1.39,,,,,
163,11/29/18 12:36:25 PM,,1.40,,,,,
164,11/29/18 12:38:29 PM,,1.41,,,,,
165,11/29/18 12:46:07 PM,,1.42,,,,,
166,11/29/18 12:48:59 PM,53.798,,,,,,
167,11/29/18 12:50:28 PM,,1.43,,,,,
168,11/29/18 12:53:02 PM,,1.44,,,,,
169,11/29/18 12:55:53 PM,,1.45,,,,,
170,11/29/18 01:07:15 PM,,1.46,,,,,
171,11/29/18 01:48:59 PM,55.537,,,,,,
172,11/29/18 02:48:59 PM,55.189,,,,,,
173,11/29/18 03:10:26 PM,,1.47,,,,,
174,11/29/18 03:11:25 PM,,1.48,,,,,
175,11/29/18 03:12:44 PM,,1.49,,,,,
176,11/29/18 03:48:59 PM,54.842,,,,,,
177,11/29/18 04:03:48 PM,,1.50,,,,,
178,11/29/18 04:48:59 PM,52.750,,,,,,
179,11/29/18 04:50:13 PM,,1.51,,,,,
180,11/29/18 05:39:35 PM,,1.52,,,,,
181,11/29/18 05:41:32 PM,,1.53,,,,,
182,11/29/18 05:46:37 PM,,1.54,,,,,
183,11/29/18 05:48:41 PM,,1.55,,,,,
184,11/29/18 05:48:59 PM,52.225,,,,,,
185,11/29/18 05:50:12 PM,,1.56,,,,,
186,11/29/18 05:51:37 PM,,1.57,,,,,
187,11/29/18 05:53:03 PM,,1.58,,,,,
188,11/29/18 06:18:50 PM,,1.59,,,,,
189,11/29/18 06:36:06 PM,,1.60,,,,,
190,11/29/18 06:48:59 PM,51.699,,,,,,
191,11/29/18 07:19:16 PM,,1.61,,,,,
192,11/29/18 07:48:59 PM,51.346,,,,,,
193,11/29/18 08:39:30 PM,,1.62,,,,,
194,11/29/18 08:48:59 PM,51.172,,,,,,
195,11/29/18 09:10:35 PM,,1.63,,,,,
196,11/29/18 09:12:44 PM,,1.64,,,,,
197,11/29/18 09:14:12 PM,,1.65,,,,,
198,11/29/18 09:48:59 PM,50.819,,,,,,
199,11/29/18 10:48:59 PM,49.937,,,,,,
200,11/29/18 11:48:59 PM,49.937,,,,,,
201,11/29/18 11:56:17 PM,,1.66,,,,,
202,11/30/18 12:48:59 AM,49.759,,,,,,
203,11/30/18 01:48:59 AM,49.050,,,,,,
204,11/30/18 02:48:59 AM,48.517,,,,,,
205,11/30/18 03:48:59 AM,47.982,,,,,,
206,11/30/18 04:48:59 AM,47.982,,,,,,
207,11/30/18 05:48:59 AM,47.446,,,,,,
208,11/30/18 06:48:59 AM,47.624,,,,,,
209,11/30/18 07:48:59 AM,47.802,,,,,,
210,11/30/18 08:48:59 AM,49.582,,,,,,
211,11/30/18 09:48:59 AM,51.523,,,,,,
212,11/30/18 10:48:59 AM,52.925,,,,,,
213,11/30/18 11:48:59 AM,54.495,,,,,,
214,11/30/18 12:48:59 PM,58.820,,,,,,
215,11/30/18 01:48:59 PM,55.884,,,,,,
216,11/30/18 02:48:59 PM,53.798,,,,,,
217,11/30/18 03:48:59 PM,52.050,,,,,,
218,11/30/18 04:48:59 PM,49.937,,,,,,
219,11/30/18 05:48:59 PM,47.624,,,,,,
220,11/30/18 06:48:59 PM,46.188,,,,,,
221,11/30/18 07:48:59 PM,45.648,,,,,,
222,11/30/18 08:48:59 PM,45.104,,,,,,
223,11/30/18 09:48:59 PM,44.742,,,,,,
224,11/30/18 10:48:59 PM,44.379,,,,,,
225,11/30/18 11:48:59 PM,44.013,,,,,,
226,12/01/18 12:48:59 AM,43.831,,,,,,
227,12/01/18 01:48:59 AM,44.013,,,,,,
228,12/01/18 02:48:59 AM,44.922,,,,,,
229,12/01/18 03:48:59 AM,46.369,,,,,,
230,12/01/18 04:48:59 AM,47.624,,,,,,
231,12/01/18 05:48:59 AM,48.339,,,,,,
232,12/01/18 06:48:59 AM,49.228,,,,,,
233,12/01/18 07:48:59 AM,50.643,,,,,,
234,12/01/18 08:48:59 AM,52.225,,,,,,
235,12/01/18 09:48:59 AM,53.798,,,,,,
236,12/01/18 10:48:59 AM,55.884,,,,,,
237,12/01/18 10:52:53 AM,,1.67,,,,,
238,12/01/18 10:53:13 AM,,1.68,,,,,
239,12/01/18 10:53:24 AM,,1.69,,,,,
240,12/01/18 10:53:44 AM,,1.70,,,,,
241,12/01/18 10:54:03 AM,,1.71,,,,,
242,12/01/18 10:54:55 AM,,1.72,,,,,
243,12/01/18 10:56:19 AM,,1.73,,,,,
244,12/01/18 10:57:57 AM,,1.74,,,,,
245,12/01/18 10:59:53 AM,,1.75,,,,,
246,12/01/18 11:05:06 AM,,1.76,,,,,
247,12/01/18 11:14:10 AM,,1.77,,,,,
248,12/01/18 11:48:59 AM,53.100,,,,,,
249,12/01/18 12:48:59 PM,53.973,,,,,,
250,12/01/18 01:48:59 PM,53.274,,,,,,
251,12/01/18 02:48:59 PM,51.874,,,,,,
252,12/01/18 03:48:59 PM,49.228,,,,,,
253,12/01/18 04:48:59 PM,47.802,,,,,,
254,12/01/18 05:31:48 PM,,1.78,,,,,
255,12/01/18 05:33:34 PM,,1.79,,,,,
256,12/01/18 05:48:59 PM,46.548,,,,,,
257,12/01/18 06:27:30 PM,,1.80,,,,,
258,12/01/18 06:33:44 PM,,1.81,,,,,
259,12/01/18 06:48:59 PM,46.188,,,,,,
260,12/01/18 07:48:59 PM,45.466,,,,,,
261,12/01/18 08:48:59 PM,44.560,,,,,,
262,12/01/18 09:48:59 PM,44.195,,,,,,
263,12/01/18 10:48:59 PM,44.195,,,,,,
264,12/01/18 11:48:59 PM,44.013,,,,,,
265,12/02/18 12:48:59 AM,43.648,,,,,,
266,12/02/18 01:48:59 AM,43.282,,,,,,
267,12/02/18 02:48:59 AM,42.915,,,,,,
268,12/02/18 03:48:59 AM,42.732,,,,,,
269,12/02/18 04:48:59 AM,42.363,,,,,,
270,12/02/18 05:48:59 AM,40.881,,,,,,
271,12/02/18 06:48:59 AM,39.947,,,,,,
272,12/02/18 07:48:59 AM,39.573,,,,,,
273,12/02/18 08:48:59 AM,40.696,,,,,,
274,12/02/18 09:48:59 AM,44.922,,,,,,
275,12/02/18 10:48:59 AM,48.339,,,,,,
276,12/02/18 11:48:59 AM,53.798,,,,,,
277,12/02/18 12:48:59 PM,55.711,,,,,,
278,12/02/18 01:48:59 PM,52.925,,,,,,
279,12/02/18 02:48:59 PM,53.973,,,,,,
280,12/02/18 03:48:59 PM,51.874,,,,,,
281,12/02/18 04:48:59 PM,48.517,,,,,,
282,12/02/18 05:48:59 PM,46.548,,,,,,
283,12/02/18 06:48:59 PM,45.828,,,,,,
284,12/02/18 07:48:59 PM,44.742,,,,,,
285,12/02/18 08:48:59 PM,44.379,,,,,,
286,12/02/18 09:48:59 PM,43.282,,,,,,
287,12/02/18 10:48:59 PM,42.548,,,,,,
288,12/02/18 11:48:59 PM,41.994,,,,,,
289,12/03/18 12:48:59 AM,42.915,,,,,,
290,12/03/18 01:48:59 AM,43.466,,,,,,
291,12/03/18 02:48:59 AM,43.831,,,,,,
292,12/03/18 03:48:59 AM,44.560,,,,,,
293,12/03/18 04:48:59 AM,44.379,,,,,,
294,12/03/18 05:48:59 AM,44.013,,,,,,
295,12/03/18 06:48:59 AM,42.915,,,,,,
296,12/03/18 07:48:59 AM,42.548,,,,,,
297,12/03/18 08:48:59 AM,43.648,,,,,,
298,12/03/18 09:48:59 AM,46.188,,,,,,
299,12/03/18 10:48:59 AM,49.937,,,,,,
300,12/03/18 11:48:59 AM,58.131,,,,,,
301,12/03/18 12:48:59 PM,59.508,,,,,,
302,12/03/18 01:48:59 PM,55.537,,,,,,
303,12/03/18 02:48:59 PM,54.147,,,,,,
304,12/03/18 03:48:59 PM,52.576,,,,,,
305,12/03/18 04:48:59 PM,49.228,,,,,,
306,12/03/18 05:48:59 PM,47.088,,,,,,
307,12/03/18 06:48:59 PM,47.088,,,,,,
308,12/03/18 07:48:59 PM,47.266,,,,,,
309,12/03/18 08:48:59 PM,47.982,,,,,,
310,12/03/18 09:48:59 PM,49.404,,,,,,
311,12/03/18 10:48:59 PM,49.228,,,,,,
312,12/03/18 11:48:59 PM,49.050,,,,,,
313,12/04/18 12:48:59 AM,48.871,,,,,,
314,12/04/18 01:48:59 AM,49.582,,,,,,
315,12/04/18 02:48:59 AM,48.517,,,,,,
316,12/04/18 03:48:59 AM,47.982,,,,,,
317,12/04/18 04:48:59 AM,47.802,,,,,,
318,12/04/18 05:48:59 AM,47.802,,,,,,
319,12/04/18 06:48:59 AM,47.802,,,,,,
320,12/04/18 07:48:59 AM,47.982,,,,,,
321,12/04/18 08:48:59 AM,49.228,,,,,,
322,12/04/18 09:48:59 AM,51.874,,,,,,
323,12/04/18 10:48:59 AM,52.401,,,,,,
324,12/04/18 11:48:59 AM,52.225,,,,,,
