"Plot Title: Landing"
"#","Date Time, GMT-07:00","Event, inches (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Detached (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Attached (LGR S/N: 9668993, SEN S/N: 9668993)","End Of File (LGR S/N: 9668993, SEN S/N: 9668993)"
1,02/11/14 05:08:05 PM,0.00,,,
2,02/11/14 05:09:52 PM,,Logged,,
3,02/15/14 11:01:29 PM,0.01,,,
4,02/15/14 11:17:24 PM,0.02,,,
5,02/15/14 11:23:17 PM,0.03,,,
6,02/15/14 11:47:46 PM,0.04,,,
7,02/16/14 12:25:43 AM,0.05,,,
8,02/16/14 01:11:51 AM,0.06,,,
9,02/16/14 01:11:52 AM,0.07,,,
10,02/16/14 01:18:57 AM,0.08,,,
11,02/16/14 01:18:58 AM,0.09,,,
12,02/16/14 01:27:30 AM,0.10,,,
13,02/16/14 01:34:23 AM,0.11,,,
14,02/16/14 01:34:24 AM,0.12,,,
15,02/16/14 02:04:11 AM,0.13,,,
16,02/16/14 02:10:29 AM,0.14,,,
17,02/16/14 02:26:34 AM,0.15,,,
18,02/16/14 02:57:05 AM,0.16,,,
19,02/16/14 03:50:16 AM,0.17,,,
20,02/16/14 05:07:26 AM,0.18,,,
21,02/18/14 04:07:08 PM,0.18,,Logged,Logged
