"Plot Title: Landing Rain Gage"
"#","Date Time, GMT-07:00","Batt, V (LGR S/N: 9668993, SEN S/N: 9668993)","Event, units (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Attached (LGR S/N: 9668993, SEN S/N: 9668993)","Stopped (LGR S/N: 9668993, SEN S/N: 9668993)","End Of File (LGR S/N: 9668993, SEN S/N: 9668993)"
1,06/22/10 10:39:06 AM,3.01,0.00,,,
2,06/22/10 11:39:06 AM,3.03,,,,
3,06/22/10 12:39:06 PM,3.01,,,,
4,06/22/10 01:39:06 PM,3.03,,,,
5,06/22/10 02:39:06 PM,3.03,,,,
6,06/22/10 03:39:06 PM,3.05,,,,
7,06/22/10 04:39:06 PM,3.03,,,,
8,06/22/10 05:39:06 PM,3.03,,,,
9,06/22/10 06:39:06 PM,3.03,,,,
10,06/22/10 07:39:06 PM,3.03,,,,
11,06/22/10 08:39:06 PM,3.05,,,,
12,06/22/10 09:39:06 PM,3.03,,,,
13,06/22/10 10:39:06 PM,3.03,,,,
14,06/22/10 11:39:06 PM,3.03,,,,
15,06/23/10 12:39:06 AM,3.03,,,,
16,06/23/10 01:39:06 AM,3.03,,,,
17,06/23/10 02:39:06 AM,3.03,,,,
18,06/23/10 03:39:06 AM,3.03,,,,
19,06/23/10 04:39:06 AM,3.03,,,,
20,06/23/10 05:39:06 AM,3.03,,,,
21,06/23/10 06:39:06 AM,3.05,,,,
22,06/23/10 07:39:06 AM,3.03,,,,
23,06/23/10 08:39:06 AM,3.03,,,,
24,06/23/10 09:39:06 AM,3.03,,,,
25,06/23/10 10:39:06 AM,3.03,,,,
26,06/23/10 11:39:06 AM,3.03,,,,
27,06/23/10 12:39:06 PM,3.03,,,,
28,06/23/10 01:39:06 PM,3.03,,,,
29,06/23/10 02:39:06 PM,3.03,,,,
30,06/23/10 03:39:06 PM,3.03,,,,
31,06/23/10 04:39:06 PM,3.03,,,,
32,06/23/10 05:39:06 PM,3.03,,,,
33,06/23/10 06:39:06 PM,3.03,,,,
34,06/23/10 07:39:06 PM,3.03,,,,
35,06/23/10 08:39:06 PM,3.05,,,,
36,06/23/10 09:39:06 PM,3.03,,,,
37,06/23/10 10:39:06 PM,3.03,,,,
38,06/23/10 11:39:06 PM,3.03,,,,
39,06/24/10 12:39:06 AM,3.03,,,,
40,06/24/10 01:39:06 AM,3.03,,,,
41,06/24/10 02:39:06 AM,3.03,,,,
42,06/24/10 03:39:06 AM,3.03,,,,
43,06/24/10 04:39:06 AM,3.03,,,,
44,06/24/10 05:39:06 AM,3.03,,,,
45,06/24/10 06:39:06 AM,3.03,,,,
46,06/24/10 07:39:06 AM,3.03,,,,
47,06/24/10 08:39:06 AM,3.03,,,,
48,06/24/10 09:39:06 AM,3.03,,,,
49,06/24/10 10:39:06 AM,3.03,,,,
50,06/24/10 11:39:06 AM,3.03,,,,
51,06/24/10 12:39:06 PM,3.03,,,,
