"Plot Title: Landing"
"#","Date Time, GMT-07:00","Event, inches (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Detached (LGR S/N: 9668993, SEN S/N: 9668993)","Good Battery (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Attached (LGR S/N: 9668993, SEN S/N: 9668993)","End Of File (LGR S/N: 9668993, SEN S/N: 9668993)"
1,06/17/13 10:32:34 AM,0.00,,,,
2,06/17/13 10:32:44 AM,,Logged,,,
3,06/17/13 06:29:28 PM,,,Logged,,
4,06/24/13 01:58:40 AM,0.01,,,,
5,06/24/13 06:37:20 AM,0.02,,,,
6,06/24/13 08:03:25 AM,0.03,,,,
7,06/24/13 08:32:14 AM,0.04,,,,
8,06/24/13 03:22:44 PM,0.05,,,,
9,06/24/13 05:33:14 PM,0.06,,,,
10,06/25/13 03:00:25 AM,0.07,,,,
11,06/25/13 03:28:02 AM,0.08,,,,
12,06/25/13 03:41:51 AM,0.09,,,,
13,06/25/13 04:22:37 AM,0.10,,,,
14,06/25/13 04:35:25 AM,0.11,,,,
15,06/25/13 05:22:00 AM,0.12,,,,
16,06/25/13 06:53:38 AM,0.13,,,,
17,06/25/13 07:22:42 AM,0.14,,,,
18,06/25/13 08:50:53 AM,0.15,,,,
19,06/25/13 10:30:04 AM,0.16,,,,
20,06/25/13 11:20:59 AM,0.17,,,,
21,06/25/13 11:44:58 AM,0.18,,,,
22,06/25/13 12:01:17 PM,0.19,,,,
23,06/25/13 12:23:20 PM,0.20,,,,
24,06/25/13 12:44:12 PM,0.21,,,,
25,06/25/13 12:59:41 PM,0.22,,,,
26,06/25/13 01:08:51 PM,0.23,,,,
27,06/25/13 01:22:53 PM,0.24,,,,
28,06/25/13 01:31:28 PM,0.25,,,,
29,06/25/13 01:40:14 PM,0.26,,,,
30,06/25/13 01:46:53 PM,0.27,,,,
31,06/25/13 02:00:46 PM,0.28,,,,
32,06/25/13 02:26:42 PM,0.29,,,,
33,06/25/13 03:00:40 PM,0.30,,,,
34,06/25/13 03:30:17 PM,0.31,,,,
35,07/02/13 03:26:48 PM,0.31,,,Logged,Logged
