"Plot Title: RLNF"
"#","Date Time, GMT-07:00","Ext. Line Event (LGR S/N: 10592085, SEN S/N: 10592085)","End Of File (LGR S/N: 10592085, SEN S/N: 10592085)"
1,06/30/16 10:20:22 AM,0.00,
2,06/30/16 10:20:37 AM,0.00,Logged
