"Plot Title: RLSM"
"#","Date Time, GMT-07:00","Event, units (LGR S/N: 10592084, SEN S/N: 10592084, LBL: RLSM)","End Of File (LGR S/N: 10592084, SEN S/N: 10592084)"
1,09/16/15 11:10:33 AM,,Logged
2,09/16/15 11:46:27 AM,0.00,
3,09/16/15 11:10:33 AM,0.00,
