"Plot Title: Range"
"#","Date Time, GMT-07:00","Event, units (LGR S/N: 20309219, SEN S/N: 20309219)","Coupler Attached (LGR S/N: 20309219, SEN S/N: 20309219)","Host Connected (LGR S/N: 20309219, SEN S/N: 20309219)","End Of File (LGR S/N: 20309219, SEN S/N: 20309219)"
1,03/27/19 11:00:00 AM,0.00,,,
2,03/27/19 11:01:44 AM,0.01,,,
3,03/27/19 11:03:40 AM,0.02,,,
4,03/27/19 11:47:08 AM,0.03,,,
5,03/27/19 11:53:40 AM,0.04,,,
6,03/27/19 11:54:40 AM,0.05,,,
7,03/28/19 02:16:40 AM,0.06,,,
8,03/29/19 05:01:42 AM,0.07,,,
9,04/01/19 04:40:30 PM,0.08,,,
10,04/01/19 09:25:41 PM,0.09,,,
11,04/01/19 09:29:06 PM,0.10,,,
12,04/01/19 09:41:14 PM,0.11,,,
13,04/02/19 04:26:28 AM,0.12,,,
14,04/02/19 04:34:42 AM,0.13,,,
15,04/02/19 04:36:56 AM,0.14,,,
16,04/02/19 04:42:19 AM,0.15,,,
17,04/02/19 04:45:38 AM,0.16,,,
18,04/02/19 04:59:38 AM,0.17,,,
19,04/02/19 05:10:06 AM,0.18,,,
20,04/02/19 05:12:37 AM,0.19,,,
21,04/02/19 05:15:10 AM,0.20,,,
22,04/02/19 05:18:17 AM,0.21,,,
23,04/02/19 05:22:25 AM,0.22,,,
24,04/02/19 05:27:10 AM,0.23,,,
25,04/02/19 05:31:25 AM,0.24,,,
26,04/02/19 05:54:07 AM,0.25,,,
27,04/02/19 05:56:39 AM,0.26,,,
28,04/02/19 05:59:06 AM,0.27,,,
29,04/02/19 06:02:15 AM,0.28,,,
30,04/02/19 06:07:36 AM,0.29,,,
31,04/02/19 06:20:59 AM,0.30,,,
32,04/02/19 06:29:52 AM,0.31,,,
33,04/02/19 06:31:53 AM,0.32,,,
34,04/02/19 06:34:35 AM,0.33,,,
35,04/02/19 06:37:58 AM,0.34,,,
36,04/02/19 06:44:30 AM,0.35,,,
37,04/02/19 07:13:09 AM,0.36,,,
38,04/02/19 08:40:08 AM,0.37,,,
39,04/02/19 08:53:27 AM,0.38,,,
40,04/02/19 09:38:03 AM,0.39,,,
41,04/02/19 10:19:26 AM,0.40,,,
42,04/02/19 06:46:29 PM,0.41,,,
43,04/02/19 06:53:39 PM,0.42,,,
44,04/02/19 07:11:32 PM,0.43,,,
45,04/02/19 07:19:17 PM,0.44,,,
46,04/02/19 07:40:56 PM,0.45,,,
47,04/02/19 08:00:21 PM,0.46,,,
48,04/02/19 08:05:40 PM,0.47,,,
49,04/02/19 08:11:09 PM,0.48,,,
50,04/02/19 08:23:07 PM,0.49,,,
51,04/02/19 08:37:26 PM,0.50,,,
52,04/02/19 08:46:41 PM,0.51,,,
53,04/02/19 10:02:44 PM,0.52,,,
54,04/02/19 10:31:43 PM,0.53,,,
55,04/03/19 12:24:38 AM,0.54,,,
56,04/03/19 12:28:07 AM,0.55,,,
57,04/03/19 12:33:29 AM,0.56,,,
58,04/03/19 12:38:43 AM,0.57,,,
59,04/03/19 12:46:52 AM,0.58,,,
60,04/03/19 03:14:57 AM,0.59,,,
61,04/03/19 04:07:53 AM,0.60,,,
62,04/03/19 04:19:18 AM,0.61,,,
63,04/03/19 04:27:04 AM,0.62,,,
64,04/03/19 07:14:17 AM,0.63,,,
65,04/03/19 07:34:22 AM,0.64,,,
66,04/03/19 01:57:20 PM,,Logged,,
67,04/03/19 01:57:32 PM,,,Logged,
68,04/03/19 01:57:46 PM,0.64,,,Logged
