"Plot Title: UNF"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 9668993, SEN S/N: 9668993)","Event, inches (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Detached (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Attached (LGR S/N: 9668993, SEN S/N: 9668993)","Host Connected (LGR S/N: 9668993, SEN S/N: 9668993)","Stopped (LGR S/N: 9668993, SEN S/N: 9668993)","End Of File (LGR S/N: 9668993, SEN S/N: 9668993)"
110,03/01/18 03:45:22 AM,,0.69,,,,,
111,03/01/18 03:46:58 AM,,0.70,,,,,
112,03/01/18 03:47:58 AM,,0.71,,,,,
113,03/01/18 03:48:39 AM,,0.72,,,,,
114,03/01/18 03:51:18 AM,,0.73,,,,,
115,03/01/18 03:53:17 AM,,0.74,,,,,
116,03/01/18 03:55:27 AM,,0.75,,,,,
117,03/01/18 03:57:10 AM,,0.76,,,,,
118,03/01/18 03:59:03 AM,,0.77,,,,,
119,03/01/18 03:59:45 AM,,0.78,,,,,
120,03/01/18 04:00:58 AM,,0.79,,,,,
121,03/01/18 04:02:28 AM,,0.80,,,,,
122,03/01/18 04:05:01 AM,,0.81,,,,,
123,03/01/18 04:06:54 AM,,0.82,,,,,
124,03/01/18 04:09:46 AM,,0.83,,,,,
125,03/01/18 04:13:07 AM,,0.84,,,,,
126,03/01/18 04:28:27 AM,,0.85,,,,,
127,03/01/18 04:39:30 AM,49.582,,,,,,
128,03/01/18 04:41:30 AM,,0.86,,,,,
129,03/01/18 04:54:27 AM,,0.87,,,,,
130,03/01/18 05:00:40 AM,,0.88,,,,,
131,03/01/18 05:07:05 AM,,0.89,,,,,
132,03/01/18 05:10:16 AM,,0.90,,,,,
133,03/01/18 05:12:31 AM,,0.91,,,,,
134,03/01/18 05:15:22 AM,,0.92,,,,,
135,03/01/18 05:18:05 AM,,0.93,,,,,
136,03/01/18 05:19:52 AM,,0.94,,,,,
137,03/01/18 05:21:25 AM,,0.95,,,,,
138,03/01/18 05:22:33 AM,,0.96,,,,,
139,03/01/18 05:23:59 AM,,0.97,,,,,
140,03/01/18 05:24:51 AM,,0.98,,,,,
141,03/01/18 05:25:53 AM,,0.99,,,,,
142,03/01/18 05:26:38 AM,,1.00,,,,,
143,03/01/18 05:27:40 AM,,1.01,,,,,
144,03/01/18 05:28:38 AM,,1.02,,,,,
145,03/01/18 05:30:24 AM,,1.03,,,,,
146,03/01/18 05:31:37 AM,,1.04,,,,,
147,03/01/18 05:33:12 AM,,1.05,,,,,
148,03/01/18 05:34:42 AM,,1.06,,,,,
149,03/01/18 05:39:27 AM,,1.07,,,,,
150,03/01/18 05:39:30 AM,49.759,,,,,,
151,03/01/18 05:44:44 AM,,1.08,,,,,
