"Plot Title: UNF"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 9668993, SEN S/N: 9668993)","Event, inches (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Detached (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Attached (LGR S/N: 9668993, SEN S/N: 9668993)","Host Connected (LGR S/N: 9668993, SEN S/N: 9668993)","End Of File (LGR S/N: 9668993, SEN S/N: 9668993)"
115,03/21/18 07:42:08 AM,,0.93,,,,
116,03/21/18 07:46:59 AM,,0.94,,,,
117,03/21/18 07:50:13 AM,,0.95,,,,
118,03/21/18 08:00:14 AM,,0.96,,,,
119,03/21/18 08:04:03 AM,,0.97,,,,
120,03/21/18 08:04:48 AM,53.973,,,,,
121,03/21/18 08:05:30 AM,,0.98,,,,
122,03/21/18 08:06:34 AM,,0.99,,,,
123,03/21/18 08:07:50 AM,,1.00,,,,
124,03/21/18 08:14:47 AM,,1.01,,,,
125,03/21/18 08:20:06 AM,,1.02,,,,
126,03/21/18 08:24:56 AM,,1.03,,,,
127,03/21/18 08:31:39 AM,,1.04,,,,
128,03/21/18 08:38:49 AM,,1.05,,,,
129,03/21/18 08:42:04 AM,,1.06,,,,
130,03/21/18 08:45:26 AM,,1.07,,,,
131,03/21/18 08:49:42 AM,,1.08,,,,
132,03/21/18 08:52:07 AM,,1.09,,,,
133,03/21/18 08:56:17 AM,,1.10,,,,
134,03/21/18 08:57:47 AM,,1.11,,,,
135,03/21/18 08:58:54 AM,,1.12,,,,
136,03/21/18 09:00:04 AM,,1.13,,,,
137,03/21/18 09:01:45 AM,,1.14,,,,
138,03/21/18 09:04:36 AM,,1.15,,,,
139,03/21/18 09:04:48 AM,54.842,,,,,
140,03/21/18 09:07:21 AM,,1.16,,,,
141,03/21/18 09:10:39 AM,,1.17,,,,
142,03/21/18 09:14:47 AM,,1.18,,,,
143,03/21/18 09:19:58 AM,,1.19,,,,
144,03/21/18 09:25:01 AM,,1.20,,,,
145,03/21/18 09:32:27 AM,,1.21,,,,
146,03/21/18 09:37:07 AM,,1.22,,,,
147,03/21/18 09:43:29 AM,,1.23,,,,
148,03/21/18 09:47:27 AM,,1.24,,,,
149,03/21/18 09:49:37 AM,,1.25,,,,
150,03/21/18 09:51:50 AM,,1.26,,,,
151,03/21/18 09:55:00 AM,,1.27,,,,
152,03/21/18 09:57:19 AM,,1.28,,,,
153,03/21/18 10:00:43 AM,,1.29,,,,
154,03/21/18 10:02:58 AM,,1.30,,,,
155,03/21/18 10:04:48 AM,55.364,,,,,
156,03/21/18 10:06:16 AM,,1.31,,,,
157,03/21/18 10:09:19 AM,,1.32,,,,
158,03/21/18 10:12:54 AM,,1.33,,,,
159,03/21/18 10:14:48 AM,,1.34,,,,
160,03/21/18 10:16:52 AM,,1.35,,,,
161,03/21/18 10:19:35 AM,,1.36,,,,
162,03/21/18 10:21:28 AM,,1.37,,,,
163,03/21/18 10:22:13 AM,,1.38,,,,
164,03/21/18 10:23:53 AM,,1.39,,,,
165,03/21/18 10:24:39 AM,,1.40,,,,
166,03/21/18 10:26:51 AM,,1.41,,,,
167,03/21/18 10:27:49 AM,,1.42,,,,
168,03/21/18 10:30:33 AM,,1.43,,,,
169,03/21/18 10:33:09 AM,,1.44,,,,
170,03/21/18 10:34:00 AM,,1.45,,,,
171,03/21/18 10:34:55 AM,,1.46,,,,
172,03/21/18 10:36:15 AM,,1.47,,,,
173,03/21/18 10:37:39 AM,,1.48,,,,
174,03/21/18 10:39:47 AM,,1.49,,,,
175,03/21/18 10:40:52 AM,,1.50,,,,
176,03/21/18 10:41:39 AM,,1.51,,,,
177,03/21/18 10:43:08 AM,,1.52,,,,
178,03/21/18 10:46:10 AM,,1.53,,,,
179,03/21/18 11:04:48 AM,55.364,,,,,
180,03/21/18 12:04:48 PM,55.189,,,,,
181,03/21/18 01:04:48 PM,55.537,,,,,
182,03/21/18 02:04:48 PM,56.057,,,,,
183,03/21/18 03:04:48 PM,55.537,,,,,
184,03/21/18 04:04:48 PM,55.711,,,,,
185,03/21/18 05:04:48 PM,55.711,,,,,
186,03/21/18 06:04:48 PM,55.537,,,,,
187,03/21/18 07:04:48 PM,55.364,,,,,
188,03/21/18 08:04:48 PM,55.189,,,,,
189,03/21/18 09:04:48 PM,55.189,,,,,
190,03/21/18 10:04:48 PM,55.017,,,,,
191,03/21/18 10:10:05 PM,,1.54,,,,
192,03/21/18 10:30:36 PM,,1.55,,,,
193,03/21/18 10:42:57 PM,,1.56,,,,
194,03/21/18 10:59:10 PM,,1.57,,,,
195,03/21/18 11:04:48 PM,54.842,,,,,
196,03/21/18 11:10:07 PM,,1.58,,,,
197,03/21/18 11:27:16 PM,,1.59,,,,
198,03/21/18 11:38:37 PM,,1.60,,,,
199,03/21/18 11:49:53 PM,,1.61,,,,
200,03/21/18 11:54:37 PM,,1.62,,,,
201,03/21/18 11:59:10 PM,,1.63,,,,
202,03/22/18 12:02:44 AM,,1.64,,,,
203,03/22/18 12:04:48 AM,55.189,,,,,
204,03/22/18 12:08:27 AM,,1.65,,,,
205,03/22/18 12:13:37 AM,,1.66,,,,
206,03/22/18 12:22:37 AM,,1.67,,,,
207,03/22/18 12:30:59 AM,,1.68,,,,
208,03/22/18 12:38:08 AM,,1.69,,,,
209,03/22/18 12:46:15 AM,,1.70,,,,
210,03/22/18 12:52:55 AM,,1.71,,,,
211,03/22/18 01:01:37 AM,,1.72,,,,
212,03/22/18 01:04:48 AM,54.842,,,,,
213,03/22/18 01:14:05 AM,,1.73,,,,
214,03/22/18 01:21:56 AM,,1.74,,,,
215,03/22/18 01:30:22 AM,,1.75,,,,
216,03/22/18 01:40:22 AM,,1.76,,,,
217,03/22/18 01:45:51 AM,,1.77,,,,
218,03/22/18 02:02:36 AM,,1.78,,,,
219,03/22/18 02:04:48 AM,54.842,,,,,
220,03/22/18 02:14:39 AM,,1.79,,,,
221,03/22/18 02:31:45 AM,,1.80,,,,
222,03/22/18 02:42:19 AM,,1.81,,,,
223,03/22/18 02:49:30 AM,,1.82,,,,
224,03/22/18 02:55:27 AM,,1.83,,,,
225,03/22/18 02:59:22 AM,,1.84,,,,
226,03/22/18 03:03:53 AM,,1.85,,,,
227,03/22/18 03:04:48 AM,54.495,,,,,
228,03/22/18 03:07:04 AM,,1.86,,,,
229,03/22/18 03:10:03 AM,,1.87,,,,
230,03/22/18 03:11:44 AM,,1.88,,,,
231,03/22/18 03:13:19 AM,,1.89,,,,
232,03/22/18 03:15:56 AM,,1.90,,,,
233,03/22/18 03:18:34 AM,,1.91,,,,
234,03/22/18 03:20:40 AM,,1.92,,,,
235,03/22/18 03:23:02 AM,,1.93,,,,
236,03/22/18 03:24:59 AM,,1.94,,,,
237,03/22/18 03:26:14 AM,,1.95,,,,
238,03/22/18 03:27:09 AM,,1.96,,,,
239,03/22/18 03:28:03 AM,,1.97,,,,
240,03/22/18 03:29:17 AM,,1.98,,,,
241,03/22/18 03:30:21 AM,,1.99,,,,
242,03/22/18 03:31:40 AM,,2.00,,,,
243,03/22/18 03:33:58 AM,,2.01,,,,
244,03/22/18 03:35:42 AM,,2.02,,,,
245,03/22/18 03:38:00 AM,,2.03,,,,
246,03/22/18 03:39:43 AM,,2.04,,,,
247,03/22/18 03:41:38 AM,,2.05,,,,
248,03/22/18 03:42:59 AM,,2.06,,,,
249,03/22/18 03:45:38 AM,,2.07,,,,
250,03/22/18 03:48:47 AM,,2.08,,,,
251,03/22/18 03:52:32 AM,,2.09,,,,
252,03/22/18 03:55:28 AM,,2.10,,,,
253,03/22/18 03:59:18 AM,,2.11,,,,
254,03/22/18 04:02:33 AM,,2.12,,,,
255,03/22/18 04:04:48 AM,54.495,,,,,
256,03/22/18 04:06:13 AM,,2.13,,,,
257,03/22/18 04:09:09 AM,,2.14,,,,
258,03/22/18 04:11:49 AM,,2.15,,,,
259,03/22/18 04:14:05 AM,,2.16,,,,
260,03/22/18 04:15:40 AM,,2.17,,,,
261,03/22/18 04:17:16 AM,,2.18,,,,
262,03/22/18 04:18:56 AM,,2.19,,,,
263,03/22/18 04:20:36 AM,,2.20,,,,
264,03/22/18 04:22:53 AM,,2.21,,,,
265,03/22/18 04:25:07 AM,,2.22,,,,
266,03/22/18 04:28:19 AM,,2.23,,,,
267,03/22/18 04:30:50 AM,,2.24,,,,
268,03/22/18 04:33:15 AM,,2.25,,,,
269,03/22/18 04:35:44 AM,,2.26,,,,
270,03/22/18 04:39:57 AM,,2.27,,,,
271,03/22/18 04:42:14 AM,,2.28,,,,
272,03/22/18 04:44:21 AM,,2.29,,,,
273,03/22/18 04:47:22 AM,,2.30,,,,
274,03/22/18 04:49:07 AM,,2.31,,,,
275,03/22/18 04:50:54 AM,,2.32,,,,
276,03/22/18 04:52:32 AM,,2.33,,,,
277,03/22/18 04:54:04 AM,,2.34,,,,
278,03/22/18 04:55:44 AM,,2.35,,,,
279,03/22/18 04:56:41 AM,,2.36,,,,
280,03/22/18 04:57:47 AM,,2.37,,,,
281,03/22/18 04:58:38 AM,,2.38,,,,
282,03/22/18 04:59:28 AM,,2.39,,,,
283,03/22/18 05:00:18 AM,,2.40,,,,
284,03/22/18 05:01:19 AM,,2.41,,,,
285,03/22/18 05:02:26 AM,,2.42,,,,
286,03/22/18 05:03:58 AM,,2.43,,,,
287,03/22/18 05:04:48 AM,54.495,,,,,
288,03/22/18 05:05:52 AM,,2.44,,,,
289,03/22/18 05:08:29 AM,,2.45,,,,
290,03/22/18 05:10:10 AM,,2.46,,,,
291,03/22/18 05:11:55 AM,,2.47,,,,
292,03/22/18 05:13:56 AM,,2.48,,,,
293,03/22/18 05:16:10 AM,,2.49,,,,
294,03/22/18 05:17:59 AM,,2.50,,,,
295,03/22/18 05:19:30 AM,,2.51,,,,
296,03/22/18 05:21:14 AM,,2.52,,,,
297,03/22/18 05:22:45 AM,,2.53,,,,
298,03/22/18 05:24:08 AM,,2.54,,,,
299,03/22/18 05:25:20 AM,,2.55,,,,
300,03/22/18 05:26:12 AM,,2.56,,,,
301,03/22/18 05:28:03 AM,,2.57,,,,
302,03/22/18 05:29:26 AM,,2.58,,,,
303,03/22/18 05:30:48 AM,,2.59,,,,
304,03/22/18 05:31:44 AM,,2.60,,,,
305,03/22/18 05:32:31 AM,,2.61,,,,
306,03/22/18 05:33:36 AM,,2.62,,,,
307,03/22/18 05:35:56 AM,,2.63,,,,
308,03/22/18 05:38:54 AM,,2.64,,,,
309,03/22/18 05:40:36 AM,,2.65,,,,
310,03/22/18 05:42:05 AM,,2.66,,,,
311,03/22/18 05:44:26 AM,,2.67,,,,
312,03/22/18 05:47:03 AM,,2.68,,,,
313,03/22/18 05:49:03 AM,,2.69,,,,
