"Plot Title: 10592087"
"#","Date Time, GMT-07:00","Event, inches (LGR S/N: 10592087, SEN S/N: 10592087)","Coupler Attached (LGR S/N: 10592087, SEN S/N: 10592087)","End Of File (LGR S/N: 10592087, SEN S/N: 10592087)"
1,10/20/14 09:16:57 AM,0.00,,
2,10/20/14 11:20:29 AM,0.01,,
3,10/25/14 05:55:23 AM,0.02,,
4,10/25/14 06:02:47 AM,0.03,,
5,10/25/14 06:06:23 AM,0.04,,
6,10/25/14 06:12:53 AM,0.05,,
7,10/25/14 06:14:42 AM,0.06,,
8,10/25/14 06:17:55 AM,0.07,,
9,10/25/14 06:24:32 AM,0.08,,
10,10/25/14 06:30:15 AM,0.09,,
11,10/25/14 06:33:58 AM,0.10,,
12,10/25/14 06:35:44 AM,0.11,,
13,10/25/14 06:40:52 AM,0.12,,
14,10/25/14 06:40:53 AM,0.13,,
15,10/25/14 06:47:10 AM,0.14,,
16,10/25/14 07:03:10 AM,0.15,,
17,10/25/14 07:16:48 AM,0.16,,
18,10/25/14 07:27:55 AM,0.17,,
19,10/25/14 07:30:25 AM,0.18,,
20,10/25/14 07:34:38 AM,0.19,,
21,10/25/14 07:49:00 AM,0.20,,
22,10/25/14 07:57:33 AM,0.21,,
23,10/25/14 08:03:34 AM,0.22,,
24,10/25/14 08:40:22 AM,0.23,,
25,10/25/14 08:52:01 AM,0.24,,
26,10/28/14 09:08:11 AM,0.24,Logged,Logged
