"Plot Title: LQC"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 10592080, SEN S/N: 10592080)","Event, units (LGR S/N: 10592080, SEN S/N: 10592080)","Coupler Detached (LGR S/N: 10592080, SEN S/N: 10592080)","Coupler Attached (LGR S/N: 10592080, SEN S/N: 10592080)","Stopped (LGR S/N: 10592080, SEN S/N: 10592080)","End Of File (LGR S/N: 10592080, SEN S/N: 10592080)"
1,09/07/17 01:49:27 PM,83.935,0.00,,,,
2,09/07/17 01:49:32 PM,,,Logged,,,
3,09/07/17 02:49:27 PM,82.686,,,,,
4,09/07/17 03:49:27 PM,80.206,,,,,
5,09/07/17 04:49:27 PM,74.446,,,,,
6,09/07/17 05:49:27 PM,73.926,,,,,
7,09/07/17 06:49:27 PM,71.168,,,,,
8,09/07/17 07:49:27 PM,65.509,,,,,
9,09/07/17 08:49:27 PM,61.569,,,,,
10,09/07/17 09:49:27 PM,58.303,,,,,
11,09/07/17 10:49:27 PM,56.404,,,,,
12,09/07/17 11:49:27 PM,55.364,,,,,
13,09/08/17 12:49:27 AM,54.669,,,,,
14,09/08/17 01:49:27 AM,54.147,,,,,
15,09/08/17 02:49:27 AM,55.537,,,,,
16,09/08/17 03:49:27 AM,55.711,,,,,
17,09/08/17 04:49:27 AM,53.274,,,,,
18,09/08/17 05:49:27 AM,52.050,,,,,
19,09/08/17 06:49:27 AM,50.995,,,,,
20,09/08/17 07:49:27 AM,52.576,,,,,
21,09/08/17 08:49:27 AM,61.227,,,,,
22,09/08/17 09:49:27 AM,76.876,,,,,
23,09/08/17 10:49:27 AM,79.853,,,,,
24,09/08/17 11:49:27 AM,78.624,,,,,
25,09/08/17 12:49:27 PM,75.832,,,,,
26,09/08/17 01:49:27 PM,79.853,,,,,
27,09/08/17 02:49:27 PM,76.006,,,,,
28,09/08/17 03:49:27 PM,75.484,,,,,
29,09/08/17 04:49:27 PM,73.062,,,,,
30,09/08/17 05:49:27 PM,70.308,,,,,
31,09/08/17 06:49:27 PM,64.825,,,,,
32,09/08/17 07:49:27 PM,63.282,,,,,
33,09/08/17 08:49:27 PM,63.111,,,,,
34,09/08/17 09:49:27 PM,63.282,,,,,
35,09/08/17 10:49:27 PM,63.111,,,,,
36,09/08/17 11:49:27 PM,62.598,,,,,
37,09/09/17 12:49:27 AM,62.083,,,,,
38,09/09/17 01:49:27 AM,62.083,,,,,
39,09/09/17 02:49:27 AM,61.912,,,,,
40,09/09/17 03:49:27 AM,61.398,,,,,
41,09/09/17 04:49:27 AM,61.227,,,,,
42,09/09/17 05:49:27 AM,61.227,,,,,
43,09/09/17 06:49:27 AM,61.227,,,,,
44,09/09/17 07:49:27 AM,61.054,,,,,
45,09/09/17 08:49:27 AM,65.680,,,,,
46,09/09/17 09:49:27 AM,79.151,,,,,
47,09/09/17 10:49:27 AM,73.062,,,,,
48,09/09/17 11:49:27 AM,80.206,,,,,
49,09/09/17 12:49:27 PM,81.797,,,,,
50,09/09/17 01:49:27 PM,78.449,,,,,
51,09/09/17 02:49:27 PM,77.574,,,,,
52,09/09/17 03:49:27 PM,75.139,,,,,
53,09/09/17 04:49:27 PM,73.753,,,,,
54,09/09/17 05:49:27 PM,67.221,,,,,
55,09/09/17 06:49:27 PM,64.996,,,,,
56,09/09/17 07:49:27 PM,61.054,,,,,
57,09/09/17 08:49:27 PM,58.303,,,,,
58,09/09/17 09:49:27 PM,56.750,,,,,
59,09/09/17 10:49:27 PM,60.024,,,,,
60,09/09/17 11:49:27 PM,60.712,,,,,
61,09/10/17 12:49:27 AM,60.368,,,,,
62,09/10/17 01:49:27 AM,59.337,,,,,
63,09/10/17 02:49:27 AM,55.884,,,,,
64,09/10/17 03:49:27 AM,54.495,,,,,
65,09/10/17 04:49:27 AM,53.100,,,,,
66,09/10/17 05:49:27 AM,52.750,,,,,
