"Plot Title: HS"
"#","Date Time, GMT-07:00","Event, units (LGR S/N: 9668992, SEN S/N: 9668992)","Coupler Detached (LGR S/N: 9668992, SEN S/N: 9668992)","Coupler Attached (LGR S/N: 9668992, SEN S/N: 9668992)","Stopped (LGR S/N: 9668992, SEN S/N: 9668992)","End Of File (LGR S/N: 9668992, SEN S/N: 9668992)"
1,12/21/10 12:01:54 PM,0.00,,,,
2,12/21/10 12:02:04 PM,,Logged,,,
3,12/21/10 07:17:15 PM,0.01,,,,
4,12/21/10 07:39:25 PM,0.02,,,,
5,12/21/10 07:44:09 PM,0.03,,,,
6,12/21/10 07:51:39 PM,0.04,,,,
7,12/21/10 08:01:48 PM,0.05,,,,
8,12/21/10 08:06:04 PM,0.06,,,,
9,12/21/10 08:10:59 PM,0.07,,,,
10,12/21/10 08:13:37 PM,0.08,,,,
11,12/21/10 08:16:42 PM,0.09,,,,
12,12/21/10 08:18:49 PM,0.10,,,,
13,12/21/10 08:22:04 PM,0.11,,,,
14,12/21/10 08:26:18 PM,0.12,,,,
15,12/21/10 08:38:08 PM,0.13,,,,
16,12/21/10 08:45:15 PM,0.14,,,,
17,12/21/10 08:50:12 PM,0.15,,,,
18,12/21/10 08:50:52 PM,0.16,,,,
19,12/21/10 08:51:58 PM,0.17,,,,
20,12/21/10 08:53:14 PM,0.18,,,,
21,12/21/10 08:54:51 PM,0.19,,,,
22,12/21/10 08:55:54 PM,0.20,,,,
23,12/21/10 08:57:22 PM,0.21,,,,
24,12/21/10 08:58:50 PM,0.22,,,,
25,12/21/10 09:00:58 PM,0.23,,,,
26,12/21/10 09:03:46 PM,0.24,,,,
27,12/21/10 09:05:58 PM,0.25,,,,
28,12/21/10 09:08:38 PM,0.26,,,,
29,12/21/10 09:11:37 PM,0.27,,,,
30,12/21/10 09:14:56 PM,0.28,,,,
31,12/21/10 09:18:44 PM,0.29,,,,
32,12/21/10 09:22:17 PM,0.30,,,,
33,12/21/10 09:26:08 PM,0.31,,,,
34,12/21/10 09:28:53 PM,0.32,,,,
35,12/21/10 09:32:16 PM,0.33,,,,
36,12/21/10 09:36:33 PM,0.34,,,,
37,12/21/10 09:40:51 PM,0.35,,,,
38,12/21/10 09:43:47 PM,0.36,,,,
39,12/21/10 09:47:35 PM,0.37,,,,
40,12/21/10 09:51:44 PM,0.38,,,,
41,12/21/10 09:55:36 PM,0.39,,,,
42,12/21/10 09:59:27 PM,0.40,,,,
43,12/21/10 10:04:46 PM,0.41,,,,
44,12/21/10 10:09:42 PM,0.42,,,,
45,12/21/10 10:15:33 PM,0.43,,,,
46,12/21/10 10:20:26 PM,0.44,,,,
