"Plot Title: UQC"
"#","Date Time, GMT-08:00","Event, inches (LGR S/N: 10592087, SEN S/N: 10592087)","Coupler Attached (LGR S/N: 10592087, SEN S/N: 10592087)","Stopped (LGR S/N: 10592087, SEN S/N: 10592087)","End Of File (LGR S/N: 10592087, SEN S/N: 10592087)"
127,11/30/14 08:06:23 AM,1.26,,,
128,11/30/14 08:10:13 AM,1.27,,,
129,11/30/14 08:12:38 AM,1.28,,,
130,11/30/14 08:16:42 AM,1.29,,,
131,11/30/14 08:26:20 AM,1.30,,,
132,11/30/14 08:44:13 AM,1.31,,,
133,11/30/14 08:57:56 AM,1.32,,,
134,11/30/14 09:00:33 AM,1.33,,,
135,11/30/14 09:04:03 AM,1.34,,,
136,11/30/14 09:07:22 AM,1.35,,,
137,11/30/14 09:13:21 AM,1.36,,,
138,11/30/14 09:19:03 AM,1.37,,,
139,11/30/14 09:22:33 AM,1.38,,,
140,11/30/14 09:23:36 AM,1.39,,,
141,11/30/14 09:24:23 AM,1.40,,,
142,11/30/14 09:25:17 AM,1.41,,,
143,11/30/14 09:28:22 AM,1.42,,,
144,11/30/14 09:36:48 AM,1.43,,,
145,11/30/14 09:47:04 AM,1.44,,,
146,11/30/14 09:47:05 AM,1.45,,,
147,11/30/14 09:48:29 AM,1.46,,,
148,11/30/14 09:49:35 AM,1.47,,,
149,11/30/14 09:52:14 AM,1.48,,,
150,11/30/14 09:57:49 AM,1.49,,,
151,11/30/14 10:12:53 AM,1.50,,,
152,11/30/14 10:15:40 AM,1.51,,,
153,11/30/14 10:17:12 AM,1.52,,,
154,11/30/14 10:18:04 AM,1.53,,,
155,11/30/14 10:18:52 AM,1.54,,,
156,11/30/14 10:20:34 AM,1.55,,,
157,11/30/14 10:26:48 AM,1.56,,,
158,11/30/14 10:34:03 AM,1.57,,,
159,11/30/14 10:37:55 AM,1.58,,,
160,11/30/14 10:38:45 AM,1.59,,,
161,11/30/14 10:39:43 AM,1.60,,,
162,11/30/14 10:41:05 AM,1.61,,,
163,11/30/14 10:42:01 AM,1.62,,,
164,11/30/14 10:42:43 AM,1.63,,,
