"Plot Title: Landing"
"#","Date Time, GMT-07:00","Event, inches (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Detached (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Attached (LGR S/N: 9668993, SEN S/N: 9668993)","Stopped (LGR S/N: 9668993, SEN S/N: 9668993)","End Of File (LGR S/N: 9668993, SEN S/N: 9668993)"
1,05/15/15 11:21:14 AM,0.00,,,,
2,05/15/15 11:21:20 AM,,Logged,,,
3,05/21/15 05:57:43 AM,0.01,,,,
4,05/21/15 06:03:00 AM,0.02,,,,
5,05/21/15 07:20:29 AM,0.03,,,,
6,05/21/15 07:28:28 AM,0.04,,,,
7,05/21/15 07:28:29 AM,0.05,,,,
8,05/21/15 07:35:25 AM,0.06,,,,
9,05/21/15 07:35:26 AM,0.07,,,,
10,05/21/15 07:40:18 AM,0.08,,,,
11,05/21/15 07:48:18 AM,0.09,,,,
12,05/21/15 07:54:52 AM,0.10,,,,
13,05/21/15 08:06:27 AM,0.11,,,,
14,05/21/15 08:55:25 AM,0.12,,,,
15,05/21/15 09:21:41 AM,0.13,,,,
16,05/21/15 10:02:42 AM,0.14,,,,
17,05/21/15 10:43:46 AM,0.15,,,,
18,05/21/15 04:30:57 PM,0.16,,,,
19,05/22/15 06:49:57 AM,0.17,,,,
20,05/22/15 06:49:58 AM,0.18,,,,
21,05/22/15 06:58:11 AM,0.19,,,,
22,05/23/15 06:38:56 AM,0.20,,,,
23,05/23/15 07:49:00 AM,0.21,,,,
24,05/26/15 03:31:11 AM,0.22,,,,
25,06/01/15 07:54:36 AM,0.23,,,,
26,06/01/15 08:48:59 AM,0.24,,,,
27,06/01/15 09:59:04 AM,0.25,,,,
28,06/10/15 04:11:25 PM,0.26,,,,
29,06/18/15 02:39:51 PM,,,Logged,,
30,06/18/15 02:39:55 PM,0.26,,,Logged,Logged
