"Plot Title: HS"
"#","Date Time, GMT-08:00","Event, units (LGR S/N: 9668992, SEN S/N: 9668992)","Coupler Detached (LGR S/N: 9668992, SEN S/N: 9668992)","Coupler Attached (LGR S/N: 9668992, SEN S/N: 9668992)","Stopped (LGR S/N: 9668992, SEN S/N: 9668992)","End Of File (LGR S/N: 9668992, SEN S/N: 9668992)"
1,03/08/11 12:11:34 PM,0.00,,,,
2,03/08/11 12:11:39 PM,,Logged,,,
3,03/10/11 01:58:33 PM,0.01,,,,
4,03/13/11 02:12:12 PM,0.02,,,,
5,03/13/11 02:19:21 PM,0.03,,,,
6,03/13/11 02:26:40 PM,0.04,,,,
7,03/13/11 02:39:08 PM,0.05,,,,
8,03/13/11 03:36:13 PM,0.06,,,,
9,03/13/11 05:39:32 PM,0.07,,,,
10,03/13/11 05:49:13 PM,0.08,,,,
11,03/13/11 05:53:54 PM,0.09,,,,
12,03/13/11 06:00:03 PM,0.10,,,,
13,03/13/11 06:22:24 PM,0.11,,,,
14,03/13/11 06:46:24 PM,0.12,,,,
15,03/13/11 06:49:30 PM,0.13,,,,
16,03/13/11 06:50:23 PM,0.14,,,,
17,03/13/11 06:52:13 PM,0.15,,,,
18,03/13/11 06:55:51 PM,0.16,,,,
19,03/13/11 07:00:08 PM,0.17,,,,
20,03/13/11 07:00:55 PM,0.18,,,,
21,03/13/11 07:02:03 PM,0.19,,,,
22,03/13/11 07:03:16 PM,0.20,,,,
23,03/13/11 07:03:58 PM,0.21,,,,
24,03/13/11 07:04:33 PM,0.22,,,,
25,03/13/11 07:05:09 PM,0.23,,,,
26,03/13/11 07:06:50 PM,0.24,,,,
27,03/13/11 07:08:18 PM,0.25,,,,
28,03/13/11 07:09:50 PM,0.26,,,,
29,03/13/11 07:10:24 PM,0.27,,,,
30,03/13/11 07:10:51 PM,0.28,,,,
31,03/13/11 07:11:10 PM,0.29,,,,
32,03/13/11 07:11:42 PM,0.30,,,,
33,03/13/11 07:12:28 PM,0.31,,,,
34,03/13/11 07:13:51 PM,0.32,,,,
35,03/13/11 07:15:22 PM,0.33,,,,
36,03/13/11 07:16:45 PM,0.34,,,,
37,03/13/11 07:18:11 PM,0.35,,,,
38,03/13/11 07:19:34 PM,0.36,,,,
39,03/13/11 07:21:30 PM,0.37,,,,
40,03/13/11 07:28:43 PM,0.38,,,,
41,03/13/11 07:29:55 PM,0.39,,,,
42,03/13/11 07:30:54 PM,0.40,,,,
43,03/13/11 07:33:33 PM,0.41,,,,
44,03/13/11 07:36:14 PM,0.42,,,,
45,03/13/11 07:39:55 PM,0.43,,,,
46,03/13/11 07:44:03 PM,0.44,,,,
47,03/13/11 07:57:36 PM,0.45,,,,
48,03/13/11 08:19:01 PM,0.46,,,,
49,03/13/11 09:05:49 PM,0.47,,,,
50,03/13/11 09:08:01 PM,0.48,,,,
51,03/13/11 09:09:23 PM,0.49,,,,
52,03/13/11 09:11:29 PM,0.50,,,,
53,03/13/11 09:14:21 PM,0.51,,,,
54,03/13/11 09:23:27 PM,0.52,,,,
55,03/13/11 10:23:08 PM,0.53,,,,
56,03/13/11 10:26:49 PM,0.54,,,,
57,03/13/11 10:27:36 PM,0.55,,,,
58,03/13/11 10:28:16 PM,0.56,,,,
59,03/13/11 10:29:01 PM,0.57,,,,
60,03/13/11 10:31:06 PM,0.58,,,,
61,03/13/11 10:35:47 PM,0.59,,,,
62,03/13/11 10:44:23 PM,0.60,,,,
63,03/13/11 10:47:04 PM,0.61,,,,
64,03/13/11 10:49:42 PM,0.62,,,,
65,03/13/11 10:53:35 PM,0.63,,,,
66,03/13/11 11:01:10 PM,0.64,,,,
67,03/13/11 11:06:29 PM,0.65,,,,
68,03/13/11 11:12:11 PM,0.66,,,,
69,03/13/11 11:17:44 PM,0.67,,,,
70,03/13/11 11:22:54 PM,0.68,,,,
71,03/13/11 11:29:17 PM,0.69,,,,
72,03/13/11 11:35:18 PM,0.70,,,,
73,03/13/11 11:44:14 PM,0.71,,,,
74,03/13/11 11:59:36 PM,0.72,,,,
75,03/14/11 12:08:18 AM,0.73,,,,
76,03/14/11 12:26:24 AM,0.74,,,,
77,03/14/11 12:31:09 AM,0.75,,,,
78,03/14/11 12:34:24 AM,0.76,,,,
79,03/14/11 12:42:09 AM,0.77,,,,
80,03/14/11 12:53:08 AM,0.78,,,,
81,03/14/11 01:19:26 AM,0.79,,,,
82,03/14/11 01:35:28 AM,0.80,,,,
83,03/14/11 01:44:53 AM,0.81,,,,
84,03/14/11 02:01:39 AM,0.82,,,,
85,03/14/11 07:54:15 AM,0.83,,,,
86,03/14/11 01:44:32 PM,0.84,,,,
87,03/14/11 02:02:44 PM,0.85,,,,
88,03/14/11 04:57:37 PM,0.86,,,,
89,03/15/11 02:26:36 AM,0.87,,,,
90,03/15/11 09:54:32 AM,,,Logged,,
91,03/15/11 09:54:39 AM,0.87,,,Logged,Logged
