"Plot Title: UNF"
"#","Date Time, GMT-07:00","Event, units (LGR S/N: 10592083, SEN S/N: 10592083, LBL: UNF)","End Of File (LGR S/N: 10592083, SEN S/N: 10592083)"
1,09/16/15 11:41:50 AM,,Logged
2,09/16/15 12:40:46 PM,0.00,
3,09/16/15 11:41:50 AM,0.00,
