"Plot Title: HS"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 10592074, SEN S/N: 10592074)","Event, units (LGR S/N: 10592074, SEN S/N: 10592074)","Coupler Attached (LGR S/N: 10592074, SEN S/N: 10592074)","Host Connected (LGR S/N: 10592074, SEN S/N: 10592074)","Coupler Detached (LGR S/N: 10592074, SEN S/N: 10592074)","Stopped (LGR S/N: 10592074, SEN S/N: 10592074)","End Of File (LGR S/N: 10592074, SEN S/N: 10592074)"
1,04/24/19 01:00:00 PM,92.737,0.00,,,,,
2,04/24/19 02:00:00 PM,90.680,,,,,,
3,04/24/19 03:00:00 PM,88.833,,,,,,
4,04/24/19 04:00:00 PM,85.915,,,,,,
5,04/24/19 05:00:00 PM,82.152,,,,,,
6,04/24/19 06:00:00 PM,75.139,,,,,,
7,04/24/19 07:00:00 PM,69.964,,,,,,
8,04/24/19 08:00:00 PM,64.825,,,,,,
9,04/24/19 09:00:00 PM,61.054,,,,,,
10,04/24/19 10:00:00 PM,58.993,,,,,,
11,04/24/19 11:00:00 PM,55.364,,,,,,
12,04/25/19 12:00:00 AM,54.495,,,,,,
13,04/25/19 01:00:00 AM,52.925,,,,,,
14,04/25/19 02:00:00 AM,51.699,,,,,,
15,04/25/19 03:00:00 AM,51.346,,,,,,
16,04/25/19 04:00:00 AM,51.523,,,,,,
17,04/25/19 05:00:00 AM,50.643,,,,,,
18,04/25/19 06:00:00 AM,49.937,,,,,,
19,04/25/19 07:00:00 AM,50.290,,,,,,
20,04/25/19 08:00:00 AM,52.925,,,,,,
21,04/25/19 09:00:00 AM,61.569,,,,,,
22,04/25/19 10:00:00 AM,65.167,,,,,,
23,04/25/19 11:00:00 AM,81.090,,,,,,
24,04/25/19 12:00:00 PM,82.864,,,,,,
25,04/25/19 01:00:00 PM,83.399,,,,,,
26,04/25/19 02:00:00 PM,81.266,,,,,,
27,04/25/19 03:00:00 PM,77.923,,,,,,
28,04/25/19 04:00:00 PM,72.372,,,,,,
29,04/25/19 05:00:00 PM,67.050,,,,,,
30,04/25/19 06:00:00 PM,62.940,,,,,,
31,04/25/19 07:00:00 PM,57.096,,,,,,
32,04/25/19 08:00:00 PM,52.750,,,,,,
33,04/25/19 09:00:00 PM,50.466,,,,,,
34,04/25/19 10:00:00 PM,50.113,,,,,,
35,04/25/19 11:00:00 PM,48.695,,,,,,
36,04/26/19 12:00:00 AM,49.759,,,,,,
37,04/26/19 01:00:00 AM,49.228,,,,,,
38,04/26/19 02:00:00 AM,47.266,,,,,,
39,04/26/19 03:00:00 AM,46.369,,,,,,
40,04/26/19 04:00:00 AM,46.548,,,,,,
41,04/26/19 05:00:00 AM,46.728,,,,,,
42,04/26/19 06:00:00 AM,44.379,,,,,,
43,04/26/19 07:00:00 AM,46.188,,,,,,
44,04/26/19 08:00:00 AM,47.266,,,,,,
45,04/26/19 09:00:00 AM,58.476,,,,,,
46,04/26/19 10:00:00 AM,62.425,,,,,,
47,04/26/19 11:00:00 AM,68.077,,,,,,
48,04/26/19 12:00:00 PM,73.407,,,,,,
