"Plot Title: HS"
"#","Date Time, GMT-08:00","Event, units (LGR S/N: 9668992, SEN S/N: 9668992)","Coupler Detached (LGR S/N: 9668992, SEN S/N: 9668992)","Coupler Attached (LGR S/N: 9668992, SEN S/N: 9668992)","End Of File (LGR S/N: 9668992, SEN S/N: 9668992)"
1,03/29/11 10:17:28 AM,0.00,,,
2,03/29/11 10:17:40 AM,,Logged,,
3,04/12/11 09:58:37 AM,0.00,,Logged,Logged
