"Plot Title: Landing Rain Gage"
"#","Date Time, GMT-07:00","Batt, V (LGR S/N: 9668993, SEN S/N: 9668993)","Event, units (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Attached (LGR S/N: 9668993, SEN S/N: 9668993)","Stopped (LGR S/N: 9668993, SEN S/N: 9668993)","End Of File (LGR S/N: 9668993, SEN S/N: 9668993)"
1,06/01/10 11:39:06 AM,3.01,0.00,,,
2,06/01/10 12:39:06 PM,3.03,,,,
3,06/01/10 01:39:06 PM,3.03,,,,
4,06/01/10 02:39:06 PM,3.03,,,,
5,06/01/10 03:39:06 PM,3.03,,,,
6,06/01/10 04:39:06 PM,3.01,,,,
7,06/01/10 05:39:06 PM,3.03,,,,
8,06/01/10 06:39:06 PM,3.03,,,,
9,06/01/10 07:39:06 PM,3.03,,,,
10,06/01/10 08:39:06 PM,3.03,,,,
11,06/01/10 09:39:06 PM,3.03,,,,
12,06/01/10 10:39:06 PM,3.03,,,,
13,06/01/10 11:39:06 PM,3.03,,,,
14,06/02/10 12:39:06 AM,3.03,,,,
15,06/02/10 01:39:06 AM,3.03,,,,
16,06/02/10 02:39:06 AM,3.03,,,,
17,06/02/10 03:39:06 AM,3.03,,,,
18,06/02/10 04:39:06 AM,3.03,,,,
19,06/02/10 05:39:06 AM,3.03,,,,
20,06/02/10 06:39:06 AM,3.03,,,,
21,06/02/10 07:39:06 AM,3.03,,,,
22,06/02/10 08:39:06 AM,3.03,,,,
23,06/02/10 09:39:06 AM,3.03,,,,
24,06/02/10 10:39:06 AM,3.03,,,,
25,06/02/10 11:39:06 AM,3.01,,,,
26,06/02/10 12:39:06 PM,3.01,,,,
27,06/02/10 01:39:06 PM,3.01,,,,
28,06/02/10 02:39:06 PM,3.03,,,,
29,06/02/10 03:39:06 PM,3.03,,,,
30,06/02/10 04:39:06 PM,3.03,,,,
31,06/02/10 05:39:06 PM,3.03,,,,
32,06/02/10 06:39:06 PM,3.01,,,,
33,06/02/10 07:39:06 PM,3.03,,,,
34,06/02/10 08:39:06 PM,3.03,,,,
35,06/02/10 09:39:06 PM,3.03,,,,
36,06/02/10 10:39:06 PM,3.03,,,,
37,06/02/10 11:39:06 PM,3.03,,,,
38,06/03/10 12:39:06 AM,3.03,,,,
