"Plot Title: AL"
"#","Date Time, GMT-08:00","Event, inch (LGR S/N: 10592075, SEN S/N: 10592075)","Coupler Detached (LGR S/N: 10592075, SEN S/N: 10592075)","Coupler Attached (LGR S/N: 10592075, SEN S/N: 10592075)","Stopped (LGR S/N: 10592075, SEN S/N: 10592075)","End Of File (LGR S/N: 10592075, SEN S/N: 10592075)"
1,12/29/15 03:04:15 PM,0.00,,,,
2,12/29/15 03:04:27 PM,,Logged,,,
3,01/03/16 07:21:12 PM,0.01,,,,
4,01/03/16 09:10:00 PM,0.02,,,,
5,01/03/16 09:50:51 PM,0.03,,,,
6,01/03/16 09:59:54 PM,0.04,,,,
7,01/04/16 02:55:21 AM,0.05,,,,
8,01/04/16 02:55:22 AM,0.06,,,,
9,01/04/16 03:28:36 AM,0.07,,,,
10,01/04/16 03:49:51 AM,0.08,,,,
11,01/04/16 04:15:31 AM,0.09,,,,
12,01/04/16 05:04:35 AM,0.10,,,,
13,01/04/16 05:18:03 AM,0.11,,,,
14,01/04/16 06:00:16 AM,0.12,,,,
15,01/04/16 06:00:17 AM,0.13,,,,
16,01/04/16 06:13:53 AM,0.14,,,,
17,01/04/16 06:32:41 AM,0.15,,,,
18,01/04/16 06:35:54 AM,0.16,,,,
19,01/04/16 06:38:11 AM,0.17,,,,
20,01/04/16 06:39:36 AM,0.18,,,,
21,01/04/16 06:42:20 AM,0.19,,,,
22,01/04/16 06:52:41 AM,0.20,,,,
23,01/04/16 06:58:45 AM,0.21,,,,
24,01/04/16 06:58:46 AM,0.22,,,,
25,01/04/16 07:07:26 AM,0.23,,,,
26,01/04/16 07:21:21 AM,0.24,,,,
27,01/04/16 07:21:22 AM,0.25,,,,
28,01/04/16 07:39:59 AM,0.26,,,,
29,01/04/16 07:45:37 AM,0.27,,,,
30,01/04/16 07:49:11 AM,0.28,,,,
31,01/04/16 04:42:34 PM,0.29,,,,
32,01/04/16 05:07:41 PM,0.30,,,,
33,01/04/16 08:52:43 PM,0.31,,,,
34,01/04/16 08:55:15 PM,0.32,,,,
35,01/04/16 08:58:20 PM,0.33,,,,
36,01/04/16 08:58:21 PM,0.34,,,,
37,01/04/16 09:01:24 PM,0.35,,,,
38,01/04/16 09:08:13 PM,0.36,,,,
39,01/04/16 09:15:34 PM,0.37,,,,
40,01/04/16 10:09:09 PM,0.38,,,,
41,01/04/16 10:40:07 PM,0.39,,,,
42,01/04/16 10:40:08 PM,0.40,,,,
43,01/04/16 11:14:24 PM,0.41,,,,
44,01/04/16 11:14:25 PM,0.42,,,,
45,01/04/16 11:26:07 PM,0.43,,,,
46,01/04/16 11:30:38 PM,0.44,,,,
47,01/04/16 11:36:59 PM,0.45,,,,
48,01/04/16 11:40:55 PM,0.46,,,,
49,01/04/16 11:43:26 PM,0.47,,,,
50,01/04/16 11:45:31 PM,0.48,,,,
51,01/04/16 11:45:32 PM,0.49,,,,
52,01/04/16 11:47:56 PM,0.50,,,,
53,01/04/16 11:48:35 PM,0.51,,,,
54,01/04/16 11:49:37 PM,0.52,,,,
55,01/04/16 11:52:42 PM,0.53,,,,
56,01/04/16 11:55:31 PM,0.54,,,,
57,01/04/16 11:59:51 PM,0.55,,,,
58,01/05/16 12:03:48 AM,0.56,,,,
59,01/05/16 12:06:49 AM,0.57,,,,
60,01/05/16 12:06:50 AM,0.58,,,,
61,01/05/16 12:09:47 AM,0.59,,,,
62,01/05/16 12:13:04 AM,0.60,,,,
63,01/05/16 12:13:05 AM,0.61,,,,
64,01/05/16 12:16:35 AM,0.62,,,,
65,01/05/16 12:20:16 AM,0.63,,,,
66,01/05/16 12:24:05 AM,0.64,,,,
67,01/05/16 12:29:16 AM,0.65,,,,
68,01/05/16 12:29:17 AM,0.66,,,,
69,01/05/16 12:33:04 AM,0.67,,,,
70,01/05/16 12:37:05 AM,0.68,,,,
71,01/05/16 12:41:24 AM,0.69,,,,
72,01/05/16 12:45:08 AM,0.70,,,,
73,01/05/16 12:45:09 AM,0.71,,,,
74,01/05/16 12:49:28 AM,0.72,,,,
75,01/05/16 12:54:03 AM,0.73,,,,
76,01/05/16 12:58:01 AM,0.74,,,,
77,01/05/16 01:02:48 AM,0.75,,,,
78,01/05/16 01:07:34 AM,0.76,,,,
79,01/05/16 01:13:30 AM,0.77,,,,
80,01/05/16 01:20:36 AM,0.78,,,,
81,01/05/16 01:26:47 AM,0.79,,,,
