"Plot Title: HS"
"#","Date Time, GMT-07:00","Event, units (LGR S/N: 9668992, SEN S/N: 9668992)","Coupler Detached (LGR S/N: 9668992, SEN S/N: 9668992)","Coupler Attached (LGR S/N: 9668992, SEN S/N: 9668992)","Stopped (LGR S/N: 9668992, SEN S/N: 9668992)","End Of File (LGR S/N: 9668992, SEN S/N: 9668992)"
121,12/10/10 05:10:25 AM,1.19,,,,
122,12/10/10 05:53:12 AM,1.20,,,,
123,12/10/10 07:24:04 AM,1.21,,,,
124,12/10/10 08:35:32 AM,1.22,,,,
125,12/10/10 01:40:30 PM,1.23,,,,
126,12/10/10 01:51:28 PM,1.24,,,,
127,12/10/10 05:54:00 PM,1.25,,,,
128,12/10/10 09:28:00 PM,1.26,,,,
129,12/11/10 07:32:42 AM,1.27,,,,
130,12/14/10 06:33:46 AM,1.28,,,,
131,12/14/10 06:42:10 AM,1.29,,,,
132,12/14/10 06:55:36 AM,1.30,,,,
133,12/14/10 07:39:38 AM,1.31,,,,
134,12/14/10 07:48:37 AM,1.32,,,,
135,12/14/10 07:59:16 AM,1.33,,,,
136,12/14/10 08:07:47 AM,1.34,,,,
137,12/14/10 08:13:48 AM,1.35,,,,
138,12/14/10 08:27:37 AM,1.36,,,,
139,12/14/10 08:48:26 AM,1.37,,,,
140,12/14/10 08:54:21 AM,1.38,,,,
141,12/14/10 09:10:47 AM,1.39,,,,
142,12/14/10 09:20:18 AM,1.40,,,,
143,12/14/10 09:40:36 AM,1.41,,,,
144,12/14/10 09:49:28 AM,1.42,,,,
145,12/14/10 10:37:14 AM,1.43,,,,
146,12/14/10 10:56:32 AM,1.44,,,,
147,12/14/10 11:25:11 AM,,,Logged,,
148,12/14/10 11:25:19 AM,1.44,,,Logged,Logged
