"Plot Title: RLNF"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 10592085, SEN S/N: 10592085)","Event, units (LGR S/N: 10592085, SEN S/N: 10592085)","Coupler Detached (LGR S/N: 10592085, SEN S/N: 10592085)","End Of File (LGR S/N: 10592085, SEN S/N: 10592085)"
1,09/06/16 10:31:15 AM,67.050,0.00,,
2,09/06/16 10:31:20 AM,,,Logged,
3,09/06/16 11:31:15 AM,73.926,,,
4,09/06/16 12:31:15 PM,77.923,,,
5,09/06/16 01:31:15 PM,104.540,,,
6,09/06/16 02:31:15 PM,107.046,,,
7,09/06/16 03:31:15 PM,103.717,,,
8,09/06/16 04:31:15 PM,100.083,,,
9,09/06/16 05:31:15 PM,85.554,,,
10,09/06/16 06:31:15 PM,79.678,,,
11,09/06/16 07:31:15 PM,73.234,,,
12,09/06/16 08:31:15 PM,67.735,,,
13,09/06/16 09:31:15 PM,66.366,,,
14,09/06/16 10:31:15 PM,66.366,,,
15,09/06/16 11:31:15 PM,65.509,,,
16,09/07/16 12:31:15 AM,65.509,,,
17,09/07/16 01:31:15 AM,64.996,,,
18,09/07/16 02:31:15 AM,64.652,,,
19,09/07/16 03:31:15 AM,65.509,,,
20,09/07/16 04:31:15 AM,65.167,,,
21,09/07/16 05:31:15 AM,65.167,,,
22,09/07/16 06:31:15 AM,65.338,,,
23,09/07/16 07:31:15 AM,65.680,,,
24,09/07/16 08:31:15 AM,66.193,,,
25,09/07/16 09:31:15 AM,67.735,,,
26,09/07/16 10:31:15 AM,71.683,,,
27,09/07/16 11:31:15 AM,79.151,,,
28,09/07/16 12:31:15 PM,85.554,,,
29,09/07/16 01:31:15 PM,110.264,,,
30,09/07/16 02:31:15 PM,110.482,,,
31,09/07/16 03:31:15 PM,105.994,,,
32,09/07/16 04:31:15 PM,102.900,,,
33,09/07/16 05:31:15 PM,83.221,,,
34,09/07/16 06:31:15 PM,74.791,,,
35,09/07/16 07:31:15 PM,67.050,,,
36,09/07/16 08:31:15 PM,63.455,,,
37,09/07/16 09:31:15 PM,58.647,,,
38,09/07/16 10:31:15 PM,57.785,,,
39,09/07/16 11:31:15 PM,57.785,,,
40,09/08/16 12:31:15 AM,56.057,,,
41,09/08/16 01:31:15 AM,54.147,,,
42,09/08/16 02:31:15 AM,54.842,,,
43,09/08/16 03:31:15 AM,55.537,,,
44,09/08/16 04:31:15 AM,55.364,,,
45,09/08/16 05:31:15 AM,54.842,,,
46,09/08/16 06:31:15 AM,54.495,,,
47,09/08/16 07:31:15 AM,54.842,,,
48,09/08/16 08:31:15 AM,56.230,,,
49,09/08/16 09:31:15 AM,58.647,,,
50,09/08/16 10:31:15 AM,62.083,,,
51,09/08/16 11:31:15 AM,66.193,,,
52,09/08/16 12:31:15 PM,73.753,,,
53,09/08/16 01:31:15 PM,90.867,,,
